name	codepoint	ascii
Horizontal	2500	-
Vertical	2502	|
HorizontalHeavy	2501	-
VerticalHeavy	2503	|
HorizontalDash	2504	-
VerticalDash	2506	|
HorizontalDashQuad	2508	-
VerticalDashQuad	250A	|
DownRight	250C	+
DownLeft	2510	+
UpRight	2514	+
UpLeft	2518	+
HeavyDownRight	250F	+
HeavyDownLeft	2513	+
HeavyUpRight	2517	+
HeavyUpLeft	251B	+
HorizontalDouble	2550	=
VerticalDouble	2551	|
DoubleDownRight	2554	+
DoubleDownLeft	2557	+
DoubleUpRight	255A	+
DoubleUpLeft	255D	+
RoundedDownRight	256D	+
RoundedDownLeft	256E	+
RoundedUpRight	256F	+
RoundedUpLeft	2570	+
VerticalLightAndHeavyRight	251D	+
VerticalLightAndHeavyLeft	2525	+
HorizontalLightAndHeavyDown	252F	+
HorizontalLightAndHeavyUp	2537	+
DownAndHorizontal	252C	+
UpAndHorizontal	2534	+
Cross	253C	+
