name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Bones	Body	Body	bones	body-bones	E289	B	fae
Brain	Body	Body	brain	body-brain	E28C	B	fae
Dress	Body	Body	dress	body-dress	E274	B	fae
Drop	Body	Body	drop	body-drop	E275	B	fae
Fingerprint	Body	Body	fingerprint	body-fingerprint	E23F	B	fae
Footprint	Body	Body	footprint	body-footprint	E241	B	fae
Gut	Body	Body	gut	body-gut	E24B	B	fae
Halter	Body	Body	halter	body-halter	E24C	B	fae
HighHeel	Body	Body	high_heel	body-high-heel	E250	B	fae
Injection	Body	Body	injection	body-injection	E2A1	B	fae
Lips	Body	Body	lips	body-lips	E258	B	fae
Lipstick	Body	Body	lipstick	body-lipstick	E259	B	fae
Liver	Body	Body	liver	body-liver	E25A	B	fae
Lung	Body	Body	lung	body-lung	E25B	B	fae
MakeupBrushes	Body	Body	makeup_brushes	body-makeup-brushes	E25C	B	fae
Medicine	Body	Body	medicine	body-medicine	E221	B	fae
Mustache	Body	Body	mustache	body-mustache	E228	B	fae
Pulse	Body	Body	pulse	body-pulse	E234	B	fae
RealHeart	Body	Body	real_heart	body-real-heart	E23A	B	fae
Shirt	Body	Body	shirt	body-shirt	E218	B	fae
Spermatozoon	Body	Body	spermatozoon	body-spermatozoon	E205	B	fae
Stomach	Body	Body	stomach	body-stomach	E207	B	fae
Thermometer	Body	Body	thermometer	body-thermometer	E20A	B	fae
ThermometerHigh	Body	Body	thermometer_high	body-thermometer-high	E20B	B	fae
ThermometerLow	Body	Body	thermometer_low	body-thermometer-low	E20C	B	fae
Tooth	Body	Body	tooth	body-tooth	E210	B	fae
Uterus	Body	Body	uterus	body-uterus	E211	B	fae
Virus	Body	Body	virus	body-virus	E214	B	fae
