name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Building	Building	Commercial	building	fa-building-building	F1AD	B	fa
BuildingColumns	Building	Commercial	building_columns	fa-building-building-columns	F19C	B	fa
BuildingO	Building	Commercial	building_o	fa-building-building-o	F0F7	B	fa
City	Building	Commercial	city	fa-building-city	EEC0	B	fa
DoorClosed	Building	Door	door_closed	fa-building-door-closed	EDF4	B	fa
DoorOpen	Building	Door	door_open	fa-building-door-open	EDF5	B	fa
LandmarkDome	Building	Landmark	landmark_dome	fa-building-landmark-dome	EF22	B	fa
Monument	Building	Landmark	monument	fa-building-monument	EE6F	B	fa
Church	Building	Religious	church	fa-building-church	EDE7	B	fa
Synagogue	Building	Religious	synagogue	fa-building-synagogue	EEE3	B	fa
ToriiGate	Building	Religious	torii_gate	fa-building-torii-gate	EEE6	B	fa
Vihara	Building	Religious	vihara	fa-building-vihara	EEE7	B	fa
Campground	Building	Residential	campground	fa-building-campground	EEEC	B	fa
HotelBuilding	Building	Residential	hotel_building	fa-building-hotel-building	EE5D	B	fa
House	Building	Residential	house	fa-building-house	F015	B	fa
HouseChimney	Building	Residential	house_chimney	fa-building-house-chimney	EF85	B	fa
HouseChimneyCrack	Building	Residential	house_chimney_crack	fa-building-house-chimney-crack	EF05	B	fa
HouseChimneyMedical	Building	Residential	house_chimney_medical	fa-building-house-chimney-medical	EF7B	B	fa
