name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Headphones	Communication	Audio	headphones	fa-communication-headphones	F025	@	fa
HeadphonesSimple	Communication	Audio	headphones_simple	fa-communication-headphones-simple	EE58	@	fa
Microphone	Communication	Audio	microphone	fa-communication-microphone	F130	@	fa
MicrophoneLines	Communication	Audio	microphone_lines	fa-communication-microphone-lines	ED03	@	fa
MicrophoneLinesSlash	Communication	Audio	microphone_lines_slash	fa-communication-microphone-lines-slash	EFC6	@	fa
MicrophoneSlash	Communication	Audio	microphone_slash	fa-communication-microphone-slash	F131	@	fa
Podcast	Communication	Audio	podcast	fa-communication-podcast	F2CE	@	fa
Radio	Communication	Audio	radio	fa-communication-radio	EFBC	@	fa
VolumeHigh	Communication	Audio	volume_high	fa-communication-volume-high	F028	@	fa
VolumeLow	Communication	Audio	volume_low	fa-communication-volume-low	F027	@	fa
VolumeOff	Communication	Audio	volume_off	fa-communication-volume-off	F026	@	fa
VolumeXmark	Communication	Audio	volume_xmark	fa-communication-volume-xmark	EEE8	@	fa
Envelope	Communication	Mail	envelope	fa-communication-envelope	F0E0	@	fa
EnvelopeO	Communication	Mail	envelope_o	fa-communication-envelope-o	F003	@	fa
EnvelopeOpen	Communication	Mail	envelope_open	fa-communication-envelope-open	F2B6	@	fa
EnvelopeOpenO	Communication	Mail	envelope_open_o	fa-communication-envelope-open-o	F2B7	@	fa
EnvelopeOpenText	Communication	Mail	envelope_open_text	fa-communication-envelope-open-text	EEC5	@	fa
EnvelopesBulk	Communication	Mail	envelopes_bulk	fa-communication-envelopes-bulk	EED1	@	fa
Inbox	Communication	Mail	inbox	fa-communication-inbox	F01C	@	fa
At	Communication	Misc	at	fa-communication-at	F1FA	@	fa
Bell	Communication	Misc	bell	fa-communication-bell	F0F3	@	fa
BellConcierge	Communication	Misc	bell_concierge	fa-communication-bell-concierge	EE2B	@	fa
BellO	Communication	Misc	bell_o	fa-communication-bell-o	F0A2	@	fa
BellSlash	Communication	Misc	bell_slash	fa-communication-bell-slash	F1F6	@	fa
BellSlashO	Communication	Misc	bell_slash_o	fa-communication-bell-slash-o	F1F7	@	fa
Bullhorn	Communication	Misc	bullhorn	fa-communication-bullhorn	F0A1	@	fa
Globe	Communication	Misc	globe	fa-communication-globe	F0AC	@	fa
Hashtag	Communication	Misc	hashtag	fa-communication-hashtag	F292	@	fa
Language	Communication	Misc	language	fa-communication-language	F1AB	@	fa
PaperPlane	Communication	Misc	paper_plane	fa-communication-paper-plane	F1D8	@	fa
PaperPlaneO	Communication	Misc	paper_plane_o	fa-communication-paper-plane-o	F1D9	@	fa
QuoteLeft	Communication	Misc	quote_left	fa-communication-quote-left	F10D	@	fa
QuoteRight	Communication	Misc	quote_right	fa-communication-quote-right	F10E	@	fa
Signature	Communication	Misc	signature	fa-communication-signature	EE7F	@	fa
TowerBroadcast	Communication	Misc	tower_broadcast	fa-communication-tower-broadcast	EDE3	@	fa
BluetoothB	Communication	Network	bluetooth_b	fa-communication-bluetooth-b	F294	@	fa
NetworkWired	Communication	Network	network_wired	fa-communication-network-wired	EF09	@	fa
Rss	Communication	Network	rss	fa-communication-rss	F09E	@	fa
Satellite	Communication	Network	satellite	fa-communication-satellite	EF5F	@	fa
SatelliteDish	Communication	Network	satellite_dish	fa-communication-satellite-dish	EF60	@	fa
