name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Budgie	DesktopEnvironment	Desktop	budgie	desktop-environment-budgie	F320	D	logos
Cinnamon	DesktopEnvironment	Desktop	cinnamon	desktop-environment-cinnamon	F35F	D	logos
Gnome	DesktopEnvironment	Desktop	gnome	desktop-environment-gnome	F361	D	logos
Kde	DesktopEnvironment	Desktop	kde	desktop-environment-kde	F373	D	logos
KdeNeon	DesktopEnvironment	Desktop	kde_neon	desktop-environment-kde-neon	F331	D	logos
KdePlasma	DesktopEnvironment	Desktop	kde_plasma	desktop-environment-kde-plasma	F332	D	logos
Kubuntu	DesktopEnvironment	Desktop	kubuntu	desktop-environment-kubuntu	F333	D	logos
KubuntuInverse	DesktopEnvironment	Desktop	kubuntu_inverse	desktop-environment-kubuntu-inverse	F334	D	logos
Lxde	DesktopEnvironment	Desktop	lxde	desktop-environment-lxde	F363	D	logos
Lxle	DesktopEnvironment	Desktop	lxle	desktop-environment-lxle	F33E	D	logos
Lxqt	DesktopEnvironment	Desktop	lxqt	desktop-environment-lxqt	F364	D	logos
Mate	DesktopEnvironment	Desktop	mate	desktop-environment-mate	F365	D	logos
Vanilla	DesktopEnvironment	Desktop	vanilla	desktop-environment-vanilla	F366	D	logos
Xfce	DesktopEnvironment	Desktop	xfce	desktop-environment-xfce	F368	D	logos
Freedesktop	DesktopEnvironment	Platform	freedesktop	desktop-environment-freedesktop	F360	P	logos
Gtk	DesktopEnvironment	Platform	gtk	desktop-environment-gtk	F362	P	logos
Qt	DesktopEnvironment	Platform	qt	desktop-environment-qt	F375	P	logos
Wayland	DesktopEnvironment	Platform	wayland	desktop-environment-wayland	F367	P	logos
Xorg	DesktopEnvironment	Platform	xorg	desktop-environment-xorg	F369	P	logos
Awesome	DesktopEnvironment	WindowManager	awesome	desktop-environment-awesome	F354	W	logos
Bspwm	DesktopEnvironment	WindowManager	bspwm	desktop-environment-bspwm	F355	W	logos
Dwm	DesktopEnvironment	WindowManager	dwm	desktop-environment-dwm	F356	W	logos
Enlightenment	DesktopEnvironment	WindowManager	enlightenment	desktop-environment-enlightenment	F357	W	logos
Fluxbox	DesktopEnvironment	WindowManager	fluxbox	desktop-environment-fluxbox	F358	W	logos
Hyprland	DesktopEnvironment	WindowManager	hyprland	desktop-environment-hyprland	F359	W	logos
I3	DesktopEnvironment	WindowManager	i3	desktop-environment-i3	F35A	W	logos
Jwm	DesktopEnvironment	WindowManager	jwm	desktop-environment-jwm	F35B	W	logos
Qtile	DesktopEnvironment	WindowManager	qtile	desktop-environment-qtile	F35C	W	logos
River	DesktopEnvironment	WindowManager	river	desktop-environment-river	F381	W	logos
Sway	DesktopEnvironment	WindowManager	sway	desktop-environment-sway	F35D	W	logos
Xmonad	DesktopEnvironment	WindowManager	xmonad	desktop-environment-xmonad	F35E	W	logos
