name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
ComputerMouse	Device	Computer	computer_mouse	fa-device-computer-mouse	EFBA	D	fa
Database	Device	Computer	database	fa-device-database	F1C0	D	fa
Desktop	Device	Computer	desktop	fa-device-desktop	F108	D	fa
Laptop	Device	Computer	laptop	fa-device-laptop	F109	D	fa
LaptopCode	Device	Computer	laptop_code	fa-device-laptop-code	EEA7	D	fa
LaptopMedical	Device	Computer	laptop_medical	fa-device-laptop-medical	EF89	D	fa
Memory	Device	Computer	memory	fa-device-memory	EFC5	D	fa
Microchip	Device	Computer	microchip	fa-device-microchip	F2DB	D	fa
Server	Device	Computer	server	fa-device-server	F233	D	fa
Download	Device	Misc	download	fa-device-download	F019	D	fa
Fan	Device	Misc	fan	fa-device-fan	EFA7	D	fa
Gauge	Device	Misc	gauge	fa-device-gauge	EEB2	D	fa
GaugeHigh	Device	Misc	gauge_high	fa-device-gauge-high	ED2F	D	fa
GaugeSimple	Device	Misc	gauge_simple	fa-device-gauge-simple	EEB3	D	fa
GaugeSimpleHigh	Device	Misc	gauge_simple_high	fa-device-gauge-simple-high	F0E4	D	fa
Lightbulb	Device	Misc	lightbulb	fa-device-lightbulb	F0EB	D	fa
ToggleOff	Device	Misc	toggle_off	fa-device-toggle-off	F204	D	fa
ToggleOn	Device	Misc	toggle_on	fa-device-toggle-on	F205	D	fa
Upload	Device	Misc	upload	fa-device-upload	F093	D	fa
Mobile	Device	Mobile	mobile	fa-device-mobile	ED08	D	fa
MobileButton	Device	Mobile	mobile_button	fa-device-mobile-button	ED07	D	fa
MobileScreen	Device	Mobile	mobile_screen	fa-device-mobile-screen	ED09	D	fa
MobileScreenButton	Device	Mobile	mobile_screen_button	fa-device-mobile-screen-button	F10B	D	fa
Tablet	Device	Mobile	tablet	fa-device-tablet	ED2E	D	fa
TabletButton	Device	Mobile	tablet_button	fa-device-tablet-button	ED2D	D	fa
TabletScreenButton	Device	Mobile	tablet_screen_button	fa-device-tablet-screen-button	F10A	D	fa
Print	Device	Peripheral	print	fa-device-print	F02F	D	fa
VrCardboard	Device	Peripheral	vr_cardboard	fa-device-vr-cardboard	EF14	D	fa
BatteryEmpty	Device	Power	battery_empty	fa-device-battery-empty	F244	D	fa
BatteryFull	Device	Power	battery_full	fa-device-battery-full	F240	D	fa
BatteryHalf	Device	Power	battery_half	fa-device-battery-half	F242	D	fa
BatteryQuarter	Device	Power	battery_quarter	fa-device-battery-quarter	F243	D	fa
BatteryThreeQuarters	Device	Power	battery_three_quarters	fa-device-battery-three-quarters	F241	D	fa
ChargingStation	Device	Power	charging_station	fa-device-charging-station	EEA1	D	fa
Plug	Device	Power	plug	fa-device-plug	F1E6	D	fa
PowerOff	Device	Power	power_off	fa-device-power-off	F011	D	fa
SolarPanel	Device	Power	solar_panel	fa-device-solar-panel	EE81	D	fa
FloppyDisk	Device	Storage	floppy_disk	fa-device-floppy-disk	F0C7	D	fa
HardDrive	Device	Storage	hard_drive	fa-device-hard-drive	F0A0	D	fa
SdCard	Device	Storage	sd_card	fa-device-sd-card	EF61	D	fa
SimCard	Device	Storage	sim_card	fa-device-sim-card	EF62	D	fa
