name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Accessibility	DevMisc	Accessibility	accessibility	dev-misc-accessibility	F406	.	oct
AccessibilityInset	DevMisc	Accessibility	accessibility_inset	dev-misc-accessibility-inset	F40B	.	oct
Hubot	DevMisc	Brand	hubot	dev-misc-hubot	F477	.	oct
LogoGist	DevMisc	Brand	logo_gist	dev-misc-logo-gist	F480	.	oct
LogoGithub	DevMisc	Brand	logo_github	dev-misc-logo-github	F470	#	oct
MarkGithub	DevMisc	Brand	mark_github	dev-misc-mark-github	F408	#	oct
Ruby	DevMisc	Brand	ruby	dev-misc-ruby	F43B	.	oct
Squirrel	DevMisc	Brand	squirrel	dev-misc-squirrel	F483	.	oct
IdBadge	DevMisc	People	id_badge	dev-misc-id-badge	F4E4	.	oct
People	DevMisc	People	people	dev-misc-people	F4FD	.	oct
Person	DevMisc	People	person	dev-misc-person	F415	.	oct
PersonAdd	DevMisc	People	person_add	dev-misc-person-add	F4FE	.	oct
PersonFill	DevMisc	People	person_fill	dev-misc-person-fill	F4FF	.	oct
CodeOfConduct	DevMisc	Policy	code_of_conduct	dev-misc-code-of-conduct	F4AE	.	oct
Law	DevMisc	Policy	law	dev-misc-law	F495	.	oct
Goal	DevMisc	Project	goal	dev-misc-goal	F4DE	.	oct
Milestone	DevMisc	Project	milestone	dev-misc-milestone	F45D	.	oct
NorthStar	DevMisc	Project	north_star	dev-misc-north-star	F4F5	.	oct
Project	DevMisc	Project	project	dev-misc-project	F502	R	oct
ProjectRoadmap	DevMisc	Project	project_roadmap	dev-misc-project-roadmap	F503	R	oct
ProjectSymlink	DevMisc	Project	project_symlink	dev-misc-project-symlink	F504	R	oct
ProjectTemplate	DevMisc	Project	project_template	dev-misc-project-template	F505	R	oct
CreditCard	DevMisc	Sponsor	credit_card	dev-misc-credit-card	F439	.	oct
FiscalHost	DevMisc	Sponsor	fiscal_host	dev-misc-fiscal-host	F4D8	.	oct
Gift	DevMisc	Sponsor	gift	dev-misc-gift	F436	.	oct
SponsorTiers	DevMisc	Sponsor	sponsor_tiers	dev-misc-sponsor-tiers	F51C	.	oct
Codespaces	DevMisc	Tooling	codespaces	dev-misc-codespaces	F4B3	.	oct
Dependabot	DevMisc	Tooling	dependabot	dev-misc-dependabot	F4BE	.	oct
Webhook	DevMisc	Workflow	webhook	dev-misc-webhook	F52D	.	oct
Workflow	DevMisc	Workflow	workflow	dev-misc-workflow	F52E	.	oct
