name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Hubot	DevPlatform	Brand	hubot	devplat-hubot	F477	.	oct
LogoGist	DevPlatform	Brand	logo_gist	devplat-logo-gist	F480	.	oct
LogoGithub	DevPlatform	Brand	logo_github	devplat-logo-github	F470	#	oct
MarkGithub	DevPlatform	Brand	mark_github	devplat-mark-github	F408	#	oct
Ruby	DevPlatform	Brand	ruby	devplat-ruby	F43B	.	oct
Squirrel	DevPlatform	Brand	squirrel	devplat-squirrel	F483	.	oct
Codespaces	DevPlatform	Copilot	codespaces	devplat-codespaces	F4B3	.	oct
Copilot	DevPlatform	Copilot	copilot	devplat-copilot	F4B8	C	oct
CopilotError	DevPlatform	Copilot	copilot_error	devplat-copilot-error	F4B9	C	oct
CopilotWarning	DevPlatform	Copilot	copilot_warning	devplat-copilot-warning	F4BA	C	oct
Dependabot	DevPlatform	Copilot	dependabot	devplat-dependabot	F4BE	.	oct
CommentDiscussion	DevPlatform	Discussion	comment_discussion	devplat-comment-discussion	F442	d	oct
DiscussionClosed	DevPlatform	Discussion	discussion_closed	devplat-discussion-closed	F4C0	d	oct
DiscussionDuplicate	DevPlatform	Discussion	discussion_duplicate	devplat-discussion-duplicate	F4C1	d	oct
DiscussionOutdated	DevPlatform	Discussion	discussion_outdated	devplat-discussion-outdated	F4C2	d	oct
FeedDiscussion	DevPlatform	Feed	feed_discussion	devplat-feed-discussion	F4C6	f	oct
FeedPerson	DevPlatform	Feed	feed_person	devplat-feed-person	F4CA	f	oct
FeedRepo	DevPlatform	Feed	feed_repo	devplat-feed-repo	F4CB	f	oct
FeedRocket	DevPlatform	Feed	feed_rocket	devplat-feed-rocket	F4CC	f	oct
FeedStar	DevPlatform	Feed	feed_star	devplat-feed-star	F4CD	f	oct
FeedTag	DevPlatform	Feed	feed_tag	devplat-feed-tag	F4CE	f	oct
FeedTrophy	DevPlatform	Feed	feed_trophy	devplat-feed-trophy	F4CF	f	oct
IssueClosed	DevPlatform	Issue	issue_closed	devplat-issue-closed	F41D	I	oct
IssueDraft	DevPlatform	Issue	issue_draft	devplat-issue-draft	F4E7	I	oct
IssueOpened	DevPlatform	Issue	issue_opened	devplat-issue-opened	F41B	I	oct
IssueReopened	DevPlatform	Issue	issue_reopened	devplat-issue-reopened	F41C	I	oct
IssueTrackedBy	DevPlatform	Issue	issue_tracked_by	devplat-issue-tracked-by	F4E8	I	oct
IssueTracks	DevPlatform	Issue	issue_tracks	devplat-issue-tracks	F4E9	I	oct
IdBadge	DevPlatform	People	id_badge	devplat-id-badge	F4E4	.	oct
Organization	DevPlatform	People	organization	devplat-organization	F42B	.	oct
People	DevPlatform	People	people	devplat-people	F4FD	.	oct
Person	DevPlatform	People	person	devplat-person	F415	.	oct
PersonAdd	DevPlatform	People	person_add	devplat-person-add	F4FE	.	oct
PersonFill	DevPlatform	People	person_fill	devplat-person-fill	F4FF	.	oct
CodeOfConduct	DevPlatform	Policy	code_of_conduct	devplat-code-of-conduct	F4AE	.	oct
Law	DevPlatform	Policy	law	devplat-law	F495	.	oct
Goal	DevPlatform	Project	goal	devplat-goal	F4DE	.	oct
Milestone	DevPlatform	Project	milestone	devplat-milestone	F45D	.	oct
NorthStar	DevPlatform	Project	north_star	devplat-north-star	F4F5	.	oct
Project	DevPlatform	Project	project	devplat-project	F502	R	oct
ProjectRoadmap	DevPlatform	Project	project_roadmap	devplat-project-roadmap	F503	R	oct
ProjectSymlink	DevPlatform	Project	project_symlink	devplat-project-symlink	F504	R	oct
ProjectTemplate	DevPlatform	Project	project_template	devplat-project-template	F505	R	oct
CreditCard	DevPlatform	Sponsor	credit_card	devplat-credit-card	F439	.	oct
FiscalHost	DevPlatform	Sponsor	fiscal_host	devplat-fiscal-host	F4D8	.	oct
Gift	DevPlatform	Sponsor	gift	devplat-gift	F436	.	oct
SponsorTiers	DevPlatform	Sponsor	sponsor_tiers	devplat-sponsor-tiers	F51C	.	oct
Webhook	DevPlatform	Workflow	webhook	devplat-webhook	F52D	.	oct
Workflow	DevPlatform	Workflow	workflow	devplat-workflow	F52E	.	oct
