name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Copilot	EditorAction	Bot	copilot	editor-action-copilot	EC1E	.	cod
Hubot	EditorAction	Bot	hubot	editor-action-hubot	EB08	.	cod
Octoface	EditorAction	Bot	octoface	editor-action-octoface	EB27	.	cod
Squirrel	EditorAction	Bot	squirrel	editor-action-squirrel	EB58	.	cod
Graph	EditorAction	Chart	graph	editor-action-graph	EB03	.	cod
GraphLeft	EditorAction	Chart	graph_left	editor-action-graph-left	EBAD	.	cod
GraphLine	EditorAction	Chart	graph_line	editor-action-graph-line	EBE2	.	cod
GraphScatter	EditorAction	Chart	graph_scatter	editor-action-graph-scatter	EBE3	.	cod
PieChart	EditorAction	Chart	pie_chart	editor-action-pie-chart	EBE4	.	cod
Table	EditorAction	Chart	table	editor-action-table	EBB7	.	cod
Azure	EditorAction	Cloud	azure	editor-action-azure	EBD8	.	cod
AzureDevops	EditorAction	Cloud	azure_devops	editor-action-azure-devops	EBE8	.	cod
Cloud	EditorAction	Cloud	cloud	editor-action-cloud	EBAA	C	cod
CloudDownload	EditorAction	Cloud	cloud_download	editor-action-cloud-download	EAC2	C	cod
CloudUpload	EditorAction	Cloud	cloud_upload	editor-action-cloud-upload	EAC3	C	cod
Database	EditorAction	Cloud	database	editor-action-database	EACE	.	cod
Package	EditorAction	Cloud	package	editor-action-package	EB29	.	cod
Server	EditorAction	Cloud	server	editor-action-server	EB50	C	cod
ServerEnvironment	EditorAction	Cloud	server_environment	editor-action-server-environment	EBA3	C	cod
ServerProcess	EditorAction	Cloud	server_process	editor-action-server-process	EBA2	C	cod
LiveShare	EditorAction	Collaboration	live_share	editor-action-live-share	EB18	.	cod
Comment	EditorAction	Comment	comment	editor-action-comment	EA6B	c	cod
CommentDiscussion	EditorAction	Comment	comment_discussion	editor-action-comment-discussion	EAC7	c	cod
CommentDraft	EditorAction	Comment	comment_draft	editor-action-comment-draft	EC0E	c	cod
CommentUnresolved	EditorAction	Comment	comment_unresolved	editor-action-comment-unresolved	EC0A	c	cod
Reply	EditorAction	Comment	reply	editor-action-reply	EA7D	.	cod
CallIncoming	EditorAction	Communication	call_incoming	editor-action-call-incoming	EB92	.	cod
CallOutgoing	EditorAction	Communication	call_outgoing	editor-action-call-outgoing	EB93	.	cod
Mail	EditorAction	Communication	mail	editor-action-mail	EB1C	.	cod
MailRead	EditorAction	Communication	mail_read	editor-action-mail-read	EB1B	.	cod
Send	EditorAction	Communication	send	editor-action-send	EC0F	.	cod
DesktopDownload	EditorAction	Download	desktop_download	editor-action-desktop-download	EA78	.	cod
Add	EditorAction	Edit	add	editor-action-add	EA60	.	cod
ClearAll	EditorAction	Edit	clear_all	editor-action-clear-all	EABF	.	cod
Combine	EditorAction	Edit	combine	editor-action-combine	EBB6	.	cod
Copy	EditorAction	Edit	copy	editor-action-copy	EBCC	.	cod
Edit	EditorAction	Edit	edit	editor-action-edit	EA73	.	cod
Exclude	EditorAction	Edit	exclude	editor-action-exclude	EAE5	.	cod
Insert	EditorAction	Edit	insert	editor-action-insert	EC11	.	cod
Redo	EditorAction	Edit	redo	editor-action-redo	EBB0	.	cod
Remove	EditorAction	Edit	remove	editor-action-remove	EB3B	.	cod
Replace	EditorAction	Edit	replace	editor-action-replace	EB3D	.	cod
ReplaceAll	EditorAction	Edit	replace_all	editor-action-replace-all	EB3C	.	cod
Lightbulb	EditorAction	Hint	lightbulb	editor-action-lightbulb	EA61	.	cod
LightbulbAutofix	EditorAction	Hint	lightbulb_autofix	editor-action-lightbulb-autofix	EB13	.	cod
Sparkle	EditorAction	Hint	sparkle	editor-action-sparkle	EC10	.	cod
Wand	EditorAction	Hint	wand	editor-action-wand	EBCF	.	cod
History	EditorAction	History	history	editor-action-history	EA82	.	cod
Refresh	EditorAction	History	refresh	editor-action-refresh	EB37	.	cod
Versions	EditorAction	History	versions	editor-action-versions	EB78	.	cod
IssueDraft	EditorAction	Issue	issue_draft	editor-action-issue-draft	EBD9	.	cod
IssueReopened	EditorAction	Issue	issue_reopened	editor-action-issue-reopened	EB0B	.	cod
Issues	EditorAction	Issue	issues	editor-action-issues	EB0C	.	cod
Milestone	EditorAction	Issue	milestone	editor-action-milestone	EB20	.	cod
Tasklist	EditorAction	Issue	tasklist	editor-action-tasklist	EB67	.	cod
Layers	EditorAction	Layer	layers	editor-action-layers	EBD2	.	cod
LayersActive	EditorAction	Layer	layers_active	editor-action-layers-active	EBD4	.	cod
LayersDot	EditorAction	Layer	layers_dot	editor-action-layers-dot	EBD3	.	cod
Link	EditorAction	Link	link	editor-action-link	EB15	.	cod
LinkExternal	EditorAction	Link	link_external	editor-action-link-external	EB14	.	cod
ListFilter	EditorAction	List	list_filter	editor-action-list-filter	EB83	.	cod
ListFlat	EditorAction	List	list_flat	editor-action-list-flat	EB84	.	cod
ListOrdered	EditorAction	List	list_ordered	editor-action-list-ordered	EB16	.	cod
ListSelection	EditorAction	List	list_selection	editor-action-list-selection	EB85	.	cod
ListTree	EditorAction	List	list_tree	editor-action-list-tree	EB86	.	cod
ListUnordered	EditorAction	List	list_unordered	editor-action-list-unordered	EB17	.	cod
SortPrecedence	EditorAction	List	sort_precedence	editor-action-sort-precedence	EB55	.	cod
DeviceCamera	EditorAction	Media	device_camera	editor-action-device-camera	EADA	.	cod
DeviceCameraVideo	EditorAction	Media	device_camera_video	editor-action-device-camera-video	EAD9	.	cod
DeviceMobile	EditorAction	Media	device_mobile	editor-action-device-mobile	EADB	.	cod
Mic	EditorAction	Media	mic	editor-action-mic	EC12	.	cod
MicFilled	EditorAction	Media	mic_filled	editor-action-mic-filled	EC1C	.	cod
Record	EditorAction	Media	record	editor-action-record	EBA7	.	cod
RecordSmall	EditorAction	Media	record_small	editor-action-record-small	EBFA	.	cod
Archive	EditorAction	Misc	archive	editor-action-archive	EA98	.	cod
Blank	EditorAction	Misc	blank	editor-action-blank	EC03	.	cod
Book	EditorAction	Misc	book	editor-action-book	EAA4	.	cod
Briefcase	EditorAction	Misc	briefcase	editor-action-briefcase	EAAC	.	cod
Broadcast	EditorAction	Misc	broadcast	editor-action-broadcast	EAAD	.	cod
Browser	EditorAction	Misc	browser	editor-action-browser	EAAE	.	cod
Calendar	EditorAction	Misc	calendar	editor-action-calendar	EAB0	.	cod
Chip	EditorAction	Misc	chip	editor-action-chip	EC19	.	cod
CircuitBoard	EditorAction	Misc	circuit_board	editor-action-circuit-board	EABE	.	cod
Clippy	EditorAction	Misc	clippy	editor-action-clippy	EAC0	.	cod
Coffee	EditorAction	Misc	coffee	editor-action-coffee	EC15	.	cod
Compass	EditorAction	Misc	compass	editor-action-compass	EBD5	.	cod
CompassActive	EditorAction	Misc	compass_active	editor-action-compass-active	EBD7	.	cod
CompassDot	EditorAction	Misc	compass_dot	editor-action-compass-dot	EBD6	.	cod
CreditCard	EditorAction	Misc	credit_card	editor-action-credit-card	EAC9	.	cod
Dash	EditorAction	Misc	dash	editor-action-dash	EACC	.	cod
Flame	EditorAction	Misc	flame	editor-action-flame	EAF2	.	cod
Game	EditorAction	Misc	game	editor-action-game	EC17	.	cod
Gift	EditorAction	Misc	gift	editor-action-gift	EAF9	.	cod
GistSecret	EditorAction	Misc	gist_secret	editor-action-gist-secret	EAFA	.	cod
Globe	EditorAction	Misc	globe	editor-action-globe	EB01	.	cod
Home	EditorAction	Misc	home	editor-action-home	EB06	.	cod
Inbox	EditorAction	Misc	inbox	editor-action-inbox	EB09	.	cod
Jersey	EditorAction	Misc	jersey	editor-action-jersey	EB0E	.	cod
Law	EditorAction	Misc	law	editor-action-law	EB12	.	cod
Library	EditorAction	Misc	library	editor-action-library	EB9C	.	cod
Loading	EditorAction	Misc	loading	editor-action-loading	EB19	.	cod
Magnet	EditorAction	Misc	magnet	editor-action-magnet	EBAE	.	cod
Map	EditorAction	Misc	map	editor-action-map	EC05	.	cod
MapFilled	EditorAction	Misc	map_filled	editor-action-map-filled	EC06	.	cod
Megaphone	EditorAction	Misc	megaphone	editor-action-megaphone	EB1E	.	cod
Mirror	EditorAction	Misc	mirror	editor-action-mirror	EA69	.	cod
MortarBoard	EditorAction	Misc	mortar_board	editor-action-mortar-board	EB21	.	cod
Music	EditorAction	Misc	music	editor-action-music	EC1B	.	cod
Note	EditorAction	Misc	note	editor-action-note	EB26	.	cod
Output	EditorAction	Misc	output	editor-action-output	EB9D	.	cod
Paintcan	EditorAction	Misc	paintcan	editor-action-paintcan	EB2A	.	cod
Piano	EditorAction	Misc	piano	editor-action-piano	EC1A	.	cod
Plug	EditorAction	Misc	plug	editor-action-plug	EB2D	.	cod
Pulse	EditorAction	Misc	pulse	editor-action-pulse	EB31	.	cod
RadioTower	EditorAction	Misc	radio_tower	editor-action-radio-tower	EB34	.	cod
Rocket	EditorAction	Misc	rocket	editor-action-rocket	EB44	.	cod
Rss	EditorAction	Misc	rss	editor-action-rss	EB47	.	cod
Ruby	EditorAction	Misc	ruby	editor-action-ruby	EB48	.	cod
Snake	EditorAction	Misc	snake	editor-action-snake	EC16	.	cod
Tag	EditorAction	Misc	tag	editor-action-tag	EA66	.	cod
Target	EditorAction	Misc	target	editor-action-target	EBF8	.	cod
Telescope	EditorAction	Misc	telescope	editor-action-telescope	EB68	.	cod
Vr	EditorAction	Misc	vr	editor-action-vr	EC18	.	cod
Project	EditorAction	Project	project	editor-action-project	EB30	.	cod
Circle	EditorAction	Shape	circle	editor-action-circle	EABC	.	cod
CircleFilled	EditorAction	Shape	circle_filled	editor-action-circle-filled	EA71	.	cod
CircleLarge	EditorAction	Shape	circle_large	editor-action-circle-large	EBB5	.	cod
CircleLargeFilled	EditorAction	Shape	circle_large_filled	editor-action-circle-large-filled	EBB4	.	cod
CircleSlash	EditorAction	Shape	circle_slash	editor-action-circle-slash	EABD	.	cod
CircleSmall	EditorAction	Shape	circle_small	editor-action-circle-small	EC07	.	cod
CircleSmallFilled	EditorAction	Shape	circle_small_filled	editor-action-circle-small-filled	EB8A	.	cod
PrimitiveSquare	EditorAction	Shape	primitive_square	editor-action-primitive-square	EA72	.	cod
Heart	EditorAction	Social	heart	editor-action-heart	EB05	.	cod
HeartFilled	EditorAction	Social	heart_filled	editor-action-heart-filled	EC04	.	cod
Mention	EditorAction	Social	mention	editor-action-mention	EB1F	.	cod
Reactions	EditorAction	Social	reactions	editor-action-reactions	EB35	.	cod
Smiley	EditorAction	Social	smiley	editor-action-smiley	EB54	.	cod
StarEmpty	EditorAction	Social	star_empty	editor-action-star-empty	EA6A	.	cod
StarFull	EditorAction	Social	star_full	editor-action-star-full	EB59	.	cod
StarHalf	EditorAction	Social	star_half	editor-action-star-half	EB5A	.	cod
Thumbsdown	EditorAction	Social	thumbsdown	editor-action-thumbsdown	EB6B	.	cod
ThumbsdownFilled	EditorAction	Social	thumbsdown_filled	editor-action-thumbsdown-filled	EC13	.	cod
Thumbsup	EditorAction	Social	thumbsup	editor-action-thumbsup	EB6C	.	cod
ThumbsupFilled	EditorAction	Social	thumbsup_filled	editor-action-thumbsup-filled	EC14	.	cod
Twitter	EditorAction	Social	twitter	editor-action-twitter	EB72	.	cod
GroupByRefType	EditorAction	Structure	group_by_ref_type	editor-action-group-by-ref-type	EB97	.	cod
References	EditorAction	Structure	references	editor-action-references	EB36	.	cod
