name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Mute	EditorChrome	Audio	mute	editor-chrome-mute	EB24	.	cod
Unmute	EditorChrome	Audio	unmute	editor-chrome-unmute	EB75	.	cod
Bookmark	EditorChrome	Bookmark	bookmark	editor-chrome-bookmark	F461	.	oct
BookmarkFill	EditorChrome	Bookmark	bookmark_fill	editor-chrome-bookmark-fill	F47A	.	oct
BookmarkSlash	EditorChrome	Bookmark	bookmark_slash	editor-chrome-bookmark-slash	F533	.	oct
BookmarkSlashFill	EditorChrome	Bookmark	bookmark_slash_fill	editor-chrome-bookmark-slash-fill	F493	.	oct
Dashboard	EditorChrome	Dashboard	dashboard	editor-chrome-dashboard	EACD	.	cod
Extensions	EditorChrome	Extensions	extensions	editor-chrome-extensions	EAE6	.	cod
Filter	EditorChrome	Filter	filter	editor-chrome-filter	EAF1	.	cod
FilterFilled	EditorChrome	Filter	filter_filled	editor-chrome-filter-filled	EBCE	.	cod
DeviceDesktop	EditorChrome	Media	device_desktop	editor-chrome-device-desktop	F4A9	.	oct
Image	EditorChrome	Media	image	editor-chrome-image	F4E5	.	oct
Mute	EditorChrome	Media	mute	editor-chrome-mute	F466	.	oct
Play	EditorChrome	Media	play	editor-chrome-play	F500	.	oct
Stop	EditorChrome	Media	stop	editor-chrome-stop	F46E	.	oct
Unmute	EditorChrome	Media	unmute	editor-chrome-unmute	F485	.	oct
Video	EditorChrome	Media	video	editor-chrome-video	F52C	.	oct
Pin	EditorChrome	Pin	pin	editor-chrome-pin	EB2B	.	cod
Pin	EditorChrome	Pin	pin	editor-chrome-pin	F435	.	oct
Pinned	EditorChrome	Pin	pinned	editor-chrome-pinned	EBA0	.	cod
PinnedDirty	EditorChrome	Pin	pinned_dirty	editor-chrome-pinned-dirty	EBB2	.	cod
Eye	EditorChrome	Preview	eye	editor-chrome-eye	F441	o	oct
EyeClosed	EditorChrome	Preview	eye_closed	editor-chrome-eye-closed	F4C5	o	oct
OpenPreview	EditorChrome	Preview	open_preview	editor-chrome-open-preview	EB28	.	cod
Preview	EditorChrome	Preview	preview	editor-chrome-preview	EB2F	.	cod
Read	EditorChrome	Preview	read	editor-chrome-read	F430	.	oct
SparkleFill	EditorChrome	Preview	sparkle_fill	editor-chrome-sparkle-fill	F51B	.	oct
Telescope	EditorChrome	Preview	telescope	editor-chrome-telescope	F46B	.	oct
TelescopeFill	EditorChrome	Preview	telescope_fill	editor-chrome-telescope-fill	F526	.	oct
Bookmark	EditorChrome	Search	bookmark	editor-chrome-bookmark	EAA5	.	cod
CommandPalette	EditorChrome	Search	command_palette	editor-chrome-command-palette	F4B5	.	oct
Filter	EditorChrome	Search	filter	editor-chrome-filter	F4D7	.	oct
Search	EditorChrome	Search	search	editor-chrome-search	EA6D	?	cod
Search	EditorChrome	Search	search	editor-chrome-search	F422	?	oct
SearchFuzzy	EditorChrome	Search	search_fuzzy	editor-chrome-search-fuzzy	EC0D	?	cod
SearchStop	EditorChrome	Search	search_stop	editor-chrome-search-stop	EB4E	?	cod
Key	EditorChrome	Security	key	editor-chrome-key	EB11	#	cod
Key	EditorChrome	Security	key	editor-chrome-key	F43D	.	oct
KeyAsterisk	EditorChrome	Security	key_asterisk	editor-chrome-key-asterisk	F4EC	.	oct
Lock	EditorChrome	Security	lock	editor-chrome-lock	EA75	#	cod
Lock	EditorChrome	Security	lock	editor-chrome-lock	F456	#	oct
LockSmall	EditorChrome	Security	lock_small	editor-chrome-lock-small	EBE7	#	cod
RecordKeys	EditorChrome	Security	record_keys	editor-chrome-record-keys	EA65	.	cod
Shield	EditorChrome	Security	shield	editor-chrome-shield	EB53	.	cod
Shield	EditorChrome	Security	shield	editor-chrome-shield	F49C	.	oct
ShieldCheck	EditorChrome	Security	shield_check	editor-chrome-shield-check	F510	.	oct
ShieldLock	EditorChrome	Security	shield_lock	editor-chrome-shield-lock	F511	.	oct
ShieldSlash	EditorChrome	Security	shield_slash	editor-chrome-shield-slash	F512	.	oct
ShieldX	EditorChrome	Security	shield_x	editor-chrome-shield-x	F513	.	oct
Unlock	EditorChrome	Security	unlock	editor-chrome-unlock	EB74	#	cod
Unlock	EditorChrome	Security	unlock	editor-chrome-unlock	F52A	#	oct
WorkspaceTrusted	EditorChrome	Security	workspace_trusted	editor-chrome-workspace-trusted	EBC1	.	cod
WorkspaceUnknown	EditorChrome	Security	workspace_unknown	editor-chrome-workspace-unknown	EBC3	.	cod
WorkspaceUntrusted	EditorChrome	Security	workspace_untrusted	editor-chrome-workspace-untrusted	EBC2	.	cod
Gear	EditorChrome	Settings	gear	editor-chrome-gear	EAF8	*	cod
Gear	EditorChrome	Settings	gear	editor-chrome-gear	F423	.	oct
Paintbrush	EditorChrome	Settings	paintbrush	editor-chrome-paintbrush	F48F	.	oct
