name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
DebugBreakpointConditional	EditorDebug	Breakpoint	debug_breakpoint_conditional	editor-debug-debug-breakpoint-conditional	EAA7	b	cod
DebugBreakpointConditionalUnverified	EditorDebug	Breakpoint	debug_breakpoint_conditional_unverified	editor-debug-debug-breakpoint-conditional-unverified	EAA6	b	cod
DebugBreakpointData	EditorDebug	Breakpoint	debug_breakpoint_data	editor-debug-debug-breakpoint-data	EAA9	b	cod
DebugBreakpointDataUnverified	EditorDebug	Breakpoint	debug_breakpoint_data_unverified	editor-debug-debug-breakpoint-data-unverified	EAA8	b	cod
DebugBreakpointFunction	EditorDebug	Breakpoint	debug_breakpoint_function	editor-debug-debug-breakpoint-function	EB88	b	cod
DebugBreakpointFunctionUnverified	EditorDebug	Breakpoint	debug_breakpoint_function_unverified	editor-debug-debug-breakpoint-function-unverified	EB87	b	cod
DebugBreakpointLog	EditorDebug	Breakpoint	debug_breakpoint_log	editor-debug-debug-breakpoint-log	EAAB	b	cod
DebugBreakpointLogUnverified	EditorDebug	Breakpoint	debug_breakpoint_log_unverified	editor-debug-debug-breakpoint-log-unverified	EAAA	b	cod
DebugBreakpointUnsupported	EditorDebug	Breakpoint	debug_breakpoint_unsupported	editor-debug-debug-breakpoint-unsupported	EB8C	b	cod
DebugConsole	EditorDebug	Console	debug_console	editor-debug-debug-console	EB9B	b	cod
DebugContinue	EditorDebug	Control	debug_continue	editor-debug-debug-continue	EACF	b	cod
DebugContinueSmall	EditorDebug	Control	debug_continue_small	editor-debug-debug-continue-small	EBE0	b	cod
DebugDisconnect	EditorDebug	Control	debug_disconnect	editor-debug-debug-disconnect	EAD0	b	cod
DebugLineByLine	EditorDebug	Control	debug_line_by_line	editor-debug-debug-line-by-line	EBD0	b	cod
DebugPause	EditorDebug	Control	debug_pause	editor-debug-debug-pause	EAD1	b	cod
DebugRerun	EditorDebug	Control	debug_rerun	editor-debug-debug-rerun	EBC0	b	cod
DebugRestart	EditorDebug	Control	debug_restart	editor-debug-debug-restart	EAD2	b	cod
DebugRestartFrame	EditorDebug	Control	debug_restart_frame	editor-debug-debug-restart-frame	EB90	b	cod
DebugReverseContinue	EditorDebug	Control	debug_reverse_continue	editor-debug-debug-reverse-continue	EB8E	b	cod
DebugStepBack	EditorDebug	Control	debug_step_back	editor-debug-debug-step-back	EB8F	b	cod
DebugStepInto	EditorDebug	Control	debug_step_into	editor-debug-debug-step-into	EAD4	b	cod
DebugStepOut	EditorDebug	Control	debug_step_out	editor-debug-debug-step-out	EAD5	b	cod
DebugStepOver	EditorDebug	Control	debug_step_over	editor-debug-debug-step-over	EAD6	b	cod
DebugCoverage	EditorDebug	Coverage	debug_coverage	editor-debug-debug-coverage	EBDD	b	cod
Debug	EditorDebug	General	debug	editor-debug-debug	EAD8	b	cod
DebugAll	EditorDebug	General	debug_all	editor-debug-debug-all	EBDC	b	cod
DebugAlt	EditorDebug	General	debug_alt	editor-debug-debug-alt	EB91	b	cod
DebugAltSmall	EditorDebug	General	debug_alt_small	editor-debug-debug-alt-small	EBA8	b	cod
ActivateBreakpoints	EditorDebug	Run	activate_breakpoints	editor-debug-activate-breakpoints	EA97	.	cod
DebugStart	EditorDebug	Run	debug_start	editor-debug-debug-start	EAD3	b	cod
DebugStop	EditorDebug	Run	debug_stop	editor-debug-debug-stop	EAD7	b	cod
Play	EditorDebug	Run	play	editor-debug-play	EB2C	>	cod
PlayCircle	EditorDebug	Run	play_circle	editor-debug-play-circle	EBA6	>	cod
RunAbove	EditorDebug	Run	run_above	editor-debug-run-above	EBBD	>	cod
RunAll	EditorDebug	Run	run_all	editor-debug-run-all	EB9E	>	cod
RunBelow	EditorDebug	Run	run_below	editor-debug-run-below	EBBE	>	cod
RunErrors	EditorDebug	Run	run_errors	editor-debug-run-errors	EBDE	>	cod
StopCircle	EditorDebug	Run	stop_circle	editor-debug-stop-circle	EBA5	>	cod
DebugStackframe	EditorDebug	Stack	debug_stackframe	editor-debug-debug-stackframe	EB8B	b	cod
DebugStackframeActive	EditorDebug	Stack	debug_stackframe_active	editor-debug-debug-stackframe-active	EB89	b	cod
Bug	EditorDebug	Test	bug	editor-debug-bug	EAAF	.	cod
Inspect	EditorDebug	Test	inspect	editor-debug-inspect	EBD1	.	cod
VariableGroup	EditorDebug	Watch	variable_group	editor-debug-variable-group	EBB8	.	cod
Watch	EditorDebug	Watch	watch	editor-debug-watch	EB7C	.	cod
