name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Add	EditorEdit	Edit	add	editor-edit-add	EA60	e	cod
ClearAll	EditorEdit	Edit	clear_all	editor-edit-clear-all	EABF	e	cod
Copy	EditorEdit	Edit	copy	editor-edit-copy	EBCC	e	cod
Copy	EditorEdit	Edit	copy	editor-edit-copy	F4BB	e	oct
Duplicate	EditorEdit	Edit	duplicate	editor-edit-duplicate	F4C4	e	oct
Edit	EditorEdit	Edit	edit	editor-edit-edit	EA73	e	cod
Insert	EditorEdit	Edit	insert	editor-edit-insert	EC11	e	cod
Paste	EditorEdit	Edit	paste	editor-edit-paste	F429	e	oct
Pencil	EditorEdit	Edit	pencil	editor-edit-pencil	F448	e	oct
Plus	EditorEdit	Edit	plus	editor-edit-plus	F44D	e	oct
PlusCircle	EditorEdit	Edit	plus_circle	editor-edit-plus-circle	F501	e	oct
Redo	EditorEdit	Edit	redo	editor-edit-redo	EBB0	e	cod
Remove	EditorEdit	Edit	remove	editor-edit-remove	EB3B	e	cod
Replace	EditorEdit	Edit	replace	editor-edit-replace	EB3D	e	cod
ReplaceAll	EditorEdit	Edit	replace_all	editor-edit-replace-all	EB3C	e	cod
Trash	EditorEdit	Edit	trash	editor-edit-trash	F48E	e	oct
Clippy	EditorEdit	Transform	clippy	editor-edit-clippy	EAC0	e	cod
Combine	EditorEdit	Transform	combine	editor-edit-combine	EBB6	e	cod
Exclude	EditorEdit	Transform	exclude	editor-edit-exclude	EAE5	e	cod
Paperclip	EditorEdit	Transform	paperclip	editor-edit-paperclip	F4FB	e	oct
