name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Trash	EditorFile	Delete	trash	editor-file-trash	EA81	.	cod
Export	EditorFile	File	export	editor-file-export	EBAC	.	cod
File	EditorFile	File	file	editor-file-file	EA7B	F	cod
File	EditorFile	File	file	editor-file-file	F4A5	F	oct
FileAdded	EditorFile	File	file_added	editor-file-file-added	F4D0	F	oct
FileBadge	EditorFile	File	file_badge	editor-file-file-badge	F4D1	F	oct
FileBinary	EditorFile	File	file_binary	editor-file-file-binary	EAE8	F	cod
FileBinary	EditorFile	File	file_binary	editor-file-file-binary	F471	F	oct
FileCode	EditorFile	File	file_code	editor-file-file-code	EAE9	F	cod
FileCode	EditorFile	File	file_code	editor-file-file-code	F40D	F	oct
FileMedia	EditorFile	File	file_media	editor-file-file-media	EAEA	F	cod
FileMedia	EditorFile	File	file_media	editor-file-file-media	F40F	F	oct
FileMoved	EditorFile	File	file_moved	editor-file-file-moved	F4D5	F	oct
FilePdf	EditorFile	File	file_pdf	editor-file-file-pdf	EAEB	F	cod
FileRemoved	EditorFile	File	file_removed	editor-file-file-removed	F4D6	F	oct
FileSubmodule	EditorFile	File	file_submodule	editor-file-file-submodule	EAEC	F	cod
FileSubmodule	EditorFile	File	file_submodule	editor-file-file-submodule	F414	F	oct
FileSymlinkDirectory	EditorFile	File	file_symlink_directory	editor-file-file-symlink-directory	EAED	F	cod
FileSymlinkDirectory	EditorFile	File	file_symlink_directory	editor-file-file-symlink-directory	F482	F	oct
FileSymlinkFile	EditorFile	File	file_symlink_file	editor-file-file-symlink-file	EAEE	F	cod
FileSymlinkFile	EditorFile	File	file_symlink_file	editor-file-file-symlink-file	F481	F	oct
FileZip	EditorFile	File	file_zip	editor-file-file-zip	EAEF	F	cod
FileZip	EditorFile	File	file_zip	editor-file-file-zip	F410	F	oct
Files	EditorFile	File	files	editor-file-files	EAF0	F	cod
FileDirectory	EditorFile	Folder	file_directory	editor-file-file-directory	F413	F	oct
FileDirectoryFill	EditorFile	Folder	file_directory_fill	editor-file-file-directory-fill	F4D3	F	oct
FileDirectoryOpenFill	EditorFile	Folder	file_directory_open_fill	editor-file-file-directory-open-fill	F4D4	F	oct
Folder	EditorFile	Folder	folder	editor-file-folder	EA83	F	cod
FolderActive	EditorFile	Folder	folder_active	editor-file-folder-active	EAF6	F	cod
FolderLibrary	EditorFile	Folder	folder_library	editor-file-folder-library	EBDF	F	cod
FolderOpened	EditorFile	Folder	folder_opened	editor-file-folder-opened	EAF7	F	cod
RootFolder	EditorFile	Folder	root_folder	editor-file-root-folder	EB46	.	cod
RootFolderOpened	EditorFile	Folder	root_folder_opened	editor-file-root-folder-opened	EB45	.	cod
NewFile	EditorFile	New	new_file	editor-file-new-file	EA7F	.	cod
NewFolder	EditorFile	New	new_folder	editor-file-new-folder	EA80	.	cod
Notebook	EditorFile	Notebook	notebook	editor-file-notebook	EBAF	.	cod
NotebookTemplate	EditorFile	Notebook	notebook_template	editor-file-notebook-template	EBBF	.	cod
Save	EditorFile	Save	save	editor-file-save	EB4B	F	cod
SaveAll	EditorFile	Save	save_all	editor-file-save-all	EB49	F	cod
SaveAs	EditorFile	Save	save_as	editor-file-save-as	EB4A	F	cod
