name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Fold	EditorFormat	Fold	fold	editor-format-fold	EAF5	.	cod
FoldDown	EditorFormat	Fold	fold_down	editor-format-fold-down	EAF3	.	cod
FoldUp	EditorFormat	Fold	fold_up	editor-format-fold-up	EAF4	.	cod
Unfold	EditorFormat	Fold	unfold	editor-format-unfold	EB73	.	cod
Code	EditorFormat	Language	code	editor-format-code	EAC4	.	cod
Code	EditorFormat	Language	code	editor-format-code	F44F	.	oct
CodeSquare	EditorFormat	Language	code_square	editor-format-code-square	F4B0	.	oct
Json	EditorFormat	Language	json	editor-format-json	EB0F	.	cod
Markdown	EditorFormat	Language	markdown	editor-format-markdown	EB1D	.	cod
Regex	EditorFormat	Language	regex	editor-format-regex	EB38	.	cod
ListFilter	EditorFormat	List	list_filter	editor-format-list-filter	EB83	.	cod
ListFlat	EditorFormat	List	list_flat	editor-format-list-flat	EB84	.	cod
ListOrdered	EditorFormat	List	list_ordered	editor-format-list-ordered	EB16	.	cod
ListOrdered	EditorFormat	List	list_ordered	editor-format-list-ordered	F452	.	oct
ListSelection	EditorFormat	List	list_selection	editor-format-list-selection	EB85	.	cod
ListTree	EditorFormat	List	list_tree	editor-format-list-tree	EB86	.	cod
ListUnordered	EditorFormat	List	list_unordered	editor-format-list-unordered	EB17	.	cod
ListUnordered	EditorFormat	List	list_unordered	editor-format-list-unordered	F451	.	oct
SortPrecedence	EditorFormat	List	sort_precedence	editor-format-sort-precedence	EB55	.	cod
Bold	EditorFormat	Style	bold	editor-format-bold	EAA3	.	cod
Bold	EditorFormat	Style	bold	editor-format-bold	F49D	.	oct
CaseSensitive	EditorFormat	Style	case_sensitive	editor-format-case-sensitive	EAB1	.	cod
Hash	EditorFormat	Style	hash	editor-format-hash	F4DF	.	oct
Heading	EditorFormat	Style	heading	editor-format-heading	F4E0	.	oct
HorizontalRule	EditorFormat	Style	horizontal_rule	editor-format-horizontal-rule	EB07	.	cod
HorizontalRule	EditorFormat	Style	horizontal_rule	editor-format-horizontal-rule	F45B	.	oct
Indent	EditorFormat	Style	indent	editor-format-indent	EBF9	.	cod
Italic	EditorFormat	Style	italic	editor-format-italic	EB0D	.	cod
Italic	EditorFormat	Style	italic	editor-format-italic	F49F	.	oct
Markdown	EditorFormat	Style	markdown	editor-format-markdown	F48A	.	oct
Newline	EditorFormat	Style	newline	editor-format-newline	EBEA	.	cod
NoNewline	EditorFormat	Style	no_newline	editor-format-no-newline	EB25	.	cod
Number	EditorFormat	Style	number	editor-format-number	F4F7	.	oct
PreserveCase	EditorFormat	Style	preserve_case	editor-format-preserve-case	EB2E	.	cod
Quote	EditorFormat	Style	quote	editor-format-quote	EB33	.	cod
Quote	EditorFormat	Style	quote	editor-format-quote	F453	.	oct
Strikethrough	EditorFormat	Style	strikethrough	editor-format-strikethrough	F521	.	oct
TextSize	EditorFormat	Style	text_size	editor-format-text-size	EB69	.	cod
Typography	EditorFormat	Style	typography	editor-format-typography	F528	.	oct
Whitespace	EditorFormat	Style	whitespace	editor-format-whitespace	EB7D	.	cod
WholeWord	EditorFormat	Style	whole_word	editor-format-whole-word	EB7E	.	cod
WordWrap	EditorFormat	Style	word_wrap	editor-format-word-wrap	EB80	.	cod
