name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Layout	EditorLayout	Layout	layout	editor-layout-layout	EBEB	L	cod
LayoutActivitybarLeft	EditorLayout	Layout	layout_activitybar_left	editor-layout-layout-activitybar-left	EBEC	L	cod
LayoutActivitybarRight	EditorLayout	Layout	layout_activitybar_right	editor-layout-layout-activitybar-right	EBED	L	cod
LayoutCentered	EditorLayout	Layout	layout_centered	editor-layout-layout-centered	EBF7	L	cod
LayoutMenubar	EditorLayout	Layout	layout_menubar	editor-layout-layout-menubar	EBF6	L	cod
LayoutStatusbar	EditorLayout	Layout	layout_statusbar	editor-layout-layout-statusbar	EBF5	L	cod
LayoutPanel	EditorLayout	Panel	layout_panel	editor-layout-layout-panel	EBF2	L	cod
LayoutPanelCenter	EditorLayout	Panel	layout_panel_center	editor-layout-layout-panel-center	EBEF	L	cod
LayoutPanelJustify	EditorLayout	Panel	layout_panel_justify	editor-layout-layout-panel-justify	EBF0	L	cod
LayoutPanelLeft	EditorLayout	Panel	layout_panel_left	editor-layout-layout-panel-left	EBEE	L	cod
LayoutPanelOff	EditorLayout	Panel	layout_panel_off	editor-layout-layout-panel-off	EC01	L	cod
LayoutPanelRight	EditorLayout	Panel	layout_panel_right	editor-layout-layout-panel-right	EBF1	L	cod
LayoutSidebarLeft	EditorLayout	Sidebar	layout_sidebar_left	editor-layout-layout-sidebar-left	EBF3	L	cod
LayoutSidebarLeftOff	EditorLayout	Sidebar	layout_sidebar_left_off	editor-layout-layout-sidebar-left-off	EC02	L	cod
LayoutSidebarRight	EditorLayout	Sidebar	layout_sidebar_right	editor-layout-layout-sidebar-right	EBF4	L	cod
LayoutSidebarRightOff	EditorLayout	Sidebar	layout_sidebar_right_off	editor-layout-layout-sidebar-right-off	EC00	L	cod
SplitHorizontal	EditorLayout	Split	split_horizontal	editor-layout-split-horizontal	EB56	L	cod
SplitVertical	EditorLayout	Split	split_vertical	editor-layout-split-vertical	EB57	L	cod
EditorLayout	EditorLayout	View	editor_layout	editor-layout-editor-layout	EAE3	.	cod
CollapseAll	EditorLayout	Window	collapse_all	editor-layout-collapse-all	EAC5	.	cod
EmptyWindow	EditorLayout	Window	empty_window	editor-layout-empty-window	EAE4	.	cod
ExpandAll	EditorLayout	Window	expand_all	editor-layout-expand-all	EB95	.	cod
MultipleWindows	EditorLayout	Window	multiple_windows	editor-layout-multiple-windows	EB23	.	cod
ScreenFull	EditorLayout	Window	screen_full	editor-layout-screen-full	EB4C	.	cod
ScreenFull	EditorLayout	Window	screen_full	editor-layout-screen-full	F50C	.	oct
ScreenNormal	EditorLayout	Window	screen_normal	editor-layout-screen-normal	EB4D	.	cod
ScreenNormal	EditorLayout	Window	screen_normal	editor-layout-screen-normal	F50D	.	oct
Window	EditorLayout	Window	window	editor-layout-window	EB7F	.	cod
