name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Copilot	EditorMisc	Bot	copilot	editor-misc-copilot	EC1E	.	cod
Hubot	EditorMisc	Bot	hubot	editor-misc-hubot	EB08	.	cod
Octoface	EditorMisc	Bot	octoface	editor-misc-octoface	EB27	.	cod
Squirrel	EditorMisc	Bot	squirrel	editor-misc-squirrel	EB58	.	cod
Table	EditorMisc	Chart	table	editor-misc-table	EBB7	.	cod
LiveShare	EditorMisc	Collaboration	live_share	editor-misc-live-share	EB18	.	cod
Apps	EditorMisc	Face	apps	editor-misc-apps	F40E	.	oct
Archive	EditorMisc	Face	archive	editor-misc-archive	F411	.	oct
Book	EditorMisc	Face	book	editor-misc-book	F405	.	oct
Briefcase	EditorMisc	Face	briefcase	editor-misc-briefcase	F491	.	oct
Browser	EditorMisc	Face	browser	editor-misc-browser	F488	.	oct
Cache	EditorMisc	Face	cache	editor-misc-cache	F49B	.	oct
Calendar	EditorMisc	Face	calendar	editor-misc-calendar	F455	.	oct
Clock	EditorMisc	Face	clock	editor-misc-clock	F43A	.	oct
ClockFill	EditorMisc	Face	clock_fill	editor-misc-clock-fill	F4AB	.	oct
Diamond	EditorMisc	Face	diamond	editor-misc-diamond	F4BF	.	oct
Flame	EditorMisc	Face	flame	editor-misc-flame	F490	.	oct
Globe	EditorMisc	Face	globe	editor-misc-globe	F484	.	oct
Home	EditorMisc	Face	home	editor-misc-home	F46D	.	oct
HomeFill	EditorMisc	Face	home_fill	editor-misc-home-fill	F4E2	.	oct
Hourglass	EditorMisc	Face	hourglass	editor-misc-hourglass	F4E3	.	oct
Infinity	EditorMisc	Face	infinity	editor-misc-infinity	F4E6	.	oct
Iterations	EditorMisc	Face	iterations	editor-misc-iterations	F4EA	.	oct
LightBulb	EditorMisc	Face	light_bulb	editor-misc-light-bulb	F400	.	oct
Link	EditorMisc	Face	link	editor-misc-link	F44C	.	oct
LinkExternal	EditorMisc	Face	link_external	editor-misc-link-external	F465	.	oct
Log	EditorMisc	Face	log	editor-misc-log	F4ED	.	oct
Megaphone	EditorMisc	Face	megaphone	editor-misc-megaphone	F45F	.	oct
Meter	EditorMisc	Face	meter	editor-misc-meter	F463	.	oct
Moon	EditorMisc	Face	moon	editor-misc-moon	F4EE	.	oct
MortarBoard	EditorMisc	Face	mortar_board	editor-misc-mortar-board	F494	.	oct
Note	EditorMisc	Face	note	editor-misc-note	F4F6	.	oct
PaperAirplane	EditorMisc	Face	paper_airplane	editor-misc-paper-airplane	F4FA	.	oct
Rocket	EditorMisc	Face	rocket	editor-misc-rocket	F427	.	oct
Share	EditorMisc	Face	share	editor-misc-share	F50E	.	oct
ShareAndroid	EditorMisc	Face	share_android	editor-misc-share-android	F50F	.	oct
Stack	EditorMisc	Face	stack	editor-misc-stack	F51E	.	oct
Stopwatch	EditorMisc	Face	stopwatch	editor-misc-stopwatch	F520	.	oct
Sun	EditorMisc	Face	sun	editor-misc-sun	F522	.	oct
Tasklist	EditorMisc	Face	tasklist	editor-misc-tasklist	F4A0	.	oct
Tools	EditorMisc	Face	tools	editor-misc-tools	F425	.	oct
Trophy	EditorMisc	Face	trophy	editor-misc-trophy	F527	.	oct
