name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
ArrowBoth	EditorNavigation	Arrow	arrow_both	editor-navigation-arrow-both	EA99	^	cod
ArrowBoth	EditorNavigation	Arrow	arrow_both	editor-navigation-arrow-both	F416	^	oct
ArrowCircleDown	EditorNavigation	Arrow	arrow_circle_down	editor-navigation-arrow-circle-down	EBFC	^	cod
ArrowCircleLeft	EditorNavigation	Arrow	arrow_circle_left	editor-navigation-arrow-circle-left	EBFD	^	cod
ArrowCircleRight	EditorNavigation	Arrow	arrow_circle_right	editor-navigation-arrow-circle-right	EBFE	^	cod
ArrowCircleUp	EditorNavigation	Arrow	arrow_circle_up	editor-navigation-arrow-circle-up	EBFF	^	cod
ArrowDown	EditorNavigation	Arrow	arrow_down	editor-navigation-arrow-down	EA9A	^	cod
ArrowDown	EditorNavigation	Arrow	arrow_down	editor-navigation-arrow-down	F433	^	oct
ArrowDownLeft	EditorNavigation	Arrow	arrow_down_left	editor-navigation-arrow-down-left	F424	^	oct
ArrowDownRight	EditorNavigation	Arrow	arrow_down_right	editor-navigation-arrow-down-right	F43E	^	oct
ArrowLeft	EditorNavigation	Arrow	arrow_left	editor-navigation-arrow-left	EA9B	^	cod
ArrowLeft	EditorNavigation	Arrow	arrow_left	editor-navigation-arrow-left	F434	^	oct
ArrowRight	EditorNavigation	Arrow	arrow_right	editor-navigation-arrow-right	EA9C	^	cod
ArrowRight	EditorNavigation	Arrow	arrow_right	editor-navigation-arrow-right	F432	^	oct
ArrowSmallDown	EditorNavigation	Arrow	arrow_small_down	editor-navigation-arrow-small-down	EA9D	^	cod
ArrowSmallLeft	EditorNavigation	Arrow	arrow_small_left	editor-navigation-arrow-small-left	EA9E	^	cod
ArrowSmallRight	EditorNavigation	Arrow	arrow_small_right	editor-navigation-arrow-small-right	EA9F	^	cod
ArrowSmallUp	EditorNavigation	Arrow	arrow_small_up	editor-navigation-arrow-small-up	EAA0	^	cod
ArrowSwap	EditorNavigation	Arrow	arrow_swap	editor-navigation-arrow-swap	EBCB	^	cod
ArrowSwitch	EditorNavigation	Arrow	arrow_switch	editor-navigation-arrow-switch	F443	^	oct
ArrowUp	EditorNavigation	Arrow	arrow_up	editor-navigation-arrow-up	EAA1	^	cod
ArrowUp	EditorNavigation	Arrow	arrow_up	editor-navigation-arrow-up	F431	^	oct
ArrowUpLeft	EditorNavigation	Arrow	arrow_up_left	editor-navigation-arrow-up-left	F45C	^	oct
ArrowUpRight	EditorNavigation	Arrow	arrow_up_right	editor-navigation-arrow-up-right	F46C	^	oct
ChevronDown	EditorNavigation	Chevron	chevron_down	editor-navigation-chevron-down	EAB4	^	cod
ChevronDown	EditorNavigation	Chevron	chevron_down	editor-navigation-chevron-down	F47C	^	oct
ChevronLeft	EditorNavigation	Chevron	chevron_left	editor-navigation-chevron-left	EAB5	^	cod
ChevronLeft	EditorNavigation	Chevron	chevron_left	editor-navigation-chevron-left	F47D	^	oct
ChevronRight	EditorNavigation	Chevron	chevron_right	editor-navigation-chevron-right	EAB6	^	cod
ChevronRight	EditorNavigation	Chevron	chevron_right	editor-navigation-chevron-right	F460	^	oct
ChevronUp	EditorNavigation	Chevron	chevron_up	editor-navigation-chevron-up	EAB7	^	cod
ChevronUp	EditorNavigation	Chevron	chevron_up	editor-navigation-chevron-up	F47B	^	oct
Fold	EditorNavigation	Fold	fold	editor-navigation-fold	F48C	.	oct
FoldDown	EditorNavigation	Fold	fold_down	editor-navigation-fold-down	F4D9	.	oct
FoldUp	EditorNavigation	Fold	fold_up	editor-navigation-fold-up	F4DA	.	oct
Unfold	EditorNavigation	Fold	unfold	editor-navigation-unfold	F42D	.	oct
GoToFile	EditorNavigation	Location	go_to_file	editor-navigation-go-to-file	EA94	@	cod
Location	EditorNavigation	Location	location	editor-navigation-location	EB1A	@	cod
Location	EditorNavigation	Location	location	editor-navigation-location	F450	.	oct
Move	EditorNavigation	Location	move	editor-navigation-move	EB22	.	cod
MoveToBottom	EditorNavigation	Move	move_to_bottom	editor-navigation-move-to-bottom	F4EF	.	oct
MoveToEnd	EditorNavigation	Move	move_to_end	editor-navigation-move-to-end	F4F0	.	oct
MoveToStart	EditorNavigation	Move	move_to_start	editor-navigation-move-to-start	F4F1	.	oct
MoveToTop	EditorNavigation	Move	move_to_top	editor-navigation-move-to-top	F4F2	.	oct
SidebarCollapse	EditorNavigation	Sidebar	sidebar_collapse	editor-navigation-sidebar-collapse	F514	.	oct
SidebarExpand	EditorNavigation	Sidebar	sidebar_expand	editor-navigation-sidebar-expand	F515	.	oct
Skip	EditorNavigation	Sort	skip	editor-navigation-skip	F517	.	oct
SkipFill	EditorNavigation	Sort	skip_fill	editor-navigation-skip-fill	F518	.	oct
SortAsc	EditorNavigation	Sort	sort_asc	editor-navigation-sort-asc	F519	.	oct
SortDesc	EditorNavigation	Sort	sort_desc	editor-navigation-sort-desc	F51A	.	oct
Tab	EditorNavigation	Tab	tab	editor-navigation-tab	F523	.	oct
TabExternal	EditorNavigation	Tab	tab_external	editor-navigation-tab-external	F524	.	oct
Table	EditorNavigation	Tab	table	editor-navigation-table	F525	.	oct
TriangleDown	EditorNavigation	Triangle	triangle_down	editor-navigation-triangle-down	EB6E	^	cod
TriangleLeft	EditorNavigation	Triangle	triangle_left	editor-navigation-triangle-left	EB6F	^	cod
TriangleRight	EditorNavigation	Triangle	triangle_right	editor-navigation-triangle-right	EB70	^	cod
TriangleUp	EditorNavigation	Triangle	triangle_up	editor-navigation-triangle-up	EB71	^	cod
