name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Azure	EditorRemote	Cloud	azure	editor-remote-azure	EBD8	.	cod
AzureDevops	EditorRemote	Cloud	azure_devops	editor-remote-azure-devops	EBE8	.	cod
Cloud	EditorRemote	Cloud	cloud	editor-remote-cloud	EBAA	C	cod
Cloud	EditorRemote	Cloud	cloud	editor-remote-cloud	F4AC	.	oct
CloudDownload	EditorRemote	Cloud	cloud_download	editor-remote-cloud-download	EAC2	C	cod
CloudOffline	EditorRemote	Cloud	cloud_offline	editor-remote-cloud-offline	F4AD	.	oct
CloudUpload	EditorRemote	Cloud	cloud_upload	editor-remote-cloud-upload	EAC3	C	cod
Plug	EditorRemote	Device	plug	editor-remote-plug	F492	.	oct
DesktopDownload	EditorRemote	Download	desktop_download	editor-remote-desktop-download	EA78	.	cod
DesktopDownload	EditorRemote	Download	desktop_download	editor-remote-desktop-download	F498	.	oct
Download	EditorRemote	Download	download	editor-remote-download	F409	.	oct
Upload	EditorRemote	Download	upload	editor-remote-upload	F40A	.	oct
Container	EditorRemote	Package	container	editor-remote-container	F4B7	.	oct
Cpu	EditorRemote	Package	cpu	editor-remote-cpu	F4BC	.	oct
Database	EditorRemote	Package	database	editor-remote-database	EACE	.	cod
Database	EditorRemote	Package	database	editor-remote-database	F472	.	oct
Package	EditorRemote	Package	package	editor-remote-package	EB29	.	cod
Package	EditorRemote	Package	package	editor-remote-package	F487	.	oct
PackageDependencies	EditorRemote	Package	package_dependencies	editor-remote-package-dependencies	F4F8	.	oct
PackageDependents	EditorRemote	Package	package_dependents	editor-remote-package-dependents	F4F9	.	oct
Server	EditorRemote	Server	server	editor-remote-server	EB50	C	cod
Server	EditorRemote	Server	server	editor-remote-server	F473	.	oct
ServerEnvironment	EditorRemote	Server	server_environment	editor-remote-server-environment	EBA3	C	cod
ServerProcess	EditorRemote	Server	server_process	editor-remote-server-process	EBA2	C	cod
