name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Circle	EditorShape	Shape	circle	editor-shape-circle	EABC	.	cod
Circle	EditorShape	Shape	circle	editor-shape-circle	F4AA	.	oct
CircleFilled	EditorShape	Shape	circle_filled	editor-shape-circle-filled	EA71	.	cod
CircleLarge	EditorShape	Shape	circle_large	editor-shape-circle-large	EBB5	.	cod
CircleLargeFilled	EditorShape	Shape	circle_large_filled	editor-shape-circle-large-filled	EBB4	.	cod
CircleSlash	EditorShape	Shape	circle_slash	editor-shape-circle-slash	EABD	.	cod
CircleSlash	EditorShape	Shape	circle_slash	editor-shape-circle-slash	F468	.	oct
CircleSmall	EditorShape	Shape	circle_small	editor-shape-circle-small	EC07	.	cod
CircleSmallFilled	EditorShape	Shape	circle_small_filled	editor-shape-circle-small-filled	EB8A	.	cod
Dash	EditorShape	Shape	dash	editor-shape-dash	EACC	.	cod
Dash	EditorShape	Shape	dash	editor-shape-dash	F48B	e	oct
PrimitiveSquare	EditorShape	Shape	primitive_square	editor-shape-primitive-square	EA72	.	cod
Square	EditorShape	Shape	square	editor-shape-square	F51D	.	oct
SquareFill	EditorShape	Shape	square_fill	editor-shape-square-fill	F445	.	oct
TriangleDown	EditorShape	Shape	triangle_down	editor-shape-triangle-down	F44B	^	oct
TriangleLeft	EditorShape	Shape	triangle_left	editor-shape-triangle-left	F438	^	oct
TriangleRight	EditorShape	Shape	triangle_right	editor-shape-triangle-right	F44A	^	oct
TriangleUp	EditorShape	Shape	triangle_up	editor-shape-triangle-up	F47E	^	oct
