name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
FeedHeart	EditorSocial	Heart	feed_heart	editor-social-feed-heart	F4C8	f	oct
Heart	EditorSocial	Heart	heart	editor-social-heart	EB05	.	cod
Heart	EditorSocial	Heart	heart	editor-social-heart	2665	<3	oct
HeartFill	EditorSocial	Heart	heart_fill	editor-social-heart-fill	F4E1	<3	oct
HeartFilled	EditorSocial	Heart	heart_filled	editor-social-heart-filled	EC04	.	cod
Mention	EditorSocial	Reaction	mention	editor-social-mention	EB1F	.	cod
Mention	EditorSocial	Reaction	mention	editor-social-mention	F486	.	oct
Reactions	EditorSocial	Reaction	reactions	editor-social-reactions	EB35	.	cod
Smiley	EditorSocial	Reaction	smiley	editor-social-smiley	EB54	.	cod
Smiley	EditorSocial	Reaction	smiley	editor-social-smiley	F4A2	.	oct
Star	EditorSocial	Reaction	star	editor-social-star	F41E	*	oct
Unverified	EditorSocial	Reaction	unverified	editor-social-unverified	F4A3	.	oct
StarEmpty	EditorSocial	Star	star_empty	editor-social-star-empty	EA6A	.	cod
StarFill	EditorSocial	Star	star_fill	editor-social-star-fill	F51F	*	oct
StarFull	EditorSocial	Star	star_full	editor-social-star-full	EB59	.	cod
StarHalf	EditorSocial	Star	star_half	editor-social-star-half	EB5A	.	cod
Thumbsdown	EditorSocial	Thumb	thumbsdown	editor-social-thumbsdown	EB6B	.	cod
Thumbsdown	EditorSocial	Thumb	thumbsdown	editor-social-thumbsdown	F497	T	oct
Thumbsup	EditorSocial	Thumb	thumbsup	editor-social-thumbsup	EB6C	.	cod
Thumbsup	EditorSocial	Thumb	thumbsup	editor-social-thumbsup	F496	T	oct
