name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Alert	EditorStatus	Alert	alert	editor-status-alert	F421	!	oct
AlertFill	EditorStatus	Alert	alert_fill	editor-status-alert-fill	F40C	!	oct
Bell	EditorStatus	Alert	bell	editor-status-bell	EAA2	B	cod
BellDot	EditorStatus	Alert	bell_dot	editor-status-bell-dot	EB9A	B	cod
BellSlash	EditorStatus	Alert	bell_slash	editor-status-bell-slash	EC08	B	cod
BellSlashDot	EditorStatus	Alert	bell_slash_dot	editor-status-bell-slash-dot	EC09	B	cod
Bell	EditorStatus	Bell	bell	editor-status-bell	F49A	B	oct
BellFill	EditorStatus	Bell	bell_fill	editor-status-bell-fill	F476	B	oct
BellSlash	EditorStatus	Bell	bell_slash	editor-status-bell-slash	F478	B	oct
Blocked	EditorStatus	Block	blocked	editor-status-blocked	F479	.	oct
Dot	EditorStatus	Block	dot	editor-status-dot	F4C3	.	oct
DotFill	EditorStatus	Block	dot_fill	editor-status-dot-fill	F444	.	oct
NoEntry	EditorStatus	Block	no_entry	editor-status-no-entry	F4F4	.	oct
Unread	EditorStatus	Block	unread	editor-status-unread	F52B	.	oct
Check	EditorStatus	Check	check	editor-status-check	F42E	+	oct
CheckCircle	EditorStatus	Check	check_circle	editor-status-check-circle	F49E	+	oct
CheckCircleFill	EditorStatus	Check	check_circle_fill	editor-status-check-circle-fill	F4A4	+	oct
Checkbox	EditorStatus	Check	checkbox	editor-status-checkbox	F4A7	+	oct
Checklist	EditorStatus	Check	checklist	editor-status-checklist	F45E	+	oct
X	EditorStatus	Close	x	editor-status-x	F467	!	oct
XCircle	EditorStatus	Close	x_circle	editor-status-x-circle	F52F	!	oct
XCircleFill	EditorStatus	Close	x_circle_fill	editor-status-x-circle-fill	F530	!	oct
BracketError	EditorStatus	Error	bracket_error	editor-status-bracket-error	EBE6	.	cod
Error	EditorStatus	Error	error	editor-status-error	EA87	X	cod
ErrorSmall	EditorStatus	Error	error_small	editor-status-error-small	EBFB	X	cod
Feedback	EditorStatus	Info	feedback	editor-status-feedback	EB96	i	cod
Info	EditorStatus	Info	info	editor-status-info	EA74	i	cod
Info	EditorStatus	Info	info	editor-status-info	F449	.	oct
Question	EditorStatus	Info	question	editor-status-question	EB32	i	cod
Question	EditorStatus	Info	question	editor-status-question	F420	.	oct
Report	EditorStatus	Info	report	editor-status-report	F50A	R	oct
Check	EditorStatus	Success	check	editor-status-check	EAB2	+	cod
CheckAll	EditorStatus	Success	check_all	editor-status-check-all	EBB1	+	cod
Checklist	EditorStatus	Success	checklist	editor-status-checklist	EAB3	+	cod
Pass	EditorStatus	Success	pass	editor-status-pass	EBA4	+	cod
PassFilled	EditorStatus	Success	pass_filled	editor-status-pass-filled	EBB3	+	cod
Unverified	EditorStatus	Success	unverified	editor-status-unverified	EB76	.	cod
Verified	EditorStatus	Success	verified	editor-status-verified	EB77	+	cod
VerifiedFilled	EditorStatus	Success	verified_filled	editor-status-verified-filled	EBE9	+	cod
PasskeyFill	EditorStatus	Verified	passkey_fill	editor-status-passkey-fill	F4FC	.	oct
Verified	EditorStatus	Verified	verified	editor-status-verified	F4A1	+	oct
Warning	EditorStatus	Warning	warning	editor-status-warning	EA6C	!	cod
