name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
GroupByRefType	EditorSymbol	Group	group_by_ref_type	editor-symbol-group-by-ref-type	EB97	.	cod
UngroupByRefType	EditorSymbol	Group	ungroup_by_ref_type	editor-symbol-ungroup-by-ref-type	EB98	.	cod
TypeHierarchy	EditorSymbol	Hierarchy	type_hierarchy	editor-symbol-type-hierarchy	EBB9	.	cod
TypeHierarchySub	EditorSymbol	Hierarchy	type_hierarchy_sub	editor-symbol-type-hierarchy-sub	EBBA	.	cod
TypeHierarchySuper	EditorSymbol	Hierarchy	type_hierarchy_super	editor-symbol-type-hierarchy-super	EBBB	.	cod
BracketDot	EditorSymbol	Reference	bracket_dot	editor-symbol-bracket-dot	EBE5	.	cod
References	EditorSymbol	Reference	references	editor-symbol-references	EB36	.	cod
SymbolArray	EditorSymbol	Reference	symbol_array	editor-symbol-symbol-array	EA8A	S	cod
SymbolBoolean	EditorSymbol	Reference	symbol_boolean	editor-symbol-symbol-boolean	EA8F	S	cod
SymbolClass	EditorSymbol	Reference	symbol_class	editor-symbol-symbol-class	EB5B	S	cod
SymbolColor	EditorSymbol	Reference	symbol_color	editor-symbol-symbol-color	EB5C	S	cod
SymbolConstant	EditorSymbol	Reference	symbol_constant	editor-symbol-symbol-constant	EB5D	S	cod
SymbolEnum	EditorSymbol	Reference	symbol_enum	editor-symbol-symbol-enum	EA95	S	cod
SymbolEnumMember	EditorSymbol	Reference	symbol_enum_member	editor-symbol-symbol-enum-member	EB5E	S	cod
SymbolEvent	EditorSymbol	Reference	symbol_event	editor-symbol-symbol-event	EA86	S	cod
SymbolField	EditorSymbol	Reference	symbol_field	editor-symbol-symbol-field	EB5F	S	cod
SymbolFile	EditorSymbol	Reference	symbol_file	editor-symbol-symbol-file	EB60	S	cod
SymbolInterface	EditorSymbol	Reference	symbol_interface	editor-symbol-symbol-interface	EB61	S	cod
SymbolKey	EditorSymbol	Reference	symbol_key	editor-symbol-symbol-key	EA93	S	cod
SymbolKeyword	EditorSymbol	Reference	symbol_keyword	editor-symbol-symbol-keyword	EB62	S	cod
SymbolMethod	EditorSymbol	Reference	symbol_method	editor-symbol-symbol-method	EA8C	S	cod
SymbolMisc	EditorSymbol	Reference	symbol_misc	editor-symbol-symbol-misc	EB63	S	cod
SymbolNamespace	EditorSymbol	Reference	symbol_namespace	editor-symbol-symbol-namespace	EA8B	S	cod
SymbolNumeric	EditorSymbol	Reference	symbol_numeric	editor-symbol-symbol-numeric	EA90	S	cod
SymbolOperator	EditorSymbol	Reference	symbol_operator	editor-symbol-symbol-operator	EB64	S	cod
SymbolParameter	EditorSymbol	Reference	symbol_parameter	editor-symbol-symbol-parameter	EA92	S	cod
SymbolProperty	EditorSymbol	Reference	symbol_property	editor-symbol-symbol-property	EB65	S	cod
SymbolRuler	EditorSymbol	Reference	symbol_ruler	editor-symbol-symbol-ruler	EA96	S	cod
SymbolSnippet	EditorSymbol	Reference	symbol_snippet	editor-symbol-symbol-snippet	EB66	S	cod
SymbolString	EditorSymbol	Reference	symbol_string	editor-symbol-symbol-string	EB8D	S	cod
SymbolStructure	EditorSymbol	Reference	symbol_structure	editor-symbol-symbol-structure	EA91	S	cod
SymbolVariable	EditorSymbol	Reference	symbol_variable	editor-symbol-symbol-variable	EA88	S	cod
