name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
HeartCrack	Emoji	Emotion	heart_crack	fa-emoji-heart-crack	EF4F	:	fa
PooStorm	Emoji	Emotion	poo_storm	fa-emoji-poo-storm	EF25	:	fa
Poop	Emoji	Emotion	poop	fa-emoji-poop	EEAF	:	fa
FaceAngry	Emoji	Face	face_angry	fa-emoji-face-angry	EE1F	:	fa
FaceDizzy	Emoji	Face	face_dizzy	fa-emoji-face-dizzy	EE30	:	fa
FaceFlushed	Emoji	Face	face_flushed	fa-emoji-face-flushed	EE42	:	fa
FaceFrown	Emoji	Face	face_frown	fa-emoji-face-frown	F119	:	fa
FaceFrownOpen	Emoji	Face	face_frown_open	fa-emoji-face-frown-open	EE43	:	fa
FaceGrimace	Emoji	Face	face_grimace	fa-emoji-face-grimace	EE48	:	fa
FaceGrin	Emoji	Face	face_grin	fa-emoji-face-grin	EE49	:	fa
FaceGrinBeam	Emoji	Face	face_grin_beam	fa-emoji-face-grin-beam	EE4B	:	fa
FaceGrinBeamSweat	Emoji	Face	face_grin_beam_sweat	fa-emoji-face-grin-beam-sweat	EE4C	:	fa
FaceGrinHearts	Emoji	Face	face_grin_hearts	fa-emoji-face-grin-hearts	EE4D	:	fa
FaceGrinSquint	Emoji	Face	face_grin_squint	fa-emoji-face-grin-squint	EE4E	:	fa
FaceGrinSquintTears	Emoji	Face	face_grin_squint_tears	fa-emoji-face-grin-squint-tears	EE4F	:	fa
FaceGrinStars	Emoji	Face	face_grin_stars	fa-emoji-face-grin-stars	EE50	:	fa
FaceGrinTears	Emoji	Face	face_grin_tears	fa-emoji-face-grin-tears	EE51	:	fa
FaceGrinTongue	Emoji	Face	face_grin_tongue	fa-emoji-face-grin-tongue	EE52	:	fa
FaceGrinTongueSquint	Emoji	Face	face_grin_tongue_squint	fa-emoji-face-grin-tongue-squint	EE53	:	fa
FaceGrinTongueWink	Emoji	Face	face_grin_tongue_wink	fa-emoji-face-grin-tongue-wink	EE54	:	fa
FaceGrinWide	Emoji	Face	face_grin_wide	fa-emoji-face-grin-wide	EE4A	:	fa
FaceGrinWink	Emoji	Face	face_grin_wink	fa-emoji-face-grin-wink	EE55	:	fa
FaceKiss	Emoji	Face	face_kiss	fa-emoji-face-kiss	EE5F	:	fa
FaceKissBeam	Emoji	Face	face_kiss_beam	fa-emoji-face-kiss-beam	EE60	:	fa
FaceKissWinkHeart	Emoji	Face	face_kiss_wink_heart	fa-emoji-face-kiss-wink-heart	EE61	:	fa
FaceLaugh	Emoji	Face	face_laugh	fa-emoji-face-laugh	EE62	:	fa
FaceLaughBeam	Emoji	Face	face_laugh_beam	fa-emoji-face-laugh-beam	EE63	:	fa
FaceLaughSquint	Emoji	Face	face_laugh_squint	fa-emoji-face-laugh-squint	EE64	:	fa
FaceLaughWink	Emoji	Face	face_laugh_wink	fa-emoji-face-laugh-wink	EE65	:	fa
FaceMeh	Emoji	Face	face_meh	fa-emoji-face-meh	F11A	:	fa
FaceMehBlank	Emoji	Face	face_meh_blank	fa-emoji-face-meh-blank	EE6D	:	fa
FaceRollingEyes	Emoji	Face	face_rolling_eyes	fa-emoji-face-rolling-eyes	EE6E	:	fa
FaceSadCry	Emoji	Face	face_sad_cry	fa-emoji-face-sad-cry	EE7B	:	fa
FaceSadTear	Emoji	Face	face_sad_tear	fa-emoji-face-sad-tear	EE7C	:	fa
FaceSmile	Emoji	Face	face_smile	fa-emoji-face-smile	F118	:	fa
FaceSmileBeam	Emoji	Face	face_smile_beam	fa-emoji-face-smile-beam	EE80	:	fa
FaceSmileWink	Emoji	Face	face_smile_wink	fa-emoji-face-smile-wink	EDA9	:	fa
FaceSurprise	Emoji	Face	face_surprise	fa-emoji-face-surprise	EE89	:	fa
FaceTired	Emoji	Face	face_tired	fa-emoji-face-tired	EE8F	:	fa
