name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Bacon	FaMisc	Bacon	bacon	fa-misc-bacon	EF77	.	fa
BeerMugEmpty	FaMisc	Beer	beer_mug_empty	fa-misc-beer-mug-empty	F0FC	.	fa
Bong	FaMisc	Bong	bong	fa-misc-bong	EE25	.	fa
BreadSlice	FaMisc	Bread	bread_slice	fa-misc-bread-slice	EF79	.	fa
Burger	FaMisc	Burger	burger	fa-misc-burger	EF82	.	fa
CandyCane	FaMisc	Candy	candy_cane	fa-misc-candy-cane	EF3A	.	fa
Cannabis	FaMisc	Cannabis	cannabis	fa-misc-cannabis	EE28	.	fa
ChampagneGlasses	FaMisc	Champagne	champagne_glasses	fa-misc-champagne-glasses	EF49	.	fa
Cookie	FaMisc	Cookie	cookie	fa-misc-cookie	EE2C	.	fa
CookieBite	FaMisc	Cookie	cookie_bite	fa-misc-cookie-bite	EE2D	.	fa
IceCream	FaMisc	Ice	ice_cream	fa-misc-ice-cream	EF88	.	fa
Joint	FaMisc	Joint	joint	fa-misc-joint	EE5E	.	fa
Lemon	FaMisc	Lemon	lemon	fa-misc-lemon	F094	.	fa
MartiniGlass	FaMisc	Martini	martini_glass	fa-misc-martini-glass	EE44	.	fa
MartiniGlassCitrus	FaMisc	Martini	martini_glass_citrus	fa-misc-martini-glass-citrus	EE2A	.	fa
MartiniGlassEmpty	FaMisc	Martini	martini_glass_empty	fa-misc-martini-glass-empty	F000	.	fa
MugHot	FaMisc	Mug	mug_hot	fa-misc-mug-hot	EF59	.	fa
MugSaucer	FaMisc	Mug	mug_saucer	fa-misc-mug-saucer	F0F4	.	fa
PepperHot	FaMisc	Pepper	pepper_hot	fa-misc-pepper-hot	EF8B	.	fa
PizzaSlice	FaMisc	Pizza	pizza_slice	fa-misc-pizza-slice	EF8C	.	fa
Spoon	FaMisc	Spoon	spoon	fa-misc-spoon	F1B1	.	fa
Stroopwafel	FaMisc	Stroopwafel	stroopwafel	fa-misc-stroopwafel	EE1A	.	fa
Utensils	FaMisc	Utensils	utensils	fa-misc-utensils	F0F5	.	fa
WhiskeyGlass	FaMisc	Whiskey	whiskey_glass	fa-misc-whiskey-glass	EF4A	.	fa
