name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Cloud	FaWeather	Cloud	cloud	fa-weather-cloud	F0C2	W	fa
CloudArrowDown	FaWeather	Cloud	cloud_arrow_down	fa-weather-cloud-arrow-down	F0ED	W	fa
CloudArrowUp	FaWeather	Cloud	cloud_arrow_up	fa-weather-cloud-arrow-up	F0EE	W	fa
CloudBolt	FaWeather	Cloud	cloud_bolt	fa-weather-cloud-bolt	EF2C	W	fa
CloudMeatball	FaWeather	Cloud	cloud_meatball	fa-weather-cloud-meatball	EF1A	W	fa
CloudRain	FaWeather	Cloud	cloud_rain	fa-weather-cloud-rain	EF1C	W	fa
CloudShowersHeavy	FaWeather	Cloud	cloud_showers_heavy	fa-weather-cloud-showers-heavy	EF1D	W	fa
CloudSun	FaWeather	Cloud	cloud_sun	fa-weather-cloud-sun	EEF0	W	fa
CloudSunRain	FaWeather	Cloud	cloud_sun_rain	fa-weather-cloud-sun-rain	EF1E	W	fa
CloudMoon	FaWeather	Moon	cloud_moon	fa-weather-cloud-moon	EEEF	W	fa
CloudMoonRain	FaWeather	Moon	cloud_moon_rain	fa-weather-cloud-moon-rain	EF1B	W	fa
Moon	FaWeather	Moon	moon	fa-weather-moon	F186	W	fa
Umbrella	FaWeather	Other	umbrella	fa-weather-umbrella	F0E9	W	fa
Rainbow	FaWeather	Precipitation	rainbow	fa-weather-rainbow	EF26	W	fa
Snowflake	FaWeather	Precipitation	snowflake	fa-weather-snowflake	F2DC	W	fa
Snowman	FaWeather	Precipitation	snowman	fa-weather-snowman	EF6A	W	fa
DumpsterFire	FaWeather	Storm	dumpster_fire	fa-weather-dumpster-fire	EF43	W	fa
Fire	FaWeather	Storm	fire	fa-weather-fire	F06D	W	fa
FireFlameCurved	FaWeather	Storm	fire_flame_curved	fa-weather-fire-flame-curved	EF76	W	fa
FireFlameSimple	FaWeather	Storm	fire_flame_simple	fa-weather-fire-flame-simple	ED78	W	fa
Meteor	FaWeather	Storm	meteor	fa-weather-meteor	EF23	W	fa
Smog	FaWeather	Storm	smog	fa-weather-smog	EF29	W	fa
Volcano	FaWeather	Storm	volcano	fa-weather-volcano	EF2E	W	fa
Sun	FaWeather	Sun	sun	fa-weather-sun	F185	W	fa
TemperatureEmpty	FaWeather	Temperature	temperature_empty	fa-weather-temperature-empty	F2CB	W	fa
TemperatureFull	FaWeather	Temperature	temperature_full	fa-weather-temperature-full	F2C7	W	fa
TemperatureHalf	FaWeather	Temperature	temperature_half	fa-weather-temperature-half	F2C9	W	fa
TemperatureHigh	FaWeather	Temperature	temperature_high	fa-weather-temperature-high	EF2A	W	fa
TemperatureLow	FaWeather	Temperature	temperature_low	fa-weather-temperature-low	EF2B	W	fa
TemperatureQuarter	FaWeather	Temperature	temperature_quarter	fa-weather-temperature-quarter	F2CA	W	fa
TemperatureThreeQuarters	FaWeather	Temperature	temperature_three_quarters	fa-weather-temperature-three-quarters	F2C8	W	fa
Tornado	FaWeather	Wind	tornado	fa-weather-tornado	EF2D	W	fa
Wind	FaWeather	Wind	wind	fa-weather-wind	EF16	W	fa
