name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Bazel	FileConfig	Config	bazel	file-config-bazel	E63A	C	seti
Bower	FileConfig	Config	bower	file-config-bower	E61A	C	seti
Config	FileConfig	Config	config	file-config	E615	C	seti
Docker	FileConfig	Config	docker	file-config-docker	E650	C	seti
Editorconfig	FileConfig	Config	editorconfig	file-config-editorconfig	E652	C	seti
Eslint	FileConfig	Config	eslint	file-config-eslint	E655	C	seti
Firebase	FileConfig	Config	firebase	file-config-firebase	E657	C	seti
Gradle	FileConfig	Config	gradle	file-config-gradle	E660	C	seti
Grunt	FileConfig	Config	grunt	file-config-grunt	E611	C	seti
Gulp	FileConfig	Config	gulp	file-config-gulp	E610	C	seti
Heroku	FileConfig	Config	heroku	file-config-heroku	E607	C	seti
Jenkins	FileConfig	Config	jenkins	file-config-jenkins	E66E	C	seti
Json	FileConfig	Config	json	file-config-json	E60B	C	seti
Karma	FileConfig	Config	karma	file-config-karma	E622	C	seti
Makefile	FileConfig	Config	makefile	file-config-makefile	E673	C	seti
Maven	FileConfig	Config	maven	file-config-maven	E674	C	seti
Npm	FileConfig	Config	npm	file-config-npm	E616	C	seti
Pipeline	FileConfig	Config	pipeline	file-config-pipeline	E680	C	seti
Plan	FileConfig	Config	plan	file-config-plan	E681	C	seti
Platformio	FileConfig	Config	platformio	file-config-platformio	E682	C	seti
Prettier	FileConfig	Config	prettier	file-config-prettier	E6B4	C	seti
Prisma	FileConfig	Config	prisma	file-config-prisma	E684	C	seti
Rollup	FileConfig	Config	rollup	file-config-rollup	E689	C	seti
Sass	FileConfig	Config	sass	file-config-sass	E603	C	seti
Sbt	FileConfig	Config	sbt	file-config-sbt	E68D	C	seti
Settings	FileConfig	Config	settings	file-config-settings	E690	C	seti
Spring	FileConfig	Config	spring	file-config-spring	E694	C	seti
Stylelint	FileConfig	Config	stylelint	file-config-stylelint	E695	C	seti
Stylus	FileConfig	Config	stylus	file-config-stylus	E600	C	seti
Terraform	FileConfig	Config	terraform	file-config-terraform	E69A	C	seti
Toml	FileConfig	Config	toml	file-config-toml	E6B2	C	seti
Tsconfig	FileConfig	Config	tsconfig	file-config-tsconfig	E69D	C	seti
Webpack	FileConfig	Config	webpack	file-config-webpack	E6A3	C	seti
Wgt	FileConfig	Config	wgt	file-config-wgt	E6A4	C	seti
Yarn	FileConfig	Config	yarn	file-config-yarn	E6A7	C	seti
Yml	FileConfig	Config	yml	file-config-yml	E6A8	C	seti
