name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Argdown	FileData	Data	argdown	file-data-argdown	E636	D	seti
Cake	FileData	Data	cake	file-data-cake	E63E	D	seti
CakePhp	FileData	Data	cake_php	file-data-cake-php	E63D	D	seti
CodeClimate	FileData	Data	code_climate	file-data-code-climate	E643	D	seti
Csv	FileData	Data	csv	file-data-csv	E64A	D	seti
Db	FileData	Data	db	file-data-db	E64D	D	seti
DeprecationCop	FileData	Data	deprecation_cop	file-data-deprecation-cop	E64F	D	seti
Error	FileData	Data	error	file-data-error	E654	D	seti
Ethereum	FileData	Data	ethereum	file-data-ethereum	E656	D	seti
Grails	FileData	Data	grails	file-data-grails	E661	D	seti
Hex	FileData	Data	hex	file-data-hex	E667	D	seti
Info	FileData	Data	info	file-data-info	E66A	D	seti
License	FileData	Data	license	file-data-license	E60A	D	seti
Lock	FileData	Data	lock	file-data-lock	E672	D	seti
Odata	FileData	Data	odata	file-data-odata	E67B	D	seti
Pddl	FileData	Data	pddl	file-data-pddl	E67C	D	seti
Pdf	FileData	Data	pdf	file-data-pdf	E67D	D	seti
Salesforce	FileData	Data	salesforce	file-data-salesforce	E68C	D	seti
Search	FileData	Data	search	file-data-search	E68F	D	seti
Tex	FileData	Data	tex	file-data-tex	E69B	D	seti
Todo	FileData	Data	todo	file-data-todo	E69C	D	seti
Word	FileData	Data	word	file-data-word	E6A5	D	seti
Xls	FileData	Data	xls	file-data-xls	E6A6	D	seti
