name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Ada	FileLanguage	Language	ada	file-language-ada	E6B5	L	seti
Apple	FileLanguage	Language	apple	file-language-apple	E635	L	seti
Asm	FileLanguage	Language	asm	file-language-asm	E637	L	seti
Astro	FileLanguage	Language	astro	file-language-astro	E6B3	L	seti
Babel	FileLanguage	Language	babel	file-language-babel	E639	L	seti
Bicep	FileLanguage	Language	bicep	file-language-bicep	E63B	L	seti
Bsl	FileLanguage	Language	bsl	file-language-bsl	E63C	L	seti
C	FileLanguage	Language	c	file-language-c	E649	L	seti
CSharp	FileLanguage	Language	c_sharp	file-language-c-sharp	E648	L	seti
Chuck	FileLanguage	Language	chuck	file-language-chuck	E6B6	L	seti
Clojure	FileLanguage	Language	clojure	file-language-clojure	E642	L	seti
Coffee	FileLanguage	Language	coffee	file-language-coffee	E61B	L	seti
Coldfusion	FileLanguage	Language	coldfusion	file-language-coldfusion	E645	L	seti
CommonLisp	FileLanguage	Language	common_lisp	file-language-common-lisp	E6B0	L	seti
Cpp	FileLanguage	Language	cpp	file-language-cpp	E646	L	seti
Crystal	FileLanguage	Language	crystal	file-language-crystal	E62F	L	seti
CrystalEmbedded	FileLanguage	Language	crystal_embedded	file-language-crystal-embedded	E647	L	seti
Css	FileLanguage	Language	css	file-language-css	E614	L	seti
Cu	FileLanguage	Language	cu	file-language-cu	E64B	L	seti
CustomAsm	FileLanguage	Language	custom_asm	file-language-custom-asm	E6AB	L	seti
CustomC	FileLanguage	Language	custom_c	file-language-custom-c	E61E	L	seti
CustomCpp	FileLanguage	Language	custom_cpp	file-language-custom-cpp	E61D	L	seti
CustomCss	FileLanguage	Language	custom_css	file-language-custom-css	E6B8	L	seti
CustomGo	FileLanguage	Language	custom_go	file-language-custom-go	E626	L	seti
D	FileLanguage	Language	d	file-language-d	E651	L	seti
Dart	FileLanguage	Language	dart	file-language-dart	E64C	L	seti
Electron	FileLanguage	Language	electron	file-language-electron	E62E	L	seti
Elixir	FileLanguage	Language	elixir	file-language-elixir	E62D	L	seti
ElixirScript	FileLanguage	Language	elixir_script	file-language-elixir-script	E653	L	seti
Elm	FileLanguage	Language	elm	file-language-elm	E62C	L	seti
Emacs	FileLanguage	Language	emacs	file-language-emacs	E632	L	seti
FSharp	FileLanguage	Language	f_sharp	file-language-f-sharp	E65A	L	seti
Fennel	FileLanguage	Language	fennel	file-language-fennel	E6AF	L	seti
Go	FileLanguage	Language	go	file-language-go	E627	L	seti
Go2	FileLanguage	Language	go2	file-language-go2	E65E	L	seti
Godot	FileLanguage	Language	godot	file-language-godot	E65F	L	seti
Graphql	FileLanguage	Language	graphql	file-language-graphql	E662	L	seti
Hacklang	FileLanguage	Language	hacklang	file-language-hacklang	E663	L	seti
Haskell	FileLanguage	Language	haskell	file-language-haskell	E61F	L	seti
Haxe	FileLanguage	Language	haxe	file-language-haxe	E666	L	seti
Ionic	FileLanguage	Language	ionic	file-language-ionic	E66B	L	seti
Java	FileLanguage	Language	java	file-language-java	E66D	L	seti
Javascript	FileLanguage	Language	javascript	file-language-javascript	E60C	L	seti
Julia	FileLanguage	Language	julia	file-language-julia	E624	L	seti
Kotlin	FileLanguage	Language	kotlin	file-language-kotlin	E634	L	seti
Livescript	FileLanguage	Language	livescript	file-language-livescript	E671	L	seti
Lua	FileLanguage	Language	lua	file-language-lua	E620	L	seti
Msdos	FileLanguage	Language	msdos	file-language-msdos	E629	L	seti
Neovim	FileLanguage	Language	neovim	file-language-neovim	E6AE	L	seti
Nim	FileLanguage	Language	nim	file-language-nim	E677	L	seti
