name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Checkbox	FileProject	Project	checkbox	file-project-checkbox	E63F	P	seti
CheckboxUnchecked	FileProject	Project	checkbox_unchecked	file-project-checkbox-unchecked	E640	P	seti
Clock	FileProject	Project	clock	file-project-clock	E641	P	seti
CodeSearch	FileProject	Project	code_search	file-project-code-search	E644	P	seti
CustomDefault	FileProject	Project	custom_default	file-project-custom-default	E612	P	seti
Default	FileProject	Project	default	file-project-default	E64E	P	seti
Git	FileProject	Project	git	file-project-git	E65D	P	seti
Github	FileProject	Project	github	file-project-github	E65B	P	seti
Gitlab	FileProject	Project	gitlab	file-project-gitlab	E65C	P	seti
Happenings	FileProject	Project	happenings	file-project-happenings	E665	P	seti
Ignored	FileProject	Project	ignored	file-project-ignored	E668	P	seti
IndentLine	FileProject	Project	indent_line	file-project-indent-line	E621	P	seti
Mdo	FileProject	Project	mdo	file-project-mdo	E675	P	seti
NewFile	FileProject	Project	new_file	file-project-new-file	E676	P	seti
Notebook	FileProject	Project	notebook	file-project-notebook	E678	P	seti
Project	FileProject	Project	project	file-project	E601	P	seti
Zip	FileProject	Project	zip	file-project-zip	E6AA	P	seti
