name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Bower	FileType	Config	bower	file-type-bower	E61A	C	seti
Config	FileType	Config	config	file-type-config	E615	C	seti
Docker	FileType	Config	docker	file-type-docker	E650	C	seti
Editorconfig	FileType	Config	editorconfig	file-type-editorconfig	E652	C	seti
Eslint	FileType	Config	eslint	file-type-eslint	E655	C	seti
Gradle	FileType	Config	gradle	file-type-gradle	E660	C	seti
Grunt	FileType	Config	grunt	file-type-grunt	E611	C	seti
Gulp	FileType	Config	gulp	file-type-gulp	E610	C	seti
Heroku	FileType	Config	heroku	file-type-heroku	E607	C	seti
Jenkins	FileType	Config	jenkins	file-type-jenkins	E66E	C	seti
Json	FileType	Config	json	file-type-json	E60B	D	seti
Karma	FileType	Config	karma	file-type-karma	E622	C	seti
Makefile	FileType	Config	makefile	file-type-makefile	E673	C	seti
Maven	FileType	Config	maven	file-type-maven	E674	C	seti
Npm	FileType	Config	npm	file-type-npm	E616	P	seti
Pipeline	FileType	Config	pipeline	file-type-pipeline	E680	C	seti
Plan	FileType	Config	plan	file-type-plan	E681	C	seti
Platformio	FileType	Config	platformio	file-type-platformio	E682	C	seti
Prisma	FileType	Config	prisma	file-type-prisma	E684	C	seti
Rollup	FileType	Config	rollup	file-type-rollup	E689	C	seti
Sass	FileType	Config	sass	file-type-sass	E603	C	seti
Sbt	FileType	Config	sbt	file-type-sbt	E68D	C	seti
Settings	FileType	Config	settings	file-type-settings	E690	C	seti
Spring	FileType	Config	spring	file-type-spring	E694	C	seti
Stylelint	FileType	Config	stylelint	file-type-stylelint	E695	C	seti
Stylus	FileType	Config	stylus	file-type-stylus	E600	C	seti
Terraform	FileType	Config	terraform	file-type-terraform	E69A	C	seti
Tsconfig	FileType	Config	tsconfig	file-type-tsconfig	E69D	C	seti
Webpack	FileType	Config	webpack	file-type-webpack	E6A3	C	seti
Wgt	FileType	Config	wgt	file-type-wgt	E6A4	C	seti
Yarn	FileType	Config	yarn	file-type-yarn	E6A7	P	seti
Yml	FileType	Config	yml	file-type-yml	E6A8	C	seti
Argdown	FileType	Data	argdown	file-type-argdown	E636	D	seti
Cake	FileType	Data	cake	file-type-cake	E63E	D	seti
CakePhp	FileType	Data	cake_php	file-type-cake-php	E63D	D	seti
CodeClimate	FileType	Data	code_climate	file-type-code-climate	E643	D	seti
Csv	FileType	Data	csv	file-type-csv	E64A	D	seti
Db	FileType	Data	db	file-type-db	E64D	D	seti
DeprecationCop	FileType	Data	deprecation_cop	file-type-deprecation-cop	E64F	D	seti
Error	FileType	Data	error	file-type-error	E654	D	seti
Ethereum	FileType	Data	ethereum	file-type-ethereum	E656	D	seti
Grails	FileType	Data	grails	file-type-grails	E661	D	seti
Hex	FileType	Data	hex	file-type-hex	E667	D	seti
Info	FileType	Data	info	file-type-info	E66A	D	seti
License	FileType	Data	license	file-type-license	E60A	D	seti
Lock	FileType	Data	lock	file-type-lock	E672	D	seti
Odata	FileType	Data	odata	file-type-odata	E67B	D	seti
Pddl	FileType	Data	pddl	file-type-pddl	E67C	D	seti
Pdf	FileType	Data	pdf	file-type-pdf	E67D	M	seti
Salesforce	FileType	Data	salesforce	file-type-salesforce	E68C	D	seti
Search	FileType	Data	search	file-type-search	E68F	D	seti
Tex	FileType	Data	tex	file-type-tex	E69B	D	seti
Todo	FileType	Data	todo	file-type-todo	E69C	D	seti
Word	FileType	Data	word	file-type-word	E6A5	D	seti
Xls	FileType	Data	xls	file-type-xls	E6A6	D	seti
Folder	FileType	Folder	folder	file-type-folder	E613	/	seti
Apple	FileType	Language	apple	file-type-apple	E635	L	seti
Asm	FileType	Language	asm	file-type-asm	E637	L	seti
Babel	FileType	Language	babel	file-type-babel	E639	L	seti
Bicep	FileType	Language	bicep	file-type-bicep	E63B	L	seti
Bsl	FileType	Language	bsl	file-type-bsl	E63C	L	seti
C	FileType	Language	c	file-type-c	E649	L	seti
CSharp	FileType	Language	c_sharp	file-type-c-sharp	E648	L	seti
Clojure	FileType	Language	clojure	file-type-clojure	E642	L	seti
Coffee	FileType	Language	coffee	file-type-coffee	E61B	L	seti
Coldfusion	FileType	Language	coldfusion	file-type-coldfusion	E645	L	seti
Cpp	FileType	Language	cpp	file-type-cpp	E646	L	seti
CrystalEmbedded	FileType	Language	crystal_embedded	file-type-crystal-embedded	E647	L	seti
Css	FileType	Language	css	file-type-css	E614	L	seti
Cu	FileType	Language	cu	file-type-cu	E64B	L	seti
