name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Calculator	Finance	Chart	calculator	fa-finance-calculator	F1EC	$	fa
ChartArea	Finance	Chart	chart_area	fa-finance-chart-area	F1FE	$	fa
ChartBar	Finance	Chart	chart_bar	fa-finance-chart-bar	F080	$	fa
ChartLine	Finance	Chart	chart_line	fa-finance-chart-line	F201	$	fa
ChartPie	Finance	Chart	chart_pie	fa-finance-chart-pie	F200	$	fa
Percent	Finance	Chart	percent	fa-finance-percent	F295	$	fa
Receipt	Finance	Chart	receipt	fa-finance-receipt	EE0C	$	fa
DollarSign	Finance	Currency	dollar_sign	fa-finance-dollar-sign	F155	$	fa
EuroSign	Finance	Currency	euro_sign	fa-finance-euro-sign	F153	$	fa
HryvniaSign	Finance	Currency	hryvnia_sign	fa-finance-hryvnia-sign	EF06	$	fa
LiraSign	Finance	Currency	lira_sign	fa-finance-lira-sign	F195	$	fa
RubleSign	Finance	Currency	ruble_sign	fa-finance-ruble-sign	F158	$	fa
RupeeSign	Finance	Currency	rupee_sign	fa-finance-rupee-sign	F156	$	fa
ShekelSign	Finance	Currency	shekel_sign	fa-finance-shekel-sign	F20B	$	fa
SterlingSign	Finance	Currency	sterling_sign	fa-finance-sterling-sign	F154	$	fa
TengeSign	Finance	Currency	tenge_sign	fa-finance-tenge-sign	EF6E	$	fa
WonSign	Finance	Currency	won_sign	fa-finance-won-sign	F159	$	fa
YenSign	Finance	Currency	yen_sign	fa-finance-yen-sign	F157	$	fa
Landmark	Finance	Misc	landmark	fa-finance-landmark	EED0	$	fa
CashRegister	Finance	Payment	cash_register	fa-finance-cash-register	EF3C	$	fa
Coins	Finance	Payment	coins	fa-finance-coins	EDE8	$	fa
CreditCard	Finance	Payment	credit_card	fa-finance-credit-card	F09D	$	fa
CreditCardAlt	Finance	Payment	credit_card_alt	fa-finance-credit-card-alt	F283	$	fa
MoneyBill	Finance	Payment	money_bill	fa-finance-money-bill	F0D6	$	fa
MoneyBill1	Finance	Payment	money_bill_1	fa-finance-money-bill-1	ED0B	$	fa
MoneyBill1Wave	Finance	Payment	money_bill_1_wave	fa-finance-money-bill-1-wave	EFC8	$	fa
MoneyBillWave	Finance	Payment	money_bill_wave	fa-finance-money-bill-wave	EFC7	$	fa
MoneyCheck	Finance	Payment	money_check	fa-finance-money-check	EFC9	$	fa
MoneyCheckDollar	Finance	Payment	money_check_dollar	fa-finance-money-check-dollar	EFCA	$	fa
PiggyBank	Finance	Payment	piggy_bank	fa-finance-piggy-bank	EDA3	$	fa
SackDollar	Finance	Payment	sack_dollar	fa-finance-sack-dollar	EF8D	$	fa
Wallet	Finance	Payment	wallet	fa-finance-wallet	EE1E	$	fa
