name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
AppleFruit	Food	Food	apple_fruit	food-apple-fruit	E29E	F	fae
Banana	Food	Food	banana	food-banana	E281	F	fae
Bread	Food	Food	bread	food-bread	E28D	F	fae
Carot	Food	Food	carot	food-carot	E28F	F	fae
Cheese	Food	Food	cheese	food-cheese	E264	F	fae
Cherry	Food	Food	cherry	food-cherry	E29B	F	fae
ChickenThigh	Food	Food	chicken_thigh	food-chicken-thigh	E29F	F	fae
Chilli	Food	Food	chilli	food-chilli	E265	F	fae
CoffeBeans	Food	Food	coffe_beans	food-coffe-beans	E26A	F	fae
CupCoffe	Food	Food	cup_coffe	food-cup-coffe	E26F	F	fae
Donut	Food	Food	donut	food-donut	E273	F	fae
Hamburger	Food	Food	hamburger	food-hamburger	E24D	F	fae
Hotdog	Food	Food	hotdog	food-hotdog	E251	F	fae
IceCream	Food	Food	ice_cream	food-ice-cream	E252	F	fae
Lollipop	Food	Food	lollipop	food-lollipop	E2A3	F	fae
Meat	Food	Food	meat	food-meat	E2A5	F	fae
MilkBottle	Food	Food	milk_bottle	food-milk-bottle	E223	F	fae
Mushroom	Food	Food	mushroom	food-mushroom	E227	F	fae
Orange	Food	Food	orange	food-orange	E2A7	F	fae
Peach	Food	Food	peach	food-peach	E2A8	F	fae
Pear	Food	Food	pear	food-pear	E2A9	F	fae
Pizza	Food	Food	pizza	food-pizza	E22D	F	fae
Popcorn	Food	Food	popcorn	food-popcorn	E232	F	fae
Popsicle	Food	Food	popsicle	food-popsicle	E233	F	fae
Soda	Food	Food	soda	food-soda	E202	F	fae
Soup	Food	Food	soup	food-soup	E204	F	fae
Sushi	Food	Food	sushi	food-sushi	E21A	F	fae
Tacos	Food	Food	tacos	food-tacos	E219	F	fae
