name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Chess	Game	Board	chess	fa-game-chess	ED5F	G	fa
ChessBishop	Game	Board	chess_bishop	fa-game-chess-bishop	ED60	G	fa
ChessBoard	Game	Board	chess_board	fa-game-chess-board	ED61	G	fa
ChessKing	Game	Board	chess_king	fa-game-chess-king	ED62	G	fa
ChessKnight	Game	Board	chess_knight	fa-game-chess-knight	ED63	G	fa
ChessPawn	Game	Board	chess_pawn	fa-game-chess-pawn	ED64	G	fa
ChessQueen	Game	Board	chess_queen	fa-game-chess-queen	ED65	G	fa
ChessRook	Game	Board	chess_rook	fa-game-chess-rook	ED66	G	fa
Dice	Game	Dice	dice	fa-game-dice	EDEC	G	fa
DiceD20	Game	Dice	dice_d20	fa-game-dice-d20	EEF5	G	fa
DiceD6	Game	Dice	dice_d6	fa-game-dice-d6	EEF6	G	fa
DiceFive	Game	Dice	dice_five	fa-game-dice-five	EDED	G	fa
DiceFour	Game	Dice	dice_four	fa-game-dice-four	EDEE	G	fa
DiceOne	Game	Dice	dice_one	fa-game-dice-one	EDEF	G	fa
DiceSix	Game	Dice	dice_six	fa-game-dice-six	EDF0	G	fa
DiceThree	Game	Dice	dice_three	fa-game-dice-three	EDF1	G	fa
DiceTwo	Game	Dice	dice_two	fa-game-dice-two	EDF2	G	fa
PuzzlePiece	Game	Puzzle	puzzle_piece	fa-game-puzzle-piece	F12E	G	fa
BattleNet	Game	Roleplay	battle_net	fa-game-battle-net	EF94	G	fa
DAndD	Game	Roleplay	d_and_d	fa-game-d-and-d	F1BF	G	fa
DAndDBeyond	Game	Roleplay	d_and_d_beyond	fa-game-d-and-d-beyond	EEF3	G	fa
Gamepad	Game	Video	gamepad	fa-game-gamepad	F11B	G	fa
