name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Copilot	GitHubPlatform	Copilot	copilot	github-platform-copilot	F4B8	C	oct
CopilotError	GitHubPlatform	Copilot	copilot_error	github-platform-copilot-error	F4B9	C	oct
CopilotWarning	GitHubPlatform	Copilot	copilot_warning	github-platform-copilot-warning	F4BA	C	oct
CommentDiscussion	GitHubPlatform	Discussion	comment_discussion	github-platform-comment-discussion	F442	d	oct
DiscussionClosed	GitHubPlatform	Discussion	discussion_closed	github-platform-discussion-closed	F4C0	d	oct
DiscussionDuplicate	GitHubPlatform	Discussion	discussion_duplicate	github-platform-discussion-duplicate	F4C1	d	oct
DiscussionOutdated	GitHubPlatform	Discussion	discussion_outdated	github-platform-discussion-outdated	F4C2	d	oct
FeedDiscussion	GitHubPlatform	Feed	feed_discussion	github-platform-feed-discussion	F4C6	f	oct
FeedPerson	GitHubPlatform	Feed	feed_person	github-platform-feed-person	F4CA	f	oct
FeedRepo	GitHubPlatform	Feed	feed_repo	github-platform-feed-repo	F4CB	f	oct
FeedRocket	GitHubPlatform	Feed	feed_rocket	github-platform-feed-rocket	F4CC	f	oct
FeedStar	GitHubPlatform	Feed	feed_star	github-platform-feed-star	F4CD	f	oct
FeedTag	GitHubPlatform	Feed	feed_tag	github-platform-feed-tag	F4CE	f	oct
FeedTrophy	GitHubPlatform	Feed	feed_trophy	github-platform-feed-trophy	F4CF	f	oct
IssueClosed	GitHubPlatform	Issue	issue_closed	github-platform-issue-closed	F41D	I	oct
IssueDraft	GitHubPlatform	Issue	issue_draft	github-platform-issue-draft	F4E7	I	oct
IssueOpened	GitHubPlatform	Issue	issue_opened	github-platform-issue-opened	F41B	I	oct
IssueReopened	GitHubPlatform	Issue	issue_reopened	github-platform-issue-reopened	F41C	I	oct
IssueTrackedBy	GitHubPlatform	Issue	issue_tracked_by	github-platform-issue-tracked-by	F4E8	I	oct
IssueTracks	GitHubPlatform	Issue	issue_tracks	github-platform-issue-tracks	F4E9	I	oct
