name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Bone	Health	Body	bone	fa-health-bone	EE9A	+	fa
Brain	Health	Body	brain	fa-health-brain	EE9C	+	fa
Dna	Health	Body	dna	fa-health-dna	ED7D	+	fa
Lungs	Health	Body	lungs	fa-health-lungs	EEAA	+	fa
Teeth	Health	Body	teeth	fa-health-teeth	EEB4	+	fa
TeethOpen	Health	Body	teeth_open	fa-health-teeth-open	EEB5	+	fa
Tooth	Health	Body	tooth	fa-health-tooth	EE90	+	fa
Hospital	Health	Facility	hospital	fa-health-hospital	F0F8	+	fa
HospitalUser	Health	Facility	hospital_user	fa-health-hospital-user	EF86	+	fa
Bandage	Health	Medical	bandage	fa-health-bandage	ED74	+	fa
Capsules	Health	Medical	capsules	fa-health-capsules	ED79	+	fa
MortarPestle	Health	Medical	mortar_pestle	fa-health-mortar-pestle	EE70	+	fa
Pills	Health	Medical	pills	fa-health-pills	ED87	+	fa
Prescription	Health	Medical	prescription	fa-health-prescription	EE79	+	fa
PrescriptionBottle	Health	Medical	prescription_bottle	fa-health-prescription-bottle	ED88	+	fa
PrescriptionBottleMedical	Health	Medical	prescription_bottle_medical	fa-health-prescription-bottle-medical	ED89	+	fa
Syringe	Health	Medical	syringe	fa-health-syringe	ED8D	+	fa
Vial	Health	Medical	vial	fa-health-vial	ED90	+	fa
AccessibleIcon	Health	Misc	accessible_icon	fa-health-accessible-icon	F29B	+	fa
Heart	Health	Misc	heart	fa-health-heart	F004	+	fa
HeartPulse	Health	Misc	heart_pulse	fa-health-heart-pulse	F21E	+	fa
HotTubPerson	Health	Misc	hot_tub_person	fa-health-hot-tub-person	EE5C	+	fa
KitMedical	Health	Misc	kit_medical	fa-health-kit-medical	ED82	+	fa
ThermometerAlt	Health	Misc	thermometer_alt	fa-health-thermometer-alt	ED8F	+	fa
Bath	Health	Wellness	bath	fa-health-bath	F2CD	+	fa
Bed	Health	Wellness	bed	fa-health-bed	F236	+	fa
BedPulse	Health	Wellness	bed_pulse	fa-health-bed-pulse	ED8A	+	fa
Shower	Health	Wellness	shower	fa-health-shower	F2CC	+	fa
Spa	Health	Wellness	spa	fa-health-spa	EE82	+	fa
Toilet	Health	Wellness	toilet	fa-health-toilet	EF6F	+	fa
ToiletPaper	Health	Wellness	toilet_paper	fa-health-toilet-paper	EF11	+	fa
