name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Bath	Home	Home	bath	home-bath	E282	H	fae
Bed	Home	Home	bed	home-bed	E283	H	fae
Comb	Home	Home	comb	home-comb	E26C	H	fae
Crown	Home	Home	crown	home-crown	E26E	H	fae
Dice	Home	Home	dice	home-dice	E270	H	fae
Disco	Home	Home	disco	home-disco	E271	H	fae
EnvelopeOpen	Home	Home	envelope_open	home-envelope-open	E277	H	fae
EnvelopeOpenO	Home	Home	envelope_open_o	home-envelope-open-o	E278	H	fae
Galery	Home	Home	galery	home-galery	E244	H	fae
GiftCard	Home	Home	gift_card	home-gift-card	E2A0	H	fae
Glass	Home	Home	glass	home-glass	E245	H	fae
Hat	Home	Home	hat	home-hat	E24E	H	fae
LoyaltyCard	Home	Home	loyalty_card	home-loyalty-card	E2A4	H	fae
Refrigerator	Home	Home	refrigerator	home-refrigerator	E23B	H	fae
Ring	Home	Home	ring	home-ring	E23D	H	fae
Ruler	Home	Home	ruler	home-ruler	E21F	H	fae
Sofa	Home	Home	sofa	home-sofa	E203	H	fae
ThinClose	Home	Home	thin_close	home-thin-close	E20D	H	fae
Toilet	Home	Home	toilet	home-toilet	E20E	H	fae
Tools	Home	Home	tools	home-tools	E20F	H	fae
TriangleRuler	Home	Home	triangle_ruler	home-triangle-ruler	E21B	H	fae
Umbrella	Home	Home	umbrella	home-umbrella	E220	H	fae
Wallet	Home	Home	wallet	home-wallet	E25E	H	fae
