name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
ChessBishop	Lifestyle	Activity	chess_bishop	lifestyle-chess-bishop	E29C	A	fae
ChessHorse	Lifestyle	Activity	chess_horse	lifestyle-chess-horse	E25F	A	fae
ChessKing	Lifestyle	Activity	chess_king	lifestyle-chess-king	E260	A	fae
ChessPawn	Lifestyle	Activity	chess_pawn	lifestyle-chess-pawn	E261	A	fae
ChessQueen	Lifestyle	Activity	chess_queen	lifestyle-chess-queen	E262	A	fae
ChessTower	Lifestyle	Activity	chess_tower	lifestyle-chess-tower	E263	A	fae
Cicling	Lifestyle	Activity	cicling	lifestyle-cicling	E267	A	fae
Guitar	Lifestyle	Activity	guitar	lifestyle-guitar	E24A	A	fae
Nintendo	Lifestyle	Activity	nintendo	lifestyle-nintendo	E22A	A	fae
Playstation	Lifestyle	Activity	playstation	lifestyle-playstation	E230	A	fae
SpinDouble	Lifestyle	Activity	spin_double	lifestyle-spin-double	E206	A	fae
Walking	Lifestyle	Activity	walking	lifestyle-walking	E213	A	fae
Xbox	Lifestyle	Activity	xbox	lifestyle-xbox	E29D	A	fae
Bones	Lifestyle	Body	bones	lifestyle-bones	E289	B	fae
Brain	Lifestyle	Body	brain	lifestyle-brain	E28C	B	fae
Dress	Lifestyle	Body	dress	lifestyle-dress	E274	B	fae
Drop	Lifestyle	Body	drop	lifestyle-drop	E275	B	fae
Fingerprint	Lifestyle	Body	fingerprint	lifestyle-fingerprint	E23F	B	fae
Footprint	Lifestyle	Body	footprint	lifestyle-footprint	E241	B	fae
Gut	Lifestyle	Body	gut	lifestyle-gut	E24B	B	fae
Halter	Lifestyle	Body	halter	lifestyle-halter	E24C	B	fae
HighHeel	Lifestyle	Body	high_heel	lifestyle-high-heel	E250	B	fae
Injection	Lifestyle	Body	injection	lifestyle-injection	E2A1	B	fae
Lips	Lifestyle	Body	lips	lifestyle-lips	E258	B	fae
Lipstick	Lifestyle	Body	lipstick	lifestyle-lipstick	E259	B	fae
Liver	Lifestyle	Body	liver	lifestyle-liver	E25A	B	fae
Lung	Lifestyle	Body	lung	lifestyle-lung	E25B	B	fae
MakeupBrushes	Lifestyle	Body	makeup_brushes	lifestyle-makeup-brushes	E25C	B	fae
Medicine	Lifestyle	Body	medicine	lifestyle-medicine	E221	B	fae
Mustache	Lifestyle	Body	mustache	lifestyle-mustache	E228	B	fae
Pulse	Lifestyle	Body	pulse	lifestyle-pulse	E234	B	fae
RealHeart	Lifestyle	Body	real_heart	lifestyle-real-heart	E23A	B	fae
Shirt	Lifestyle	Body	shirt	lifestyle-shirt	E218	B	fae
Spermatozoon	Lifestyle	Body	spermatozoon	lifestyle-spermatozoon	E205	B	fae
Stomach	Lifestyle	Body	stomach	lifestyle-stomach	E207	B	fae
Thermometer	Lifestyle	Body	thermometer	lifestyle-thermometer	E20A	B	fae
ThermometerHigh	Lifestyle	Body	thermometer_high	lifestyle-thermometer-high	E20B	B	fae
ThermometerLow	Lifestyle	Body	thermometer_low	lifestyle-thermometer-low	E20C	B	fae
Tooth	Lifestyle	Body	tooth	lifestyle-tooth	E210	B	fae
Uterus	Lifestyle	Body	uterus	lifestyle-uterus	E211	B	fae
