name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
FaceAgent	MdAccount	Body	face_agent	md-account-face-agent	F0D70	P	md
FaceMan	MdAccount	Body	face_man	md-account-face-man	F0643	P	md
FaceManOutline	MdAccount	Body	face_man_outline	md-account-face-man-outline	F0B96	P	md
FaceManProfile	MdAccount	Body	face_man_profile	md-account-face-man-profile	F0644	P	md
FaceManShimmer	MdAccount	Body	face_man_shimmer	md-account-face-man-shimmer	F15CC	P	md
FaceManShimmerOutline	MdAccount	Body	face_man_shimmer_outline	md-account-face-man-shimmer-outline	F15CD	P	md
FaceMask	MdAccount	Body	face_mask	md-account-face-mask	F1586	P	md
FaceMaskOutline	MdAccount	Body	face_mask_outline	md-account-face-mask-outline	F1587	P	md
FaceWoman	MdAccount	Body	face_woman	md-account-face-woman	F1077	P	md
FaceWomanOutline	MdAccount	Body	face_woman_outline	md-account-face-woman-outline	F1078	P	md
FaceWomanProfile	MdAccount	Body	face_woman_profile	md-account-face-woman-profile	F1076	P	md
FaceWomanShimmer	MdAccount	Body	face_woman_shimmer	md-account-face-woman-shimmer	F15CE	P	md
FaceWomanShimmerOutline	MdAccount	Body	face_woman_shimmer_outline	md-account-face-woman-shimmer-outline	F15CF	P	md
Human	MdAccount	Body	human	md-account-human	F02E6	P	md
HumanBabyChangingTable	MdAccount	Body	human_baby_changing_table	md-account-human-baby-changing-table	F138B	P	md
HumanCane	MdAccount	Body	human_cane	md-account-human-cane	F1581	P	md
HumanCapacityDecrease	MdAccount	Body	human_capacity_decrease	md-account-human-capacity-decrease	F159B	P	md
HumanCapacityIncrease	MdAccount	Body	human_capacity_increase	md-account-human-capacity-increase	F159C	P	md
HumanChild	MdAccount	Body	human_child	md-account-human-child	F02E7	P	md
HumanEdit	MdAccount	Body	human_edit	md-account-human-edit	F14E8	P	md
HumanFemale	MdAccount	Body	human_female	md-account-human-female	F0649	P	md
HumanFemaleBoy	MdAccount	Body	human_female_boy	md-account-human-female-boy	F0A59	P	md
HumanFemaleDance	MdAccount	Body	human_female_dance	md-account-human-female-dance	F15C9	P	md
HumanFemaleFemale	MdAccount	Body	human_female_female	md-account-human-female-female	F0A5A	P	md
HumanFemaleGirl	MdAccount	Body	human_female_girl	md-account-human-female-girl	F0A5B	P	md
HumanGreeting	MdAccount	Body	human_greeting	md-account-human-greeting	F17C4	P	md
HumanGreetingProximity	MdAccount	Body	human_greeting_proximity	md-account-human-greeting-proximity	F159D	P	md
HumanGreetingVariant	MdAccount	Body	human_greeting_variant	md-account-human-greeting-variant	F064A	P	md
HumanHandsdown	MdAccount	Body	human_handsdown	md-account-human-handsdown	F064B	P	md
HumanHandsup	MdAccount	Body	human_handsup	md-account-human-handsup	F064C	P	md
HumanMale	MdAccount	Body	human_male	md-account-human-male	F064D	P	md
HumanMaleBoard	MdAccount	Body	human_male_board	md-account-human-male-board	F0890	P	md
HumanMaleBoardPoll	MdAccount	Body	human_male_board_poll	md-account-human-male-board-poll	F0846	P	md
HumanMaleBoy	MdAccount	Body	human_male_boy	md-account-human-male-boy	F0A5C	P	md
HumanMaleChild	MdAccount	Body	human_male_child	md-account-human-male-child	F138C	P	md
HumanMaleFemale	MdAccount	Body	human_male_female	md-account-human-male-female	F02E8	P	md
HumanMaleFemaleChild	MdAccount	Body	human_male_female_child	md-account-human-male-female-child	F1823	P	md
HumanMaleGirl	MdAccount	Body	human_male_girl	md-account-human-male-girl	F0A5D	P	md
HumanMaleHeight	MdAccount	Body	human_male_height	md-account-human-male-height	F0EFB	P	md
HumanMaleHeightVariant	MdAccount	Body	human_male_height_variant	md-account-human-male-height-variant	F0EFC	P	md
HumanMaleMale	MdAccount	Body	human_male_male	md-account-human-male-male	F0A5E	P	md
