name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Download	MdAction	Input	download	md-action-download	F01DA	*	md
DownloadBox	MdAction	Input	download_box	md-action-download-box	F1462	*	md
DownloadBoxOutline	MdAction	Input	download_box_outline	md-action-download-box-outline	F1463	*	md
DownloadCircle	MdAction	Input	download_circle	md-action-download-circle	F1464	*	md
DownloadCircleOutline	MdAction	Input	download_circle_outline	md-action-download-circle-outline	F1465	*	md
DownloadLock	MdAction	Input	download_lock	md-action-download-lock	F1320	*	md
DownloadLockOutline	MdAction	Input	download_lock_outline	md-action-download-lock-outline	F1321	*	md
DownloadMultiple	MdAction	Input	download_multiple	md-action-download-multiple	F09E9	*	md
DownloadNetwork	MdAction	Input	download_network	md-action-download-network	F06F4	*	md
DownloadNetworkOutline	MdAction	Input	download_network_outline	md-action-download-network-outline	F0C66	*	md
DownloadOff	MdAction	Input	download_off	md-action-download-off	F10B0	*	md
DownloadOffOutline	MdAction	Input	download_off_outline	md-action-download-off-outline	F10B1	*	md
DownloadOutline	MdAction	Input	download_outline	md-action-download-outline	F0B8F	*	md
Refresh	MdAction	Input	refresh	md-action-refresh	F0450	*	md
RefreshAuto	MdAction	Input	refresh_auto	md-action-refresh-auto	F18F2	*	md
RefreshCircle	MdAction	Input	refresh_circle	md-action-refresh-circle	F1377	*	md
Reload	MdAction	Input	reload	md-action-reload	F0453	*	md
ReloadAlert	MdAction	Input	reload_alert	md-action-reload-alert	F110B	*	md
Sync	MdAction	Input	sync	md-action-sync	F04E6	*	md
SyncAlert	MdAction	Input	sync_alert	md-action-sync-alert	F04E7	*	md
SyncCircle	MdAction	Input	sync_circle	md-action-sync-circle	F1378	*	md
SyncOff	MdAction	Input	sync_off	md-action-sync-off	F04E8	*	md
Upload	MdAction	Input	upload	md-action-upload	F0552	*	md
UploadLock	MdAction	Input	upload_lock	md-action-upload-lock	F1373	*	md
UploadLockOutline	MdAction	Input	upload_lock_outline	md-action-upload-lock-outline	F1374	*	md
UploadMultiple	MdAction	Input	upload_multiple	md-action-upload-multiple	F083D	*	md
UploadNetwork	MdAction	Input	upload_network	md-action-upload-network	F06F6	*	md
UploadNetworkOutline	MdAction	Input	upload_network_outline	md-action-upload-network-outline	F0CD8	*	md
UploadOff	MdAction	Input	upload_off	md-action-upload-off	F10C6	*	md
UploadOffOutline	MdAction	Input	upload_off_outline	md-action-upload-off-outline	F10C7	*	md
UploadOutline	MdAction	Input	upload_outline	md-action-upload-outline	F0E07	*	md
AccountFilter	MdAction	Misc	account_filter	md-action-account-filter	F0936	*	md
AccountFilterOutline	MdAction	Misc	account_filter_outline	md-action-account-filter-outline	F0F9D	*	md
AccountSearch	MdAction	Misc	account_search	md-action-account-search	F0016	*	md
AccountSearchOutline	MdAction	Misc	account_search_outline	md-action-account-search-outline	F0935	*	md
Cached	MdAction	Misc	cached	md-action-cached	F00E8	*	md
CallMade	MdAction	Misc	call_made	md-action-call-made	F00F7	*	md
CallMerge	MdAction	Misc	call_merge	md-action-call-merge	F00F8	*	md
CallMissed	MdAction	Misc	call_missed	md-action-call-missed	F00F9	*	md
CallReceived	MdAction	Misc	call_received	md-action-call-received	F00FA	*	md
CallSplit	MdAction	Misc	call_split	md-action-call-split	F00FB	*	md
Contain	MdAction	Misc	contain	md-action-contain	F0A3E	*	md
ContainEnd	MdAction	Misc	contain_end	md-action-contain-end	F0A3F	*	md
ContainStart	MdAction	Misc	contain_start	md-action-contain-start	F0A40	*	md
Drag	MdAction	Misc	drag	md-action-drag	F01DB	*	md
DragHorizontal	MdAction	Misc	drag_horizontal	md-action-drag-horizontal	F01DC	*	md
DragHorizontalVariant	MdAction	Misc	drag_horizontal_variant	md-action-drag-horizontal-variant	F12F0	*	md
DragVariant	MdAction	Misc	drag_variant	md-action-drag-variant	F0B90	*	md
DragVertical	MdAction	Misc	drag_vertical	md-action-drag-vertical	F01DD	*	md
DragVerticalVariant	MdAction	Misc	drag_vertical_variant	md-action-drag-vertical-variant	F12F1	*	md
Fax	MdAction	Misc	fax	md-action-fax	F0212	*	md
Flash	MdAction	Misc	flash	md-action-flash	F0241	*	md
FlashAlert	MdAction	Misc	flash_alert	md-action-flash-alert	F0EF7	*	md
FlashAlertOutline	MdAction	Misc	flash_alert_outline	md-action-flash-alert-outline	F0EF8	*	md
FlashAuto	MdAction	Misc	flash_auto	md-action-flash-auto	F0242	*	md
FlashOff	MdAction	Misc	flash_off	md-action-flash-off	F0243	*	md
FlashOutline	MdAction	Misc	flash_outline	md-action-flash-outline	F06D5	*	md
