name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Bird	MdAnimal	Bird	bird	md-animal-bird	F15C6	a	md
Owl	MdAnimal	Bird	owl	md-animal-owl	F03D2	a	md
Penguin	MdAnimal	Bird	penguin	md-animal-penguin	F0EC0	a	md
Dolphin	MdAnimal	Fish	dolphin	md-animal-dolphin	F18B4	a	md
FishOff	MdAnimal	Fish	fish_off	md-animal-fish-off	F13F3	a	md
Shark	MdAnimal	Fish	shark	md-animal-shark	F18BA	a	md
SharkFin	MdAnimal	Fish	shark_fin	md-animal-shark-fin	F1673	a	md
SharkFinOutline	MdAnimal	Fish	shark_fin_outline	md-animal-shark-fin-outline	F1674	a	md
SharkOff	MdAnimal	Fish	shark_off	md-animal-shark-off	F18BB	a	md
Bee	MdAnimal	Insect	bee	md-animal-bee	F0FA1	a	md
BeeFlower	MdAnimal	Insect	bee_flower	md-animal-bee-flower	F0FA2	a	md
Butterfly	MdAnimal	Insect	butterfly	md-animal-butterfly	F1589	a	md
ButterflyOutline	MdAnimal	Insect	butterfly_outline	md-animal-butterfly-outline	F158A	a	md
Ladybug	MdAnimal	Insect	ladybug	md-animal-ladybug	F082D	a	md
Snail	MdAnimal	Insect	snail	md-animal-snail	F1677	a	md
Spider	MdAnimal	Insect	spider	md-animal-spider	F11EA	a	md
SpiderThread	MdAnimal	Insect	spider_thread	md-animal-spider-thread	F11EB	a	md
SpiderWeb	MdAnimal	Insect	spider_web	md-animal-spider-web	F0BCA	a	md
Cat	MdAnimal	Mammal	cat	md-animal-cat	F011B	a	md
Cow	MdAnimal	Mammal	cow	md-animal-cow	F019A	a	md
CowOff	MdAnimal	Mammal	cow_off	md-animal-cow-off	F18FC	a	md
DogService	MdAnimal	Mammal	dog_service	md-animal-dog-service	F0AAD	a	md
DogSide	MdAnimal	Mammal	dog_side	md-animal-dog-side	F0A44	a	md
DogSideOff	MdAnimal	Mammal	dog_side_off	md-animal-dog-side-off	F16EE	a	md
Elephant	MdAnimal	Mammal	elephant	md-animal-elephant	F07C6	a	md
Horse	MdAnimal	Mammal	horse	md-animal-horse	F15BF	a	md
HorseHuman	MdAnimal	Mammal	horse_human	md-animal-horse-human	F15C0	a	md
HorseVariant	MdAnimal	Mammal	horse_variant	md-animal-horse-variant	F15C1	a	md
HorseVariantFast	MdAnimal	Mammal	horse_variant_fast	md-animal-horse-variant-fast	F186E	a	md
Panda	MdAnimal	Mammal	panda	md-animal-panda	F03DA	a	md
Pig	MdAnimal	Mammal	pig	md-animal-pig	F0401	a	md
PigVariant	MdAnimal	Mammal	pig_variant	md-animal-pig-variant	F1006	a	md
PigVariantOutline	MdAnimal	Mammal	pig_variant_outline	md-animal-pig-variant-outline	F1678	a	md
Rabbit	MdAnimal	Mammal	rabbit	md-animal-rabbit	F0907	a	md
RabbitVariant	MdAnimal	Mammal	rabbit_variant	md-animal-rabbit-variant	F1A61	a	md
RabbitVariantOutline	MdAnimal	Mammal	rabbit_variant_outline	md-animal-rabbit-variant-outline	F1A62	a	md
Fishbowl	MdAnimal	Misc	fishbowl	md-animal-fishbowl	F0EF3	a	md
FishbowlOutline	MdAnimal	Misc	fishbowl_outline	md-animal-fishbowl-outline	F0EF4	a	md
Jellyfish	MdAnimal	Misc	jellyfish	md-animal-jellyfish	F0F01	a	md
JellyfishOutline	MdAnimal	Misc	jellyfish_outline	md-animal-jellyfish-outline	F0F02	a	md
Kangaroo	MdAnimal	Misc	kangaroo	md-animal-kangaroo	F1558	a	md
Koala	MdAnimal	Misc	koala	md-animal-koala	F173F	a	md
Paw	MdAnimal	Misc	paw	md-animal-paw	F03E9	a	md
PawOff	MdAnimal	Misc	paw_off	md-animal-paw-off	F0657	a	md
PawOffOutline	MdAnimal	Misc	paw_off_outline	md-animal-paw-off-outline	F1676	a	md
PawOutline	MdAnimal	Misc	paw_outline	md-animal-paw-outline	F1675	a	md
ScatterPlot	MdAnimal	Misc	scatter_plot	md-animal-scatter-plot	F0EC9	a	md
ScatterPlotOutline	MdAnimal	Misc	scatter_plot_outline	md-animal-scatter-plot-outline	F0ECA	a	md
Snake	MdAnimal	Misc	snake	md-animal-snake	F150E	a	md
Turtle	MdAnimal	Misc	turtle	md-animal-turtle	F0CD7	a	md
