name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
AccountCowboyHat	MdClothing	Accessory	account_cowboy_hat	md-clothing-account-cowboy-hat	F0E9B	c	md
AccountCowboyHatOutline	MdClothing	Accessory	account_cowboy_hat_outline	md-clothing-account-cowboy-hat-outline	F17F3	c	md
Glasses	MdClothing	Accessory	glasses	md-clothing-glasses	F02AA	c	md
Hanger	MdClothing	Accessory	hanger	md-clothing-hanger	F02C8	c	md
Horseshoe	MdClothing	Accessory	horseshoe	md-clothing-horseshoe	F0A58	c	md
Sunglasses	MdClothing	Accessory	sunglasses	md-clothing-sunglasses	F04E0	c	md
Tie	MdClothing	Accessory	tie	md-clothing-tie	F0519	c	md
TshirtCrew	MdClothing	Accessory	tshirt_crew	md-clothing-tshirt-crew	F0A7B	c	md
TshirtCrewOutline	MdClothing	Accessory	tshirt_crew_outline	md-clothing-tshirt-crew-outline	F053F	c	md
TshirtV	MdClothing	Accessory	tshirt_v	md-clothing-tshirt-v	F0A7C	c	md
TshirtVOutline	MdClothing	Accessory	tshirt_v_outline	md-clothing-tshirt-v-outline	F0540	c	md
ShoeBallet	MdClothing	Foot	shoe_ballet	md-clothing-shoe-ballet	F15CA	c	md
ShoeCleat	MdClothing	Foot	shoe_cleat	md-clothing-shoe-cleat	F15C7	c	md
ShoeFormal	MdClothing	Foot	shoe_formal	md-clothing-shoe-formal	F0B47	c	md
ShoeHeel	MdClothing	Foot	shoe_heel	md-clothing-shoe-heel	F0B48	c	md
ShoePrint	MdClothing	Foot	shoe_print	md-clothing-shoe-print	F0DFA	c	md
ShoeSneaker	MdClothing	Foot	shoe_sneaker	md-clothing-shoe-sneaker	F15C8	c	md
HatFedora	MdClothing	Head	hat_fedora	md-clothing-hat-fedora	F0BA4	c	md
