name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Email	MdCommunication	Mail	email	md-communication-email	F01EE	@	md
EmailAlert	MdCommunication	Mail	email_alert	md-communication-email-alert	F06CF	@	md
EmailAlertOutline	MdCommunication	Mail	email_alert_outline	md-communication-email-alert-outline	F0D42	@	md
EmailBox	MdCommunication	Mail	email_box	md-communication-email-box	F0D03	@	md
EmailCheck	MdCommunication	Mail	email_check	md-communication-email-check	F0AB1	@	md
EmailCheckOutline	MdCommunication	Mail	email_check_outline	md-communication-email-check-outline	F0AB2	@	md
EmailEdit	MdCommunication	Mail	email_edit	md-communication-email-edit	F0EE3	@	md
EmailEditOutline	MdCommunication	Mail	email_edit_outline	md-communication-email-edit-outline	F0EE4	@	md
EmailFast	MdCommunication	Mail	email_fast	md-communication-email-fast	F186F	@	md
EmailFastOutline	MdCommunication	Mail	email_fast_outline	md-communication-email-fast-outline	F1870	@	md
EmailLock	MdCommunication	Mail	email_lock	md-communication-email-lock	F01F1	@	md
EmailMarkAsUnread	MdCommunication	Mail	email_mark_as_unread	md-communication-email-mark-as-unread	F0B92	@	md
EmailMinus	MdCommunication	Mail	email_minus	md-communication-email-minus	F0EE5	@	md
EmailMinusOutline	MdCommunication	Mail	email_minus_outline	md-communication-email-minus-outline	F0EE6	@	md
EmailMultiple	MdCommunication	Mail	email_multiple	md-communication-email-multiple	F0EE7	@	md
EmailMultipleOutline	MdCommunication	Mail	email_multiple_outline	md-communication-email-multiple-outline	F0EE8	@	md
EmailNewsletter	MdCommunication	Mail	email_newsletter	md-communication-email-newsletter	F0FB1	@	md
EmailOff	MdCommunication	Mail	email_off	md-communication-email-off	F13E3	@	md
EmailOffOutline	MdCommunication	Mail	email_off_outline	md-communication-email-off-outline	F13E4	@	md
EmailOpen	MdCommunication	Mail	email_open	md-communication-email-open	F01EF	@	md
EmailOpenMultiple	MdCommunication	Mail	email_open_multiple	md-communication-email-open-multiple	F0EE9	@	md
EmailOpenMultipleOutline	MdCommunication	Mail	email_open_multiple_outline	md-communication-email-open-multiple-outline	F0EEA	@	md
EmailOpenOutline	MdCommunication	Mail	email_open_outline	md-communication-email-open-outline	F05EF	@	md
EmailOutline	MdCommunication	Mail	email_outline	md-communication-email-outline	F01F0	@	md
EmailPlus	MdCommunication	Mail	email_plus	md-communication-email-plus	F09EB	@	md
EmailPlusOutline	MdCommunication	Mail	email_plus_outline	md-communication-email-plus-outline	F09EC	@	md
EmailReceive	MdCommunication	Mail	email_receive	md-communication-email-receive	F10DA	@	md
EmailReceiveOutline	MdCommunication	Mail	email_receive_outline	md-communication-email-receive-outline	F10DB	@	md
EmailRemove	MdCommunication	Mail	email_remove	md-communication-email-remove	F1661	@	md
EmailRemoveOutline	MdCommunication	Mail	email_remove_outline	md-communication-email-remove-outline	F1662	@	md
EmailSeal	MdCommunication	Mail	email_seal	md-communication-email-seal	F195B	@	md
EmailSealOutline	MdCommunication	Mail	email_seal_outline	md-communication-email-seal-outline	F195C	@	md
EmailSearch	MdCommunication	Mail	email_search	md-communication-email-search	F0961	@	md
EmailSearchOutline	MdCommunication	Mail	email_search_outline	md-communication-email-search-outline	F0962	@	md
EmailSend	MdCommunication	Mail	email_send	md-communication-email-send	F10DC	@	md
EmailSendOutline	MdCommunication	Mail	email_send_outline	md-communication-email-send-outline	F10DD	@	md
EmailSync	MdCommunication	Mail	email_sync	md-communication-email-sync	F12C7	@	md
EmailSyncOutline	MdCommunication	Mail	email_sync_outline	md-communication-email-sync-outline	F12C8	@	md
EmailVariant	MdCommunication	Mail	email_variant	md-communication-email-variant	F05F0	@	md
Mail	MdCommunication	Mail	mail	md-communication-mail	F0EBB	@	md
Chat	MdCommunication	Message	chat	md-communication-chat	F0B79	@	md
ChatAlert	MdCommunication	Message	chat_alert	md-communication-chat-alert	F0B7A	@	md
ChatAlertOutline	MdCommunication	Message	chat_alert_outline	md-communication-chat-alert-outline	F12C9	@	md
ChatMinus	MdCommunication	Message	chat_minus	md-communication-chat-minus	F1410	@	md
ChatMinusOutline	MdCommunication	Message	chat_minus_outline	md-communication-chat-minus-outline	F1413	@	md
ChatOutline	MdCommunication	Message	chat_outline	md-communication-chat-outline	F0EDE	@	md
ChatPlus	MdCommunication	Message	chat_plus	md-communication-chat-plus	F140F	@	md
ChatPlusOutline	MdCommunication	Message	chat_plus_outline	md-communication-chat-plus-outline	F1412	@	md
ChatProcessing	MdCommunication	Message	chat_processing	md-communication-chat-processing	F0B7B	@	md
ChatProcessingOutline	MdCommunication	Message	chat_processing_outline	md-communication-chat-processing-outline	F12CA	@	md
ChatQuestion	MdCommunication	Message	chat_question	md-communication-chat-question	F1738	@	md
ChatQuestionOutline	MdCommunication	Message	chat_question_outline	md-communication-chat-question-outline	F1739	@	md
ChatRemove	MdCommunication	Message	chat_remove	md-communication-chat-remove	F1411	@	md
ChatRemoveOutline	MdCommunication	Message	chat_remove_outline	md-communication-chat-remove-outline	F1414	@	md
ChatSleep	MdCommunication	Message	chat_sleep	md-communication-chat-sleep	F12D1	@	md
ChatSleepOutline	MdCommunication	Message	chat_sleep_outline	md-communication-chat-sleep-outline	F12D2	@	md
Comment	MdCommunication	Message	comment	md-communication-comment	F017A	@	md
CommentAccount	MdCommunication	Message	comment_account	md-communication-comment-account	F017B	@	md
CommentAccountOutline	MdCommunication	Message	comment_account_outline	md-communication-comment-account-outline	F017C	@	md
CommentAlert	MdCommunication	Message	comment_alert	md-communication-comment-alert	F017D	@	md
CommentAlertOutline	MdCommunication	Message	comment_alert_outline	md-communication-comment-alert-outline	F017E	@	md
CommentArrowLeft	MdCommunication	Message	comment_arrow_left	md-communication-comment-arrow-left	F09E1	@	md
CommentArrowLeftOutline	MdCommunication	Message	comment_arrow_left_outline	md-communication-comment-arrow-left-outline	F09E2	@	md
CommentArrowRight	MdCommunication	Message	comment_arrow_right	md-communication-comment-arrow-right	F09E3	@	md
CommentArrowRightOutline	MdCommunication	Message	comment_arrow_right_outline	md-communication-comment-arrow-right-outline	F09E4	@	md
CommentBookmark	MdCommunication	Message	comment_bookmark	md-communication-comment-bookmark	F15AE	@	md
CommentBookmarkOutline	MdCommunication	Message	comment_bookmark_outline	md-communication-comment-bookmark-outline	F15AF	@	md
CommentCheck	MdCommunication	Message	comment_check	md-communication-comment-check	F017F	@	md
CommentCheckOutline	MdCommunication	Message	comment_check_outline	md-communication-comment-check-outline	F0180	@	md
CommentEdit	MdCommunication	Message	comment_edit	md-communication-comment-edit	F11BF	@	md
CommentEditOutline	MdCommunication	Message	comment_edit_outline	md-communication-comment-edit-outline	F12C4	@	md
CommentEye	MdCommunication	Message	comment_eye	md-communication-comment-eye	F0A3A	@	md
CommentEyeOutline	MdCommunication	Message	comment_eye_outline	md-communication-comment-eye-outline	F0A3B	@	md
CommentFlash	MdCommunication	Message	comment_flash	md-communication-comment-flash	F15B0	@	md
CommentFlashOutline	MdCommunication	Message	comment_flash_outline	md-communication-comment-flash-outline	F15B1	@	md
CommentMinus	MdCommunication	Message	comment_minus	md-communication-comment-minus	F15DF	@	md
CommentMinusOutline	MdCommunication	Message	comment_minus_outline	md-communication-comment-minus-outline	F15E0	@	md
CommentMultiple	MdCommunication	Message	comment_multiple	md-communication-comment-multiple	F085F	@	md
CommentMultipleOutline	MdCommunication	Message	comment_multiple_outline	md-communication-comment-multiple-outline	F0181	@	md
CommentOff	MdCommunication	Message	comment_off	md-communication-comment-off	F15E1	@	md
CommentOffOutline	MdCommunication	Message	comment_off_outline	md-communication-comment-off-outline	F15E2	@	md
CommentOutline	MdCommunication	Message	comment_outline	md-communication-comment-outline	F0182	@	md
CommentPlus	MdCommunication	Message	comment_plus	md-communication-comment-plus	F09E5	@	md
CommentPlusOutline	MdCommunication	Message	comment_plus_outline	md-communication-comment-plus-outline	F0183	@	md
CommentProcessing	MdCommunication	Message	comment_processing	md-communication-comment-processing	F0184	@	md
CommentProcessingOutline	MdCommunication	Message	comment_processing_outline	md-communication-comment-processing-outline	F0185	@	md
CommentQuestion	MdCommunication	Message	comment_question	md-communication-comment-question	F0817	@	md
CommentQuestionOutline	MdCommunication	Message	comment_question_outline	md-communication-comment-question-outline	F0186	@	md
CommentQuote	MdCommunication	Message	comment_quote	md-communication-comment-quote	F1021	@	md
CommentQuoteOutline	MdCommunication	Message	comment_quote_outline	md-communication-comment-quote-outline	F1022	@	md
CommentRemove	MdCommunication	Message	comment_remove	md-communication-comment-remove	F05DE	@	md
CommentRemoveOutline	MdCommunication	Message	comment_remove_outline	md-communication-comment-remove-outline	F0187	@	md
CommentSearch	MdCommunication	Message	comment_search	md-communication-comment-search	F0A3C	@	md
CommentSearchOutline	MdCommunication	Message	comment_search_outline	md-communication-comment-search-outline	F0A3D	@	md
CommentText	MdCommunication	Message	comment_text	md-communication-comment-text	F0188	@	md
CommentTextMultiple	MdCommunication	Message	comment_text_multiple	md-communication-comment-text-multiple	F0860	@	md
CommentTextMultipleOutline	MdCommunication	Message	comment_text_multiple_outline	md-communication-comment-text-multiple-outline	F0861	@	md
CommentTextOutline	MdCommunication	Message	comment_text_outline	md-communication-comment-text-outline	F0189	@	md
Forum	MdCommunication	Message	forum	md-communication-forum	F028C	@	md
ForumMinus	MdCommunication	Message	forum_minus	md-communication-forum-minus	F1AA9	@	md
ForumMinusOutline	MdCommunication	Message	forum_minus_outline	md-communication-forum-minus-outline	F1AAA	@	md
ForumOutline	MdCommunication	Message	forum_outline	md-communication-forum-outline	F0822	@	md
ForumPlus	MdCommunication	Message	forum_plus	md-communication-forum-plus	F1AAB	@	md
ForumPlusOutline	MdCommunication	Message	forum_plus_outline	md-communication-forum-plus-outline	F1AAC	@	md
ForumRemove	MdCommunication	Message	forum_remove	md-communication-forum-remove	F1AAD	@	md
ForumRemoveOutline	MdCommunication	Message	forum_remove_outline	md-communication-forum-remove-outline	F1AAE	@	md
Message	MdCommunication	Message	message	md-communication-message	F0361	@	md
MessageAlert	MdCommunication	Message	message_alert	md-communication-message-alert	F0362	@	md
MessageAlertOutline	MdCommunication	Message	message_alert_outline	md-communication-message-alert-outline	F0A04	@	md
MessageArrowLeft	MdCommunication	Message	message_arrow_left	md-communication-message-arrow-left	F12F2	@	md
MessageArrowLeftOutline	MdCommunication	Message	message_arrow_left_outline	md-communication-message-arrow-left-outline	F12F3	@	md
MessageArrowRight	MdCommunication	Message	message_arrow_right	md-communication-message-arrow-right	F12F4	@	md
