name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Database	MdDatabase	Database	database	md-database-database	F01BC	b	md
DatabaseAlert	MdDatabase	Database	database_alert	md-database-database-alert	F163A	b	md
DatabaseAlertOutline	MdDatabase	Database	database_alert_outline	md-database-database-alert-outline	F1624	b	md
DatabaseArrowDown	MdDatabase	Database	database_arrow_down	md-database-database-arrow-down	F163B	b	md
DatabaseArrowDownOutline	MdDatabase	Database	database_arrow_down_outline	md-database-database-arrow-down-outline	F1625	b	md
DatabaseArrowLeft	MdDatabase	Database	database_arrow_left	md-database-database-arrow-left	F163C	b	md
DatabaseArrowLeftOutline	MdDatabase	Database	database_arrow_left_outline	md-database-database-arrow-left-outline	F1626	b	md
DatabaseArrowRight	MdDatabase	Database	database_arrow_right	md-database-database-arrow-right	F163D	b	md
DatabaseArrowRightOutline	MdDatabase	Database	database_arrow_right_outline	md-database-database-arrow-right-outline	F1627	b	md
DatabaseArrowUp	MdDatabase	Database	database_arrow_up	md-database-database-arrow-up	F163E	b	md
DatabaseArrowUpOutline	MdDatabase	Database	database_arrow_up_outline	md-database-database-arrow-up-outline	F1628	b	md
DatabaseCheck	MdDatabase	Database	database_check	md-database-database-check	F0AA9	b	md
DatabaseCheckOutline	MdDatabase	Database	database_check_outline	md-database-database-check-outline	F1629	b	md
DatabaseClock	MdDatabase	Database	database_clock	md-database-database-clock	F163F	b	md
DatabaseClockOutline	MdDatabase	Database	database_clock_outline	md-database-database-clock-outline	F162A	b	md
DatabaseCog	MdDatabase	Database	database_cog	md-database-database-cog	F164B	b	md
DatabaseCogOutline	MdDatabase	Database	database_cog_outline	md-database-database-cog-outline	F164C	b	md
DatabaseEdit	MdDatabase	Database	database_edit	md-database-database-edit	F0B86	b	md
DatabaseEditOutline	MdDatabase	Database	database_edit_outline	md-database-database-edit-outline	F162B	b	md
DatabaseExport	MdDatabase	Database	database_export	md-database-database-export	F095E	b	md
DatabaseExportOutline	MdDatabase	Database	database_export_outline	md-database-database-export-outline	F162C	b	md
DatabaseEye	MdDatabase	Database	database_eye	md-database-database-eye	F191F	b	md
DatabaseEyeOff	MdDatabase	Database	database_eye_off	md-database-database-eye-off	F1920	b	md
DatabaseEyeOffOutline	MdDatabase	Database	database_eye_off_outline	md-database-database-eye-off-outline	F1921	b	md
DatabaseEyeOutline	MdDatabase	Database	database_eye_outline	md-database-database-eye-outline	F1922	b	md
DatabaseImport	MdDatabase	Database	database_import	md-database-database-import	F095D	b	md
DatabaseImportOutline	MdDatabase	Database	database_import_outline	md-database-database-import-outline	F162D	b	md
DatabaseLock	MdDatabase	Database	database_lock	md-database-database-lock	F0AAA	b	md
DatabaseLockOutline	MdDatabase	Database	database_lock_outline	md-database-database-lock-outline	F162E	b	md
DatabaseMarker	MdDatabase	Database	database_marker	md-database-database-marker	F12F6	b	md
DatabaseMarkerOutline	MdDatabase	Database	database_marker_outline	md-database-database-marker-outline	F162F	b	md
DatabaseMinus	MdDatabase	Database	database_minus	md-database-database-minus	F01BB	b	md
DatabaseMinusOutline	MdDatabase	Database	database_minus_outline	md-database-database-minus-outline	F1630	b	md
DatabaseOff	MdDatabase	Database	database_off	md-database-database-off	F1640	b	md
DatabaseOffOutline	MdDatabase	Database	database_off_outline	md-database-database-off-outline	F1631	b	md
DatabaseOutline	MdDatabase	Database	database_outline	md-database-database-outline	F1632	b	md
DatabasePlus	MdDatabase	Database	database_plus	md-database-database-plus	F01BA	b	md
DatabasePlusOutline	MdDatabase	Database	database_plus_outline	md-database-database-plus-outline	F1633	b	md
DatabaseRefresh	MdDatabase	Database	database_refresh	md-database-database-refresh	F05C2	b	md
DatabaseRefreshOutline	MdDatabase	Database	database_refresh_outline	md-database-database-refresh-outline	F1634	b	md
DatabaseRemove	MdDatabase	Database	database_remove	md-database-database-remove	F0D00	b	md
DatabaseRemoveOutline	MdDatabase	Database	database_remove_outline	md-database-database-remove-outline	F1635	b	md
DatabaseSearch	MdDatabase	Database	database_search	md-database-database-search	F0866	b	md
DatabaseSearchOutline	MdDatabase	Database	database_search_outline	md-database-database-search-outline	F1636	b	md
DatabaseSettings	MdDatabase	Database	database_settings	md-database-database-settings	F0D01	b	md
DatabaseSettingsOutline	MdDatabase	Database	database_settings_outline	md-database-database-settings-outline	F1637	b	md
DatabaseSync	MdDatabase	Database	database_sync	md-database-database-sync	F0CFF	b	md
DatabaseSyncOutline	MdDatabase	Database	database_sync_outline	md-database-database-sync-outline	F1638	b	md
