name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Heart	MdEmoji	Emotion	heart	md-emoji-heart	F02D1	:	md
HeartBox	MdEmoji	Emotion	heart_box	md-emoji-heart-box	F02D2	:	md
HeartBoxOutline	MdEmoji	Emotion	heart_box_outline	md-emoji-heart-box-outline	F02D3	:	md
HeartBroken	MdEmoji	Emotion	heart_broken	md-emoji-heart-broken	F02D4	:	md
HeartBrokenOutline	MdEmoji	Emotion	heart_broken_outline	md-emoji-heart-broken-outline	F0D14	:	md
HeartCircle	MdEmoji	Emotion	heart_circle	md-emoji-heart-circle	F0971	:	md
HeartCircleOutline	MdEmoji	Emotion	heart_circle_outline	md-emoji-heart-circle-outline	F0972	:	md
HeartCog	MdEmoji	Emotion	heart_cog	md-emoji-heart-cog	F1663	:	md
HeartCogOutline	MdEmoji	Emotion	heart_cog_outline	md-emoji-heart-cog-outline	F1664	:	md
HeartFlash	MdEmoji	Emotion	heart_flash	md-emoji-heart-flash	F0EF9	:	md
HeartHalf	MdEmoji	Emotion	heart_half	md-emoji-heart-half	F06DF	:	md
HeartHalfFull	MdEmoji	Emotion	heart_half_full	md-emoji-heart-half-full	F06DE	:	md
HeartHalfOutline	MdEmoji	Emotion	heart_half_outline	md-emoji-heart-half-outline	F06E0	:	md
HeartMinus	MdEmoji	Emotion	heart_minus	md-emoji-heart-minus	F142F	:	md
HeartMinusOutline	MdEmoji	Emotion	heart_minus_outline	md-emoji-heart-minus-outline	F1432	:	md
HeartMultiple	MdEmoji	Emotion	heart_multiple	md-emoji-heart-multiple	F0A56	:	md
HeartMultipleOutline	MdEmoji	Emotion	heart_multiple_outline	md-emoji-heart-multiple-outline	F0A57	:	md
HeartOff	MdEmoji	Emotion	heart_off	md-emoji-heart-off	F0759	:	md
HeartOffOutline	MdEmoji	Emotion	heart_off_outline	md-emoji-heart-off-outline	F1434	:	md
HeartOutline	MdEmoji	Emotion	heart_outline	md-emoji-heart-outline	F02D5	:	md
HeartPlus	MdEmoji	Emotion	heart_plus	md-emoji-heart-plus	F142E	:	md
HeartPlusOutline	MdEmoji	Emotion	heart_plus_outline	md-emoji-heart-plus-outline	F1431	:	md
HeartRemove	MdEmoji	Emotion	heart_remove	md-emoji-heart-remove	F1430	:	md
HeartRemoveOutline	MdEmoji	Emotion	heart_remove_outline	md-emoji-heart-remove-outline	F1433	:	md
HeartSettings	MdEmoji	Emotion	heart_settings	md-emoji-heart-settings	F1665	:	md
HeartSettingsOutline	MdEmoji	Emotion	heart_settings_outline	md-emoji-heart-settings-outline	F1666	:	md
Skull	MdEmoji	Emotion	skull	md-emoji-skull	F068C	:	md
SkullCrossbones	MdEmoji	Emotion	skull_crossbones	md-emoji-skull-crossbones	F0BC6	:	md
SkullCrossbonesOutline	MdEmoji	Emotion	skull_crossbones_outline	md-emoji-skull-crossbones-outline	F0BC7	:	md
SkullOutline	MdEmoji	Emotion	skull_outline	md-emoji-skull-outline	F0BC8	:	md
