name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Archive	MdFile	Archive	archive	md-file-archive	F003C	F	md
ArchiveAlert	MdFile	Archive	archive_alert	md-file-archive-alert	F14FD	F	md
ArchiveAlertOutline	MdFile	Archive	archive_alert_outline	md-file-archive-alert-outline	F14FE	F	md
ArchiveArrowDown	MdFile	Archive	archive_arrow_down	md-file-archive-arrow-down	F1259	F	md
ArchiveArrowDownOutline	MdFile	Archive	archive_arrow_down_outline	md-file-archive-arrow-down-outline	F125A	F	md
ArchiveArrowUp	MdFile	Archive	archive_arrow_up	md-file-archive-arrow-up	F125B	F	md
ArchiveArrowUpOutline	MdFile	Archive	archive_arrow_up_outline	md-file-archive-arrow-up-outline	F125C	F	md
ArchiveCancel	MdFile	Archive	archive_cancel	md-file-archive-cancel	F174B	F	md
ArchiveCancelOutline	MdFile	Archive	archive_cancel_outline	md-file-archive-cancel-outline	F174C	F	md
ArchiveCheck	MdFile	Archive	archive_check	md-file-archive-check	F174D	F	md
ArchiveCheckOutline	MdFile	Archive	archive_check_outline	md-file-archive-check-outline	F174E	F	md
ArchiveClock	MdFile	Archive	archive_clock	md-file-archive-clock	F174F	F	md
ArchiveClockOutline	MdFile	Archive	archive_clock_outline	md-file-archive-clock-outline	F1750	F	md
ArchiveCog	MdFile	Archive	archive_cog	md-file-archive-cog	F1751	F	md
ArchiveCogOutline	MdFile	Archive	archive_cog_outline	md-file-archive-cog-outline	F1752	F	md
ArchiveEdit	MdFile	Archive	archive_edit	md-file-archive-edit	F1753	F	md
ArchiveEditOutline	MdFile	Archive	archive_edit_outline	md-file-archive-edit-outline	F1754	F	md
ArchiveEye	MdFile	Archive	archive_eye	md-file-archive-eye	F1755	F	md
ArchiveEyeOutline	MdFile	Archive	archive_eye_outline	md-file-archive-eye-outline	F1756	F	md
ArchiveLock	MdFile	Archive	archive_lock	md-file-archive-lock	F1757	F	md
ArchiveLockOpen	MdFile	Archive	archive_lock_open	md-file-archive-lock-open	F1758	F	md
ArchiveLockOpenOutline	MdFile	Archive	archive_lock_open_outline	md-file-archive-lock-open-outline	F1759	F	md
ArchiveLockOutline	MdFile	Archive	archive_lock_outline	md-file-archive-lock-outline	F175A	F	md
ArchiveMarker	MdFile	Archive	archive_marker	md-file-archive-marker	F175B	F	md
ArchiveMarkerOutline	MdFile	Archive	archive_marker_outline	md-file-archive-marker-outline	F175C	F	md
ArchiveMinus	MdFile	Archive	archive_minus	md-file-archive-minus	F175D	F	md
ArchiveMinusOutline	MdFile	Archive	archive_minus_outline	md-file-archive-minus-outline	F175E	F	md
ArchiveMusic	MdFile	Archive	archive_music	md-file-archive-music	F175F	F	md
ArchiveMusicOutline	MdFile	Archive	archive_music_outline	md-file-archive-music-outline	F1760	F	md
ArchiveOff	MdFile	Archive	archive_off	md-file-archive-off	F1761	F	md
