name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
HeartPulse	MdHealth	Body	heart_pulse	md-health-heart-pulse	F05F6	h	md
Hospital	MdHealth	Hospital	hospital	md-health-hospital	F0FF6	h	md
HospitalBox	MdHealth	Hospital	hospital_box	md-health-hospital-box	F02E0	h	md
HospitalBoxOutline	MdHealth	Hospital	hospital_box_outline	md-health-hospital-box-outline	F0FF7	h	md
HospitalBuilding	MdHealth	Hospital	hospital_building	md-health-hospital-building	F02E1	h	md
HospitalMarker	MdHealth	Hospital	hospital_marker	md-health-hospital-marker	F02E2	h	md
MedicalBag	MdHealth	Medical	medical_bag	md-health-medical-bag	F06EF	h	md
MedicalCottonSwab	MdHealth	Medical	medical_cotton_swab	md-health-medical-cotton-swab	F1AB8	h	md
Pill	MdHealth	Medical	pill	md-health-pill	F0402	h	md
PillOff	MdHealth	Medical	pill_off	md-health-pill-off	F1A5C	h	md
Biohazard	MdHealth	Wellness	biohazard	md-health-biohazard	F00A7	h	md
Bone	MdHealth	Wellness	bone	md-health-bone	F00B9	h	md
BoneOff	MdHealth	Wellness	bone_off	md-health-bone-off	F19E0	h	md
Cross	MdHealth	Wellness	cross	md-health-cross	F0953	h	md
CrossBolnisi	MdHealth	Wellness	cross_bolnisi	md-health-cross-bolnisi	F0CED	h	md
CrossCeltic	MdHealth	Wellness	cross_celtic	md-health-cross-celtic	F0CF5	h	md
DeathStar	MdHealth	Wellness	death_star	md-health-death-star	F08D8	h	md
DeathStarVariant	MdHealth	Wellness	death_star_variant	md-health-death-star-variant	F08D9	h	md
DeathlyHallows	MdHealth	Wellness	deathly_hallows	md-health-deathly-hallows	F0B87	h	md
Doctor	MdHealth	Wellness	doctor	md-health-doctor	F0A42	h	md
Lotion	MdHealth	Wellness	lotion	md-health-lotion	F1582	h	md
LotionOutline	MdHealth	Wellness	lotion_outline	md-health-lotion-outline	F1583	h	md
LotionPlus	MdHealth	Wellness	lotion_plus	md-health-lotion-plus	F1584	h	md
LotionPlusOutline	MdHealth	Wellness	lotion_plus_outline	md-health-lotion-plus-outline	F1585	h	md
Stethoscope	MdHealth	Wellness	stethoscope	md-health-stethoscope	F04D9	h	md
Tooth	MdHealth	Wellness	tooth	md-health-tooth	F08C3	h	md
ToothOutline	MdHealth	Wellness	tooth_outline	md-health-tooth-outline	F0529	h	md
Toothbrush	MdHealth	Wellness	toothbrush	md-health-toothbrush	F1129	h	md
ToothbrushElectric	MdHealth	Wellness	toothbrush_electric	md-health-toothbrush-electric	F112C	h	md
ToothbrushPaste	MdHealth	Wellness	toothbrush_paste	md-health-toothbrush-paste	F112A	h	md
