name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Bed	MdHome	Furniture	bed	md-home-bed	F02E3	H	md
BedDouble	MdHome	Furniture	bed_double	md-home-bed-double	F0FD4	H	md
BedDoubleOutline	MdHome	Furniture	bed_double_outline	md-home-bed-double-outline	F0FD3	H	md
BedEmpty	MdHome	Furniture	bed_empty	md-home-bed-empty	F08A0	H	md
BedKing	MdHome	Furniture	bed_king	md-home-bed-king	F0FD2	H	md
BedKingOutline	MdHome	Furniture	bed_king_outline	md-home-bed-king-outline	F0FD1	H	md
BedOutline	MdHome	Furniture	bed_outline	md-home-bed-outline	F0099	H	md
BedQueen	MdHome	Furniture	bed_queen	md-home-bed-queen	F0FD0	H	md
BedQueenOutline	MdHome	Furniture	bed_queen_outline	md-home-bed-queen-outline	F0FDB	H	md
BedSingle	MdHome	Furniture	bed_single	md-home-bed-single	F106D	H	md
BedSingleOutline	MdHome	Furniture	bed_single_outline	md-home-bed-single-outline	F106E	H	md
ChairRolling	MdHome	Furniture	chair_rolling	md-home-chair-rolling	F0F48	H	md
ChairSchool	MdHome	Furniture	chair_school	md-home-chair-school	F0125	H	md
Desk	MdHome	Furniture	desk	md-home-desk	F1239	H	md
Sofa	MdHome	Furniture	sofa	md-home-sofa	F04B9	H	md
SofaOutline	MdHome	Furniture	sofa_outline	md-home-sofa-outline	F156D	H	md
SofaSingle	MdHome	Furniture	sofa_single	md-home-sofa-single	F156E	H	md
SofaSingleOutline	MdHome	Furniture	sofa_single_outline	md-home-sofa-single-outline	F156F	H	md
Advertisements	MdHome	Misc	advertisements	md-home-advertisements	F192A	H	md
AdvertisementsOff	MdHome	Misc	advertisements_off	md-home-advertisements-off	F192B	H	md
AirConditioner	MdHome	Misc	air_conditioner	md-home-air-conditioner	F001B	H	md
AirFilter	MdHome	Misc	air_filter	md-home-air-filter	F0D43	H	md
AirHorn	MdHome	Misc	air_horn	md-home-air-horn	F0DAC	H	md
