name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Map	MdMap	Map	map	md-map-map	F034D	M	md
MapCheck	MdMap	Map	map_check	md-map-map-check	F0EBC	M	md
MapCheckOutline	MdMap	Map	map_check_outline	md-map-map-check-outline	F0EBD	M	md
MapClock	MdMap	Map	map_clock	md-map-map-clock	F0D1E	M	md
MapClockOutline	MdMap	Map	map_clock_outline	md-map-map-clock-outline	F0D1F	M	md
MapLegend	MdMap	Map	map_legend	md-map-map-legend	F0A01	M	md
MapMarker	MdMap	Map	map_marker	md-map-map-marker	F034E	M	md
MapMarkerAccount	MdMap	Map	map_marker_account	md-map-map-marker-account	F18E3	M	md
MapMarkerAccountOutline	MdMap	Map	map_marker_account_outline	md-map-map-marker-account-outline	F18E4	M	md
MapMarkerAlert	MdMap	Map	map_marker_alert	md-map-map-marker-alert	F0F05	M	md
MapMarkerAlertOutline	MdMap	Map	map_marker_alert_outline	md-map-map-marker-alert-outline	F0F06	M	md
MapMarkerCheck	MdMap	Map	map_marker_check	md-map-map-marker-check	F0C95	M	md
MapMarkerCheckOutline	MdMap	Map	map_marker_check_outline	md-map-map-marker-check-outline	F12FB	M	md
MapMarkerCircle	MdMap	Map	map_marker_circle	md-map-map-marker-circle	F034F	M	md
MapMarkerDistance	MdMap	Map	map_marker_distance	md-map-map-marker-distance	F08F0	M	md
MapMarkerDown	MdMap	Map	map_marker_down	md-map-map-marker-down	F1102	M	md
MapMarkerLeft	MdMap	Map	map_marker_left	md-map-map-marker-left	F12DB	M	md
MapMarkerLeftOutline	MdMap	Map	map_marker_left_outline	md-map-map-marker-left-outline	F12DD	M	md
MapMarkerMinus	MdMap	Map	map_marker_minus	md-map-map-marker-minus	F0650	M	md
MapMarkerMinusOutline	MdMap	Map	map_marker_minus_outline	md-map-map-marker-minus-outline	F12F9	M	md
MapMarkerMultiple	MdMap	Map	map_marker_multiple	md-map-map-marker-multiple	F0350	M	md
MapMarkerMultipleOutline	MdMap	Map	map_marker_multiple_outline	md-map-map-marker-multiple-outline	F1277	M	md
MapMarkerOff	MdMap	Map	map_marker_off	md-map-map-marker-off	F0351	M	md
MapMarkerOffOutline	MdMap	Map	map_marker_off_outline	md-map-map-marker-off-outline	F12FD	M	md
MapMarkerOutline	MdMap	Map	map_marker_outline	md-map-map-marker-outline	F07D9	M	md
MapMarkerPath	MdMap	Map	map_marker_path	md-map-map-marker-path	F0D20	M	md
MapMarkerPlus	MdMap	Map	map_marker_plus	md-map-map-marker-plus	F0651	M	md
MapMarkerPlusOutline	MdMap	Map	map_marker_plus_outline	md-map-map-marker-plus-outline	F12F8	M	md
MapMarkerQuestion	MdMap	Map	map_marker_question	md-map-map-marker-question	F0F07	M	md
MapMarkerQuestionOutline	MdMap	Map	map_marker_question_outline	md-map-map-marker-question-outline	F0F08	M	md
MapMarkerRadius	MdMap	Map	map_marker_radius	md-map-map-marker-radius	F0352	M	md
MapMarkerRadiusOutline	MdMap	Map	map_marker_radius_outline	md-map-map-marker-radius-outline	F12FC	M	md
MapMarkerRemove	MdMap	Map	map_marker_remove	md-map-map-marker-remove	F0F09	M	md
MapMarkerRemoveOutline	MdMap	Map	map_marker_remove_outline	md-map-map-marker-remove-outline	F12FA	M	md
MapMarkerRemoveVariant	MdMap	Map	map_marker_remove_variant	md-map-map-marker-remove-variant	F0F0A	M	md
MapMarkerRight	MdMap	Map	map_marker_right	md-map-map-marker-right	F12DC	M	md
MapMarkerRightOutline	MdMap	Map	map_marker_right_outline	md-map-map-marker-right-outline	F12DE	M	md
MapMarkerStar	MdMap	Map	map_marker_star	md-map-map-marker-star	F1608	M	md
MapMarkerStarOutline	MdMap	Map	map_marker_star_outline	md-map-map-marker-star-outline	F1609	M	md
MapMarkerUp	MdMap	Map	map_marker_up	md-map-map-marker-up	F1103	M	md
MapMinus	MdMap	Map	map_minus	md-map-map-minus	F0981	M	md
MapOutline	MdMap	Map	map_outline	md-map-map-outline	F0982	M	md
MapPlus	MdMap	Map	map_plus	md-map-map-plus	F0983	M	md
MapSearch	MdMap	Map	map_search	md-map-map-search	F0984	M	md
MapSearchOutline	MdMap	Map	map_search_outline	md-map-map-search-outline	F0985	M	md
HomeMapMarker	MdMap	Misc	home_map_marker	md-map-home-map-marker	F05F8	M	md
Latitude	MdMap	Misc	latitude	md-map-latitude	F0F57	M	md
Longitude	MdMap	Misc	longitude	md-map-longitude	F0F5A	M	md
StoreMarker	MdMap	Misc	store_marker	md-map-store-marker	F18CB	M	md
StoreMarkerOutline	MdMap	Misc	store_marker_outline	md-map-store-marker-outline	F18CC	M	md
