name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
AudioInputRca	MdMedia	Audio	audio_input_rca	md-media-audio-input-rca	F186B	>	md
AudioInputStereoMinijack	MdMedia	Audio	audio_input_stereo_minijack	md-media-audio-input-stereo-minijack	F186C	>	md
AudioInputXlr	MdMedia	Audio	audio_input_xlr	md-media-audio-input-xlr	F186D	>	md
AudioVideo	MdMedia	Audio	audio_video	md-media-audio-video	F093D	>	md
AudioVideoOff	MdMedia	Audio	audio_video_off	md-media-audio-video-off	F11B6	>	md
Music	MdMedia	Audio	music	md-media-music	F075A	>	md
MusicAccidentalDoubleFlat	MdMedia	Audio	music_accidental_double_flat	md-media-music-accidental-double-flat	F0F69	>	md
MusicAccidentalDoubleSharp	MdMedia	Audio	music_accidental_double_sharp	md-media-music-accidental-double-sharp	F0F6A	>	md
MusicAccidentalFlat	MdMedia	Audio	music_accidental_flat	md-media-music-accidental-flat	F0F6B	>	md
MusicAccidentalNatural	MdMedia	Audio	music_accidental_natural	md-media-music-accidental-natural	F0F6C	>	md
MusicAccidentalSharp	MdMedia	Audio	music_accidental_sharp	md-media-music-accidental-sharp	F0F6D	>	md
MusicBox	MdMedia	Audio	music_box	md-media-music-box	F0384	>	md
MusicBoxMultiple	MdMedia	Audio	music_box_multiple	md-media-music-box-multiple	F0333	>	md
MusicBoxMultipleOutline	MdMedia	Audio	music_box_multiple_outline	md-media-music-box-multiple-outline	F0F04	>	md
MusicBoxOutline	MdMedia	Audio	music_box_outline	md-media-music-box-outline	F0385	>	md
MusicCircle	MdMedia	Audio	music_circle	md-media-music-circle	F0386	>	md
MusicCircleOutline	MdMedia	Audio	music_circle_outline	md-media-music-circle-outline	F0AD4	>	md
MusicClefAlto	MdMedia	Audio	music_clef_alto	md-media-music-clef-alto	F0F6E	>	md
MusicClefBass	MdMedia	Audio	music_clef_bass	md-media-music-clef-bass	F0F6F	>	md
MusicClefTreble	MdMedia	Audio	music_clef_treble	md-media-music-clef-treble	F0F70	>	md
MusicNote	MdMedia	Audio	music_note	md-media-music-note	F0387	>	md
MusicNoteBluetooth	MdMedia	Audio	music_note_bluetooth	md-media-music-note-bluetooth	F05FE	>	md
MusicNoteBluetoothOff	MdMedia	Audio	music_note_bluetooth_off	md-media-music-note-bluetooth-off	F05FF	>	md
MusicNoteEighthDotted	MdMedia	Audio	music_note_eighth_dotted	md-media-music-note-eighth-dotted	F0F71	>	md
MusicNoteHalf	MdMedia	Audio	music_note_half	md-media-music-note-half	F0389	>	md
MusicNoteHalfDotted	MdMedia	Audio	music_note_half_dotted	md-media-music-note-half-dotted	F0F72	>	md
MusicNoteOff	MdMedia	Audio	music_note_off	md-media-music-note-off	F038A	>	md
MusicNoteOffOutline	MdMedia	Audio	music_note_off_outline	md-media-music-note-off-outline	F0F73	>	md
MusicNoteOutline	MdMedia	Audio	music_note_outline	md-media-music-note-outline	F0F74	>	md
MusicNotePlus	MdMedia	Audio	music_note_plus	md-media-music-note-plus	F0DDE	>	md
MusicNoteQuarter	MdMedia	Audio	music_note_quarter	md-media-music-note-quarter	F038B	>	md
MusicNoteQuarterDotted	MdMedia	Audio	music_note_quarter_dotted	md-media-music-note-quarter-dotted	F0F75	>	md
MusicNoteSixteenth	MdMedia	Audio	music_note_sixteenth	md-media-music-note-sixteenth	F038C	>	md
MusicNoteSixteenthDotted	MdMedia	Audio	music_note_sixteenth_dotted	md-media-music-note-sixteenth-dotted	F0F76	>	md
MusicNoteWhole	MdMedia	Audio	music_note_whole	md-media-music-note-whole	F038D	>	md
MusicNoteWholeDotted	MdMedia	Audio	music_note_whole_dotted	md-media-music-note-whole-dotted	F0F77	>	md
MusicOff	MdMedia	Audio	music_off	md-media-music-off	F075B	>	md
MusicRestEighth	MdMedia	Audio	music_rest_eighth	md-media-music-rest-eighth	F0F78	>	md
MusicRestHalf	MdMedia	Audio	music_rest_half	md-media-music-rest-half	F0F79	>	md
MusicRestQuarter	MdMedia	Audio	music_rest_quarter	md-media-music-rest-quarter	F0F7A	>	md
MusicRestSixteenth	MdMedia	Audio	music_rest_sixteenth	md-media-music-rest-sixteenth	F0F7B	>	md
MusicRestWhole	MdMedia	Audio	music_rest_whole	md-media-music-rest-whole	F0F7C	>	md
Speaker	MdMedia	Audio	speaker	md-media-speaker	F04C3	>	md
SpeakerBluetooth	MdMedia	Audio	speaker_bluetooth	md-media-speaker-bluetooth	F09A2	>	md
SpeakerMultiple	MdMedia	Audio	speaker_multiple	md-media-speaker-multiple	F0D38	>	md
SpeakerOff	MdMedia	Audio	speaker_off	md-media-speaker-off	F04C4	>	md
SpeakerWireless	MdMedia	Audio	speaker_wireless	md-media-speaker-wireless	F071F	>	md
VolumeHigh	MdMedia	Audio	volume_high	md-media-volume-high	F057E	>	md
VolumeLow	MdMedia	Audio	volume_low	md-media-volume-low	F057F	>	md
VolumeMedium	MdMedia	Audio	volume_medium	md-media-volume-medium	F0580	>	md
VolumeMinus	MdMedia	Audio	volume_minus	md-media-volume-minus	F075E	>	md
VolumeMute	MdMedia	Audio	volume_mute	md-media-volume-mute	F075F	>	md
VolumeOff	MdMedia	Audio	volume_off	md-media-volume-off	F0581	>	md
VolumePlus	MdMedia	Audio	volume_plus	md-media-volume-plus	F075D	>	md
VolumeSource	MdMedia	Audio	volume_source	md-media-volume-source	F1120	>	md
VolumeVariantOff	MdMedia	Audio	volume_variant_off	md-media-volume-variant-off	F0E08	>	md
VolumeVibrate	MdMedia	Audio	volume_vibrate	md-media-volume-vibrate	F1121	>	md
Broadcast	MdMedia	Broadcast	broadcast	md-media-broadcast	F1720	>	md
BroadcastOff	MdMedia	Broadcast	broadcast_off	md-media-broadcast-off	F1721	>	md
Cast	MdMedia	Broadcast	cast	md-media-cast	F0118	>	md
CastAudio	MdMedia	Broadcast	cast_audio	md-media-cast-audio	F101E	>	md
CastAudioVariant	MdMedia	Broadcast	cast_audio_variant	md-media-cast-audio-variant	F1749	>	md
CastConnected	MdMedia	Broadcast	cast_connected	md-media-cast-connected	F0119	>	md
CastEducation	MdMedia	Broadcast	cast_education	md-media-cast-education	F0E1D	>	md
CastOff	MdMedia	Broadcast	cast_off	md-media-cast-off	F078A	>	md
CastVariant	MdMedia	Broadcast	cast_variant	md-media-cast-variant	F001F	>	md
