name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
ArrowAll	MdNavigation	Arrow	arrow_all	md-navigation-arrow-all	F0041	^	md
ArrowBottomLeft	MdNavigation	Arrow	arrow_bottom_left	md-navigation-arrow-bottom-left	F0042	^	md
ArrowBottomLeftBoldBox	MdNavigation	Arrow	arrow_bottom_left_bold_box	md-navigation-arrow-bottom-left-bold-box	F1964	^	md
ArrowBottomLeftBoldBoxOutline	MdNavigation	Arrow	arrow_bottom_left_bold_box_outline	md-navigation-arrow-bottom-left-bold-box-outline	F1965	^	md
ArrowBottomLeftBoldOutline	MdNavigation	Arrow	arrow_bottom_left_bold_outline	md-navigation-arrow-bottom-left-bold-outline	F09B7	^	md
ArrowBottomLeftThick	MdNavigation	Arrow	arrow_bottom_left_thick	md-navigation-arrow-bottom-left-thick	F09B8	^	md
ArrowBottomLeftThin	MdNavigation	Arrow	arrow_bottom_left_thin	md-navigation-arrow-bottom-left-thin	F19B6	^	md
ArrowBottomLeftThinCircleOutline	MdNavigation	Arrow	arrow_bottom_left_thin_circle_outline	md-navigation-arrow-bottom-left-thin-circle-outline	F1596	^	md
ArrowBottomRight	MdNavigation	Arrow	arrow_bottom_right	md-navigation-arrow-bottom-right	F0043	^	md
ArrowBottomRightBoldBox	MdNavigation	Arrow	arrow_bottom_right_bold_box	md-navigation-arrow-bottom-right-bold-box	F1966	^	md
ArrowBottomRightBoldBoxOutline	MdNavigation	Arrow	arrow_bottom_right_bold_box_outline	md-navigation-arrow-bottom-right-bold-box-outline	F1967	^	md
ArrowBottomRightBoldOutline	MdNavigation	Arrow	arrow_bottom_right_bold_outline	md-navigation-arrow-bottom-right-bold-outline	F09B9	^	md
ArrowBottomRightThick	MdNavigation	Arrow	arrow_bottom_right_thick	md-navigation-arrow-bottom-right-thick	F09BA	^	md
ArrowBottomRightThin	MdNavigation	Arrow	arrow_bottom_right_thin	md-navigation-arrow-bottom-right-thin	F19B7	^	md
ArrowBottomRightThinCircleOutline	MdNavigation	Arrow	arrow_bottom_right_thin_circle_outline	md-navigation-arrow-bottom-right-thin-circle-outline	F1595	^	md
ArrowCollapse	MdNavigation	Arrow	arrow_collapse	md-navigation-arrow-collapse	F0615	^	md
ArrowCollapseAll	MdNavigation	Arrow	arrow_collapse_all	md-navigation-arrow-collapse-all	F0044	^	md
ArrowCollapseDown	MdNavigation	Arrow	arrow_collapse_down	md-navigation-arrow-collapse-down	F0792	^	md
ArrowCollapseHorizontal	MdNavigation	Arrow	arrow_collapse_horizontal	md-navigation-arrow-collapse-horizontal	F084C	^	md
ArrowCollapseLeft	MdNavigation	Arrow	arrow_collapse_left	md-navigation-arrow-collapse-left	F0793	^	md
ArrowCollapseRight	MdNavigation	Arrow	arrow_collapse_right	md-navigation-arrow-collapse-right	F0794	^	md
ArrowCollapseUp	MdNavigation	Arrow	arrow_collapse_up	md-navigation-arrow-collapse-up	F0795	^	md
ArrowCollapseVertical	MdNavigation	Arrow	arrow_collapse_vertical	md-navigation-arrow-collapse-vertical	F084D	^	md
