name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
BriefcaseAccount	MdOffice	Desk	briefcase_account	md-office-briefcase-account	F0CF0	o	md
BriefcaseAccountOutline	MdOffice	Desk	briefcase_account_outline	md-office-briefcase-account-outline	F0CF1	o	md
BriefcaseCheck	MdOffice	Desk	briefcase_check	md-office-briefcase-check	F00D7	o	md
BriefcaseCheckOutline	MdOffice	Desk	briefcase_check_outline	md-office-briefcase-check-outline	F131E	o	md
BriefcaseClock	MdOffice	Desk	briefcase_clock	md-office-briefcase-clock	F10D0	o	md
BriefcaseClockOutline	MdOffice	Desk	briefcase_clock_outline	md-office-briefcase-clock-outline	F10D1	o	md
BriefcaseDownload	MdOffice	Desk	briefcase_download	md-office-briefcase-download	F00D8	o	md
BriefcaseDownloadOutline	MdOffice	Desk	briefcase_download_outline	md-office-briefcase-download-outline	F0C3D	o	md
BriefcaseEdit	MdOffice	Desk	briefcase_edit	md-office-briefcase-edit	F0A98	o	md
BriefcaseEditOutline	MdOffice	Desk	briefcase_edit_outline	md-office-briefcase-edit-outline	F0C3E	o	md
BriefcaseEye	MdOffice	Desk	briefcase_eye	md-office-briefcase-eye	F17D9	o	md
BriefcaseEyeOutline	MdOffice	Desk	briefcase_eye_outline	md-office-briefcase-eye-outline	F17DA	o	md
BriefcaseMinus	MdOffice	Desk	briefcase_minus	md-office-briefcase-minus	F0A2A	o	md
BriefcaseMinusOutline	MdOffice	Desk	briefcase_minus_outline	md-office-briefcase-minus-outline	F0C3F	o	md
BriefcaseOff	MdOffice	Desk	briefcase_off	md-office-briefcase-off	F1658	o	md
BriefcaseOffOutline	MdOffice	Desk	briefcase_off_outline	md-office-briefcase-off-outline	F1659	o	md
BriefcaseOutline	MdOffice	Desk	briefcase_outline	md-office-briefcase-outline	F0814	o	md
BriefcasePlus	MdOffice	Desk	briefcase_plus	md-office-briefcase-plus	F0A2B	o	md
BriefcasePlusOutline	MdOffice	Desk	briefcase_plus_outline	md-office-briefcase-plus-outline	F0C40	o	md
BriefcaseRemove	MdOffice	Desk	briefcase_remove	md-office-briefcase-remove	F0A2C	o	md
BriefcaseRemoveOutline	MdOffice	Desk	briefcase_remove_outline	md-office-briefcase-remove-outline	F0C41	o	md
