name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Meditation	MdReligion	Misc	meditation	md-religion-meditation	F117B	R	md
YinYang	MdReligion	Misc	yin_yang	md-religion-yin-yang	F0680	R	md
ZodiacAquarius	MdReligion	Misc	zodiac_aquarius	md-religion-zodiac-aquarius	F0A7D	R	md
ZodiacAries	MdReligion	Misc	zodiac_aries	md-religion-zodiac-aries	F0A7E	R	md
ZodiacCancer	MdReligion	Misc	zodiac_cancer	md-religion-zodiac-cancer	F0A7F	R	md
ZodiacCapricorn	MdReligion	Misc	zodiac_capricorn	md-religion-zodiac-capricorn	F0A80	R	md
ZodiacGemini	MdReligion	Misc	zodiac_gemini	md-religion-zodiac-gemini	F0A81	R	md
ZodiacLeo	MdReligion	Misc	zodiac_leo	md-religion-zodiac-leo	F0A82	R	md
ZodiacLibra	MdReligion	Misc	zodiac_libra	md-religion-zodiac-libra	F0A83	R	md
ZodiacPisces	MdReligion	Misc	zodiac_pisces	md-religion-zodiac-pisces	F0A84	R	md
ZodiacSagittarius	MdReligion	Misc	zodiac_sagittarius	md-religion-zodiac-sagittarius	F0A85	R	md
ZodiacScorpio	MdReligion	Misc	zodiac_scorpio	md-religion-zodiac-scorpio	F0A86	R	md
ZodiacTaurus	MdReligion	Misc	zodiac_taurus	md-religion-zodiac-taurus	F0A87	R	md
ZodiacVirgo	MdReligion	Misc	zodiac_virgo	md-religion-zodiac-virgo	F0A88	R	md
Church	MdReligion	Place	church	md-religion-church	F0144	R	md
Mosque	MdReligion	Place	mosque	md-religion-mosque	F1827	R	md
CrossOutline	MdReligion	Symbol	cross_outline	md-religion-cross-outline	F0CF6	R	md
Om	MdReligion	Symbol	om	md-religion-om	F0973	R	md
StarCrescent	MdReligion	Symbol	star_crescent	md-religion-star-crescent	F0979	R	md
StarDavid	MdReligion	Symbol	star_david	md-religion-star-david	F097A	R	md
