name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
CircleBox	MdShape	Basic	circle_box	md-shape-circle-box	F15DC	O	md
CircleBoxOutline	MdShape	Basic	circle_box_outline	md-shape-circle-box-outline	F15DD	O	md
CircleDouble	MdShape	Basic	circle_double	md-shape-circle-double	F0E95	O	md
CircleEditOutline	MdShape	Basic	circle_edit_outline	md-shape-circle-edit-outline	F08D5	O	md
CircleExpand	MdShape	Basic	circle_expand	md-shape-circle-expand	F0E96	O	md
CircleHalf	MdShape	Basic	circle_half	md-shape-circle-half	F1395	O	md
CircleHalfFull	MdShape	Basic	circle_half_full	md-shape-circle-half-full	F1396	O	md
CircleMedium	MdShape	Basic	circle_medium	md-shape-circle-medium	F09DE	O	md
CircleMultiple	MdShape	Basic	circle_multiple	md-shape-circle-multiple	F0B38	O	md
CircleMultipleOutline	MdShape	Basic	circle_multiple_outline	md-shape-circle-multiple-outline	F0695	O	md
CircleOffOutline	MdShape	Basic	circle_off_outline	md-shape-circle-off-outline	F10D3	O	md
CircleOpacity	MdShape	Basic	circle_opacity	md-shape-circle-opacity	F1853	O	md
CircleSlice1	MdShape	Basic	circle_slice_1	md-shape-circle-slice-1	F0A9E	O	md
CircleSlice2	MdShape	Basic	circle_slice_2	md-shape-circle-slice-2	F0A9F	O	md
CircleSlice3	MdShape	Basic	circle_slice_3	md-shape-circle-slice-3	F0AA0	O	md
CircleSlice4	MdShape	Basic	circle_slice_4	md-shape-circle-slice-4	F0AA1	O	md
CircleSlice5	MdShape	Basic	circle_slice_5	md-shape-circle-slice-5	F0AA2	O	md
CircleSlice6	MdShape	Basic	circle_slice_6	md-shape-circle-slice-6	F0AA3	O	md
CircleSlice7	MdShape	Basic	circle_slice_7	md-shape-circle-slice-7	F0AA4	O	md
CircleSlice8	MdShape	Basic	circle_slice_8	md-shape-circle-slice-8	F0AA5	O	md
CircleSmall	MdShape	Basic	circle_small	md-shape-circle-small	F09DF	O	md
DotNet	MdShape	Basic	dot_net	md-shape-dot-net	F0AAE	O	md
Ring	MdShape	Basic	ring	md-shape-ring	F07EB	O	md
Square	MdShape	Basic	square	md-shape-square	F0764	O	md
SquareCircle	MdShape	Basic	square_circle	md-shape-square-circle	F1500	O	md
SquareEditOutline	MdShape	Basic	square_edit_outline	md-shape-square-edit-outline	F090C	O	md
SquareMedium	MdShape	Basic	square_medium	md-shape-square-medium	F0A13	O	md
SquareMediumOutline	MdShape	Basic	square_medium_outline	md-shape-square-medium-outline	F0A14	O	md
SquareOff	MdShape	Basic	square_off	md-shape-square-off	F12EE	O	md
SquareOffOutline	MdShape	Basic	square_off_outline	md-shape-square-off-outline	F12EF	O	md
SquareOpacity	MdShape	Basic	square_opacity	md-shape-square-opacity	F1854	O	md
SquareOutline	MdShape	Basic	square_outline	md-shape-square-outline	F0763	O	md
SquareRoot	MdShape	Basic	square_root	md-shape-square-root	F0784	O	md
SquareRootBox	MdShape	Basic	square_root_box	md-shape-square-root-box	F09A3	O	md
SquareRounded	MdShape	Basic	square_rounded	md-shape-square-rounded	F14FB	O	md
SquareRoundedBadge	MdShape	Basic	square_rounded_badge	md-shape-square-rounded-badge	F1A07	O	md
SquareRoundedBadgeOutline	MdShape	Basic	square_rounded_badge_outline	md-shape-square-rounded-badge-outline	F1A08	O	md
SquareRoundedOutline	MdShape	Basic	square_rounded_outline	md-shape-square-rounded-outline	F14FC	O	md
SquareSmall	MdShape	Basic	square_small	md-shape-square-small	F0A15	O	md
SquareWave	MdShape	Basic	square_wave	md-shape-square-wave	F147B	O	md
Triangle	MdShape	Basic	triangle	md-shape-triangle	F0536	O	md
TriangleOutline	MdShape	Basic	triangle_outline	md-shape-triangle-outline	F0537	O	md
