name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
BagCarryOn	MdShopping	Bag	bag_carry_on	md-shopping-bag-carry-on	F0F3B	g	md
BagCarryOnCheck	MdShopping	Bag	bag_carry_on_check	md-shopping-bag-carry-on-check	F0D65	g	md
BagCarryOnOff	MdShopping	Bag	bag_carry_on_off	md-shopping-bag-carry-on-off	F0F3C	g	md
BagChecked	MdShopping	Bag	bag_checked	md-shopping-bag-checked	F0F3D	g	md
BagPersonal	MdShopping	Bag	bag_personal	md-shopping-bag-personal	F0E10	g	md
BagPersonalOff	MdShopping	Bag	bag_personal_off	md-shopping-bag-personal-off	F0E11	g	md
BagPersonalOffOutline	MdShopping	Bag	bag_personal_off_outline	md-shopping-bag-personal-off-outline	F0E12	g	md
BagPersonalOutline	MdShopping	Bag	bag_personal_outline	md-shopping-bag-personal-outline	F0E13	g	md
Cart	MdShopping	Cart	cart	md-shopping-cart	F0110	g	md
CartArrowDown	MdShopping	Cart	cart_arrow_down	md-shopping-cart-arrow-down	F0D66	g	md
CartArrowRight	MdShopping	Cart	cart_arrow_right	md-shopping-cart-arrow-right	F0C4E	g	md
CartArrowUp	MdShopping	Cart	cart_arrow_up	md-shopping-cart-arrow-up	F0D67	g	md
CartCheck	MdShopping	Cart	cart_check	md-shopping-cart-check	F15EA	g	md
CartHeart	MdShopping	Cart	cart_heart	md-shopping-cart-heart	F18E0	g	md
CartMinus	MdShopping	Cart	cart_minus	md-shopping-cart-minus	F0D68	g	md
CartOff	MdShopping	Cart	cart_off	md-shopping-cart-off	F066B	g	md
CartOutline	MdShopping	Cart	cart_outline	md-shopping-cart-outline	F0111	g	md
CartPlus	MdShopping	Cart	cart_plus	md-shopping-cart-plus	F0112	g	md
CartRemove	MdShopping	Cart	cart_remove	md-shopping-cart-remove	F0D69	g	md
CartVariant	MdShopping	Cart	cart_variant	md-shopping-cart-variant	F15EB	g	md
Gift	MdShopping	Product	gift	md-shopping-gift	F0E44	g	md
GiftOff	MdShopping	Product	gift_off	md-shopping-gift-off	F16EF	g	md
GiftOffOutline	MdShopping	Product	gift_off_outline	md-shopping-gift-off-outline	F16F0	g	md
GiftOpen	MdShopping	Product	gift_open	md-shopping-gift-open	F16F1	g	md
GiftOpenOutline	MdShopping	Product	gift_open_outline	md-shopping-gift-open-outline	F16F2	g	md
GiftOutline	MdShopping	Product	gift_outline	md-shopping-gift-outline	F02A1	g	md
HumanDolly	MdShopping	Product	human_dolly	md-shopping-human-dolly	F1980	g	md
Sale	MdShopping	Product	sale	md-shopping-sale	F046F	g	md
SaleOutline	MdShopping	Product	sale_outline	md-shopping-sale-outline	F1A06	g	md
Shopping	MdShopping	Product	shopping	md-shopping-shopping	F049A	g	md
ShoppingMusic	MdShopping	Product	shopping_music	md-shopping-shopping-music	F049B	g	md
ShoppingOutline	MdShopping	Product	shopping_outline	md-shopping-shopping-outline	F11D5	g	md
ShoppingSearch	MdShopping	Product	shopping_search	md-shopping-shopping-search	F0F84	g	md
ShoppingSearchOutline	MdShopping	Product	shopping_search_outline	md-shopping-shopping-search-outline	F1A6F	g	md
Store	MdShopping	Store	store	md-shopping-store	F04DC	g	md
Store24Hour	MdShopping	Store	store_24_hour	md-shopping-store-24-hour	F04DD	g	md
StoreAlert	MdShopping	Store	store_alert	md-shopping-store-alert	F18C1	g	md
StoreAlertOutline	MdShopping	Store	store_alert_outline	md-shopping-store-alert-outline	F18C2	g	md
StoreCheck	MdShopping	Store	store_check	md-shopping-store-check	F18C3	g	md
StoreCheckOutline	MdShopping	Store	store_check_outline	md-shopping-store-check-outline	F18C4	g	md
StoreClock	MdShopping	Store	store_clock	md-shopping-store-clock	F18C5	g	md
StoreClockOutline	MdShopping	Store	store_clock_outline	md-shopping-store-clock-outline	F18C6	g	md
StoreCog	MdShopping	Store	store_cog	md-shopping-store-cog	F18C7	g	md
StoreCogOutline	MdShopping	Store	store_cog_outline	md-shopping-store-cog-outline	F18C8	g	md
StoreEdit	MdShopping	Store	store_edit	md-shopping-store-edit	F18C9	g	md
StoreEditOutline	MdShopping	Store	store_edit_outline	md-shopping-store-edit-outline	F18CA	g	md
StoreMinus	MdShopping	Store	store_minus	md-shopping-store-minus	F165E	g	md
StoreMinusOutline	MdShopping	Store	store_minus_outline	md-shopping-store-minus-outline	F18CD	g	md
StoreOff	MdShopping	Store	store_off	md-shopping-store-off	F18CE	g	md
StoreOffOutline	MdShopping	Store	store_off_outline	md-shopping-store-off-outline	F18CF	g	md
StoreOutline	MdShopping	Store	store_outline	md-shopping-store-outline	F1361	g	md
StorePlus	MdShopping	Store	store_plus	md-shopping-store-plus	F165F	g	md
StorePlusOutline	MdShopping	Store	store_plus_outline	md-shopping-store-plus-outline	F18D0	g	md
StoreRemove	MdShopping	Store	store_remove	md-shopping-store-remove	F1660	g	md
StoreRemoveOutline	MdShopping	Store	store_remove_outline	md-shopping-store-remove-outline	F18D1	g	md
StoreSearch	MdShopping	Store	store_search	md-shopping-store-search	F18D2	g	md
StoreSearchOutline	MdShopping	Store	store_search_outline	md-shopping-store-search-outline	F18D3	g	md
StoreSettings	MdShopping	Store	store_settings	md-shopping-store-settings	F18D4	g	md
StoreSettingsOutline	MdShopping	Store	store_settings_outline	md-shopping-store-settings-outline	F18D5	g	md
Warehouse	MdShopping	Store	warehouse	md-shopping-warehouse	F0F81	g	md
