name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Medal	MdSport	Award	medal	md-sport-medal	F0987	r	md
MedalOutline	MdSport	Award	medal_outline	md-sport-medal-outline	F1326	r	md
Podium	MdSport	Award	podium	md-sport-podium	F0D25	r	md
PodiumBronze	MdSport	Award	podium_bronze	md-sport-podium-bronze	F0D26	r	md
PodiumGold	MdSport	Award	podium_gold	md-sport-podium-gold	F0D27	r	md
PodiumSilver	MdSport	Award	podium_silver	md-sport-podium-silver	F0D28	r	md
Trophy	MdSport	Award	trophy	md-sport-trophy	F0538	r	md
TrophyAward	MdSport	Award	trophy_award	md-sport-trophy-award	F0539	r	md
TrophyBroken	MdSport	Award	trophy_broken	md-sport-trophy-broken	F0DA4	r	md
TrophyOutline	MdSport	Award	trophy_outline	md-sport-trophy-outline	F053A	r	md
TrophyVariant	MdSport	Award	trophy_variant	md-sport-trophy-variant	F053B	r	md
TrophyVariantOutline	MdSport	Award	trophy_variant_outline	md-sport-trophy-variant-outline	F053C	r	md
BaseballBat	MdSport	Ball	baseball_bat	md-sport-baseball-bat	F0853	r	md
BaseballDiamond	MdSport	Ball	baseball_diamond	md-sport-baseball-diamond	F15EC	r	md
BaseballDiamondOutline	MdSport	Ball	baseball_diamond_outline	md-sport-baseball-diamond-outline	F15ED	r	md
BasketballHoop	MdSport	Ball	basketball_hoop	md-sport-basketball-hoop	F0C3B	r	md
BasketballHoopOutline	MdSport	Ball	basketball_hoop_outline	md-sport-basketball-hoop-outline	F0C3C	r	md
FootballAustralian	MdSport	Ball	football_australian	md-sport-football-australian	F025E	r	md
FootballHelmet	MdSport	Ball	football_helmet	md-sport-football-helmet	F025F	r	md
GolfCart	MdSport	Ball	golf_cart	md-sport-golf-cart	F11A4	r	md
GolfTee	MdSport	Ball	golf_tee	md-sport-golf-tee	F1083	r	md
HockeyPuck	MdSport	Ball	hockey_puck	md-sport-hockey-puck	F0879	r	md
HockeySticks	MdSport	Ball	hockey_sticks	md-sport-hockey-sticks	F087A	r	md
Soccer	MdSport	Ball	soccer	md-sport-soccer	F04B8	r	md
SoccerField	MdSport	Ball	soccer_field	md-sport-soccer-field	F0834	r	md
Tennis	MdSport	Ball	tennis	md-sport-tennis	F0DA0	r	md
TennisBall	MdSport	Ball	tennis_ball	md-sport-tennis-ball	F0507	r	md
Diving	MdSport	Equipment	diving	md-sport-diving	F1977	r	md
DivingFlippers	MdSport	Equipment	diving_flippers	md-sport-diving-flippers	F0DBF	r	md
DivingHelmet	MdSport	Equipment	diving_helmet	md-sport-diving-helmet	F0DC0	r	md
DivingScuba	MdSport	Equipment	diving_scuba	md-sport-diving-scuba	F0DC1	r	md
DivingScubaFlag	MdSport	Equipment	diving_scuba_flag	md-sport-diving-scuba-flag	F0DC2	r	md
DivingScubaTank	MdSport	Equipment	diving_scuba_tank	md-sport-diving-scuba-tank	F0DC3	r	md
DivingScubaTankMultiple	MdSport	Equipment	diving_scuba_tank_multiple	md-sport-diving-scuba-tank-multiple	F0DC4	r	md
DivingSnorkel	MdSport	Equipment	diving_snorkel	md-sport-diving-snorkel	F0DC5	r	md
Ski	MdSport	Equipment	ski	md-sport-ski	F1304	r	md
SkiCrossCountry	MdSport	Equipment	ski_cross_country	md-sport-ski-cross-country	F1305	r	md
SkiWater	MdSport	Equipment	ski_water	md-sport-ski-water	F1306	r	md
Weight	MdSport	Equipment	weight	md-sport-weight	F05A1	r	md
WeightGram	MdSport	Equipment	weight_gram	md-sport-weight-gram	F0D3F	r	md
WeightKilogram	MdSport	Equipment	weight_kilogram	md-sport-weight-kilogram	F05A2	r	md
WeightLifter	MdSport	Equipment	weight_lifter	md-sport-weight-lifter	F115D	r	md
WeightPound	MdSport	Equipment	weight_pound	md-sport-weight-pound	F09B5	r	md
Bandage	MdSport	Misc	bandage	md-sport-bandage	F0DAF	r	md
Bat	MdSport	Misc	bat	md-sport-bat	F0B5F	r	md
Biathlon	MdSport	Misc	biathlon	md-sport-biathlon	F0E14	r	md
Billiards	MdSport	Misc	billiards	md-sport-billiards	F0B61	r	md
BilliardsRack	MdSport	Misc	billiards_rack	md-sport-billiards-rack	F0B62	r	md
BlockHelper	MdSport	Misc	block_helper	md-sport-block-helper	F00AD	r	md
Bowling	MdSport	Misc	bowling	md-sport-bowling	F00D3	r	md
Box	MdSport	Misc	box	md-sport-box	F00D4	r	md
BoxCutter	MdSport	Misc	box_cutter	md-sport-box-cutter	F00D5	r	md
BoxCutterOff	MdSport	Misc	box_cutter_off	md-sport-box-cutter-off	F0B4A	r	md
BoxShadow	MdSport	Misc	box_shadow	md-sport-box-shadow	F0637	r	md
BoxingGlove	MdSport	Misc	boxing_glove	md-sport-boxing-glove	F0B65	r	md
Bullseye	MdSport	Misc	bullseye	md-sport-bullseye	F05DD	r	md
BullseyeArrow	MdSport	Misc	bullseye_arrow	md-sport-bullseye-arrow	F08C9	r	md
CoachLamp	MdSport	Misc	coach_lamp	md-sport-coach-lamp	F1020	r	md
CoachLampVariant	MdSport	Misc	coach_lamp_variant	md-sport-coach-lamp-variant	F1A37	r	md
Curling	MdSport	Misc	curling	md-sport-curling	F0863	r	md
Fencing	MdSport	Misc	fencing	md-sport-fencing	F14C1	r	md
FlagCheckered	MdSport	Misc	flag_checkered	md-sport-flag-checkered	F023C	r	md
Gymnastics	MdSport	Misc	gymnastics	md-sport-gymnastics	F1A41	r	md
Hammer	MdSport	Misc	hammer	md-sport-hammer	F08EA	r	md
HammerSickle	MdSport	Misc	hammer_sickle	md-sport-hammer-sickle	F1887	r	md
HighDefinition	MdSport	Misc	high_definition	md-sport-high-definition	F07CF	r	md
HighDefinitionBox	MdSport	Misc	high_definition_box	md-sport-high-definition-box	F0878	r	md
HoopHouse	MdSport	Misc	hoop_house	md-sport-hoop-house	F0E56	r	md
Karate	MdSport	Misc	karate	md-sport-karate	F082C	r	md
Kayaking	MdSport	Misc	kayaking	md-sport-kayaking	F08AF	r	md
Kite	MdSport	Misc	kite	md-sport-kite	F1985	r	md
KiteOutline	MdSport	Misc	kite_outline	md-sport-kite-outline	F1986	r	md
Kitesurfing	MdSport	Misc	kitesurfing	md-sport-kitesurfing	F1744	r	md
LineScan	MdSport	Misc	line_scan	md-sport-line-scan	F0624	r	md
Locker	MdSport	Misc	locker	md-sport-locker	F07D7	r	md
LockerMultiple	MdSport	Misc	locker_multiple	md-sport-locker-multiple	F07D8	r	md
MixedMartialArts	MdSport	Misc	mixed_martial_arts	md-sport-mixed-martial-arts	F0D8F	r	md
MixedReality	MdSport	Misc	mixed_reality	md-sport-mixed-reality	F087F	r	md
Motorbike	MdSport	Misc	motorbike	md-sport-motorbike	F037C	r	md
MotorbikeElectric	MdSport	Misc	motorbike_electric	md-sport-motorbike-electric	F15BA	r	md
Parachute	MdSport	Misc	parachute	md-sport-parachute	F0CB4	r	md
ParachuteOutline	MdSport	Misc	parachute_outline	md-sport-parachute-outline	F0CB5	r	md
PointOfSale	MdSport	Misc	point_of_sale	md-sport-point-of-sale	F0D92	r	md
Pokeball	MdSport	Misc	pokeball	md-sport-pokeball	F041D	r	md
Polo	MdSport	Misc	polo	md-sport-polo	F14C3	r	md
ProfessionalHexagon	MdSport	Misc	professional_hexagon	md-sport-professional-hexagon	F042D	r	md
RacingHelmet	MdSport	Misc	racing_helmet	md-sport-racing-helmet	F0D93	r	md
Replay	MdSport	Misc	replay	md-sport-replay	F0459	r	md
Ribbon	MdSport	Misc	ribbon	md-sport-ribbon	F0460	r	md
Rollerblade	MdSport	Misc	rollerblade	md-sport-rollerblade	F0D2C	r	md
RollerbladeOff	MdSport	Misc	rollerblade_off	md-sport-rollerblade-off	F002E	r	md
Rowing	MdSport	Misc	rowing	md-sport-rowing	F0608	r	md
Run	MdSport	Misc	run	md-sport-run	F070E	r	md
RunFast	MdSport	Misc	run_fast	md-sport-run-fast	F046E	r	md
Safe	MdSport	Misc	safe	md-sport-safe	F0A6A	r	md
SafeSquare	MdSport	Misc	safe_square	md-sport-safe-square	F127C	r	md
SafeSquareOutline	MdSport	Misc	safe_square_outline	md-sport-safe-square-outline	F127D	r	md
Skate	MdSport	Misc	skate	md-sport-skate	F0D35	r	md
SkateOff	MdSport	Misc	skate_off	md-sport-skate-off	F0699	r	md
Skateboard	MdSport	Misc	skateboard	md-sport-skateboard	F14C2	r	md
Skateboarding	MdSport	Misc	skateboarding	md-sport-skateboarding	F0501	r	md
Surfing	MdSport	Misc	surfing	md-sport-surfing	F1746	r	md
Swim	MdSport	Misc	swim	md-sport-swim	F04E3	r	md
Tournament	MdSport	Misc	tournament	md-sport-tournament	F09AE	r	md
TrackLight	MdSport	Misc	track_light	md-sport-track-light	F0914	r	md
UltraHighDefinition	MdSport	Misc	ultra_high_definition	md-sport-ultra-high-definition	F07F9	r	md
Volleyball	MdSport	Misc	volleyball	md-sport-volleyball	F09B4	r	md
Walk	MdSport	Misc	walk	md-sport-walk	F0583	r	md
WaterPolo	MdSport	Misc	water_polo	md-sport-water-polo	F12A0	r	md
Whistle	MdSport	Misc	whistle	md-sport-whistle	F09B6	r	md
WhistleOutline	MdSport	Misc	whistle_outline	md-sport-whistle-outline	F12BC	r	md
Yoga	MdSport	Misc	yoga	md-sport-yoga	F117C	r	md
Stadium	MdSport	Venue	stadium	md-sport-stadium	F0FF9	r	md
StadiumVariant	MdSport	Venue	stadium_variant	md-sport-stadium-variant	F0720	r	md
