name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Calendar	MdTime	Calendar	calendar	md-time-calendar	F00ED	C	md
CalendarAccount	MdTime	Calendar	calendar_account	md-time-calendar-account	F0ED7	C	md
CalendarAccountOutline	MdTime	Calendar	calendar_account_outline	md-time-calendar-account-outline	F0ED8	C	md
CalendarAlert	MdTime	Calendar	calendar_alert	md-time-calendar-alert	F0A31	C	md
CalendarArrowLeft	MdTime	Calendar	calendar_arrow_left	md-time-calendar-arrow-left	F1134	C	md
CalendarArrowRight	MdTime	Calendar	calendar_arrow_right	md-time-calendar-arrow-right	F1135	C	md
CalendarBlank	MdTime	Calendar	calendar_blank	md-time-calendar-blank	F00EE	C	md
CalendarBlankMultiple	MdTime	Calendar	calendar_blank_multiple	md-time-calendar-blank-multiple	F1073	C	md
CalendarBlankOutline	MdTime	Calendar	calendar_blank_outline	md-time-calendar-blank-outline	F0B66	C	md
CalendarCheck	MdTime	Calendar	calendar_check	md-time-calendar-check	F00EF	C	md
CalendarCheckOutline	MdTime	Calendar	calendar_check_outline	md-time-calendar-check-outline	F0C44	C	md
CalendarClock	MdTime	Calendar	calendar_clock	md-time-calendar-clock	F00F0	C	md
CalendarClockOutline	MdTime	Calendar	calendar_clock_outline	md-time-calendar-clock-outline	F16E1	C	md
CalendarCollapseHorizontal	MdTime	Calendar	calendar_collapse_horizontal	md-time-calendar-collapse-horizontal	F189D	C	md
CalendarCursor	MdTime	Calendar	calendar_cursor	md-time-calendar-cursor	F157B	C	md
CalendarEdit	MdTime	Calendar	calendar_edit	md-time-calendar-edit	F08A7	C	md
CalendarEnd	MdTime	Calendar	calendar_end	md-time-calendar-end	F166C	C	md
CalendarExpandHorizontal	MdTime	Calendar	calendar_expand_horizontal	md-time-calendar-expand-horizontal	F189E	C	md
CalendarExport	MdTime	Calendar	calendar_export	md-time-calendar-export	F0B24	C	md
CalendarHeart	MdTime	Calendar	calendar_heart	md-time-calendar-heart	F09D2	C	md
CalendarImport	MdTime	Calendar	calendar_import	md-time-calendar-import	F0B25	C	md
CalendarLock	MdTime	Calendar	calendar_lock	md-time-calendar-lock	F1641	C	md
CalendarLockOutline	MdTime	Calendar	calendar_lock_outline	md-time-calendar-lock-outline	F1642	C	md
CalendarMinus	MdTime	Calendar	calendar_minus	md-time-calendar-minus	F0D5C	C	md
CalendarMonth	MdTime	Calendar	calendar_month	md-time-calendar-month	F0E17	C	md
CalendarMonthOutline	MdTime	Calendar	calendar_month_outline	md-time-calendar-month-outline	F0E18	C	md
CalendarMultiple	MdTime	Calendar	calendar_multiple	md-time-calendar-multiple	F00F1	C	md
CalendarMultipleCheck	MdTime	Calendar	calendar_multiple_check	md-time-calendar-multiple-check	F00F2	C	md
CalendarMultiselect	MdTime	Calendar	calendar_multiselect	md-time-calendar-multiselect	F0A32	C	md
CalendarOutline	MdTime	Calendar	calendar_outline	md-time-calendar-outline	F0B67	C	md
CalendarPlus	MdTime	Calendar	calendar_plus	md-time-calendar-plus	F00F3	C	md
CalendarQuestion	MdTime	Calendar	calendar_question	md-time-calendar-question	F0692	C	md
CalendarRange	MdTime	Calendar	calendar_range	md-time-calendar-range	F0679	C	md
CalendarRangeOutline	MdTime	Calendar	calendar_range_outline	md-time-calendar-range-outline	F0B68	C	md
CalendarRefresh	MdTime	Calendar	calendar_refresh	md-time-calendar-refresh	F01E1	C	md
CalendarRefreshOutline	MdTime	Calendar	calendar_refresh_outline	md-time-calendar-refresh-outline	F0203	C	md
CalendarRemove	MdTime	Calendar	calendar_remove	md-time-calendar-remove	F00F4	C	md
CalendarRemoveOutline	MdTime	Calendar	calendar_remove_outline	md-time-calendar-remove-outline	F0C45	C	md
CalendarSearch	MdTime	Calendar	calendar_search	md-time-calendar-search	F094C	C	md
CalendarStar	MdTime	Calendar	calendar_star	md-time-calendar-star	F09D3	C	md
CalendarStart	MdTime	Calendar	calendar_start	md-time-calendar-start	F166D	C	md
CalendarSync	MdTime	Calendar	calendar_sync	md-time-calendar-sync	F0E8E	C	md
CalendarSyncOutline	MdTime	Calendar	calendar_sync_outline	md-time-calendar-sync-outline	F0E8F	C	md
CalendarText	MdTime	Calendar	calendar_text	md-time-calendar-text	F00F5	C	md
CalendarTextOutline	MdTime	Calendar	calendar_text_outline	md-time-calendar-text-outline	F0C46	C	md
CalendarToday	MdTime	Calendar	calendar_today	md-time-calendar-today	F00F6	C	md
CalendarTodayOutline	MdTime	Calendar	calendar_today_outline	md-time-calendar-today-outline	F1A30	C	md
CalendarWeek	MdTime	Calendar	calendar_week	md-time-calendar-week	F0A33	C	md
CalendarWeekBegin	MdTime	Calendar	calendar_week_begin	md-time-calendar-week-begin	F0A34	C	md
CalendarWeekBeginOutline	MdTime	Calendar	calendar_week_begin_outline	md-time-calendar-week-begin-outline	F1A31	C	md
CalendarWeekEnd	MdTime	Calendar	calendar_week_end	md-time-calendar-week-end	F1A32	C	md
CalendarWeekEndOutline	MdTime	Calendar	calendar_week_end_outline	md-time-calendar-week-end-outline	F1A33	C	md
CalendarWeekOutline	MdTime	Calendar	calendar_week_outline	md-time-calendar-week-outline	F1A34	C	md
CalendarWeekend	MdTime	Calendar	calendar_weekend	md-time-calendar-weekend	F0ED9	C	md
CalendarWeekendOutline	MdTime	Calendar	calendar_weekend_outline	md-time-calendar-weekend-outline	F0EDA	C	md
Clock	MdTime	Clock	clock	md-time-clock	F0954	C	md
ClockAlert	MdTime	Clock	clock_alert	md-time-clock-alert	F0955	C	md
ClockAlertOutline	MdTime	Clock	clock_alert_outline	md-time-clock-alert-outline	F05CE	C	md
ClockCheck	MdTime	Clock	clock_check	md-time-clock-check	F0FA8	C	md
ClockCheckOutline	MdTime	Clock	clock_check_outline	md-time-clock-check-outline	F0FA9	C	md
ClockDigital	MdTime	Clock	clock_digital	md-time-clock-digital	F0E97	C	md
ClockEdit	MdTime	Clock	clock_edit	md-time-clock-edit	F19BA	C	md
ClockEditOutline	MdTime	Clock	clock_edit_outline	md-time-clock-edit-outline	F19BB	C	md
ClockEnd	MdTime	Clock	clock_end	md-time-clock-end	F0151	C	md
ClockFast	MdTime	Clock	clock_fast	md-time-clock-fast	F0152	C	md
ClockIn	MdTime	Clock	clock_in	md-time-clock-in	F0153	C	md
ClockMinus	MdTime	Clock	clock_minus	md-time-clock-minus	F1863	C	md
ClockMinusOutline	MdTime	Clock	clock_minus_outline	md-time-clock-minus-outline	F1864	C	md
ClockOut	MdTime	Clock	clock_out	md-time-clock-out	F0154	C	md
ClockOutline	MdTime	Clock	clock_outline	md-time-clock-outline	F0150	C	md
ClockPlus	MdTime	Clock	clock_plus	md-time-clock-plus	F1861	C	md
ClockPlusOutline	MdTime	Clock	clock_plus_outline	md-time-clock-plus-outline	F1862	C	md
ClockRemove	MdTime	Clock	clock_remove	md-time-clock-remove	F1865	C	md
ClockRemoveOutline	MdTime	Clock	clock_remove_outline	md-time-clock-remove-outline	F1866	C	md
ClockStart	MdTime	Clock	clock_start	md-time-clock-start	F0155	C	md
ClockTimeEight	MdTime	Clock	clock_time_eight	md-time-clock-time-eight	F1446	C	md
ClockTimeEightOutline	MdTime	Clock	clock_time_eight_outline	md-time-clock-time-eight-outline	F1452	C	md
ClockTimeEleven	MdTime	Clock	clock_time_eleven	md-time-clock-time-eleven	F1449	C	md
ClockTimeElevenOutline	MdTime	Clock	clock_time_eleven_outline	md-time-clock-time-eleven-outline	F1455	C	md
ClockTimeFive	MdTime	Clock	clock_time_five	md-time-clock-time-five	F1443	C	md
