name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
HammerScrewdriver	MdTool	Hand	hammer_screwdriver	md-tool-hammer-screwdriver	F1322	t	md
HammerWrench	MdTool	Hand	hammer_wrench	md-tool-hammer-wrench	F1323	t	md
SawBlade	MdTool	Hand	saw_blade	md-tool-saw-blade	F0E61	t	md
Screwdriver	MdTool	Hand	screwdriver	md-tool-screwdriver	F0476	t	md
Wrench	MdTool	Hand	wrench	md-tool-wrench	F05B7	t	md
WrenchClock	MdTool	Hand	wrench_clock	md-tool-wrench-clock	F19A3	t	md
WrenchOutline	MdTool	Hand	wrench_outline	md-tool-wrench-outline	F0BE0	t	md
AccountWrench	MdTool	Misc	account_wrench	md-tool-account-wrench	F189A	t	md
AccountWrenchOutline	MdTool	Misc	account_wrench_outline	md-tool-account-wrench-outline	F189B	t	md
Broom	MdTool	Misc	broom	md-tool-broom	F00E2	t	md
CarWrench	MdTool	Misc	car_wrench	md-tool-car-wrench	F1814	t	md
FireExtinguisher	MdTool	Misc	fire_extinguisher	md-tool-fire-extinguisher	F0EF2	t	md
FireHydrant	MdTool	Misc	fire_hydrant	md-tool-fire-hydrant	F1137	t	md
FireHydrantAlert	MdTool	Misc	fire_hydrant_alert	md-tool-fire-hydrant-alert	F1138	t	md
FireHydrantOff	MdTool	Misc	fire_hydrant_off	md-tool-fire-hydrant-off	F1139	t	md
Ladder	MdTool	Misc	ladder	md-tool-ladder	F15A2	t	md
Nail	MdTool	Misc	nail	md-tool-nail	F0DDF	t	md
SawtoothWave	MdTool	Misc	sawtooth_wave	md-tool-sawtooth-wave	F147A	t	md
ScrewFlatTop	MdTool	Misc	screw_flat_top	md-tool-screw-flat-top	F0DF3	t	md
ScrewLag	MdTool	Misc	screw_lag	md-tool-screw-lag	F0DF4	t	md
ScrewMachineFlatTop	MdTool	Misc	screw_machine_flat_top	md-tool-screw-machine-flat-top	F0DF5	t	md
ScrewMachineRoundTop	MdTool	Misc	screw_machine_round_top	md-tool-screw-machine-round-top	F0DF6	t	md
ScrewRoundTop	MdTool	Misc	screw_round_top	md-tool-screw-round-top	F0DF7	t	md
Seesaw	MdTool	Misc	seesaw	md-tool-seesaw	F15A4	t	md
Stool	MdTool	Misc	stool	md-tool-stool	F195D	t	md
StoolOutline	MdTool	Misc	stool_outline	md-tool-stool-outline	F195E	t	md
TapeDrive	MdTool	Misc	tape_drive	md-tool-tape-drive	F16DF	t	md
TapeMeasure	MdTool	Misc	tape_measure	md-tool-tape-measure	F0B4D	t	md
Toolbox	MdTool	Misc	toolbox	md-tool-toolbox	F09AC	t	md
ToolboxOutline	MdTool	Misc	toolbox_outline	md-tool-toolbox-outline	F09AD	t	md
Tools	MdTool	Misc	tools	md-tool-tools	F1064	t	md
AxeBattle	MdTool	Power	axe_battle	md-tool-axe-battle	F1842	t	md
Shovel	MdTool	Power	shovel	md-tool-shovel	F0710	t	md
ShovelOff	MdTool	Power	shovel_off	md-tool-shovel-off	F0711	t	md
