name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Airplane	MdTransport	Air	airplane	md-transport-airplane	F001D	T	md
AirplaneAlert	MdTransport	Air	airplane_alert	md-transport-airplane-alert	F187A	T	md
AirplaneCheck	MdTransport	Air	airplane_check	md-transport-airplane-check	F187B	T	md
AirplaneClock	MdTransport	Air	airplane_clock	md-transport-airplane-clock	F187C	T	md
AirplaneCog	MdTransport	Air	airplane_cog	md-transport-airplane-cog	F187D	T	md
AirplaneEdit	MdTransport	Air	airplane_edit	md-transport-airplane-edit	F187E	T	md
AirplaneLanding	MdTransport	Air	airplane_landing	md-transport-airplane-landing	F05D4	T	md
AirplaneMarker	MdTransport	Air	airplane_marker	md-transport-airplane-marker	F187F	T	md
AirplaneMinus	MdTransport	Air	airplane_minus	md-transport-airplane-minus	F1880	T	md
AirplaneOff	MdTransport	Air	airplane_off	md-transport-airplane-off	F001E	T	md
AirplanePlus	MdTransport	Air	airplane_plus	md-transport-airplane-plus	F1881	T	md
AirplaneRemove	MdTransport	Air	airplane_remove	md-transport-airplane-remove	F1882	T	md
AirplaneSearch	MdTransport	Air	airplane_search	md-transport-airplane-search	F1883	T	md
AirplaneSettings	MdTransport	Air	airplane_settings	md-transport-airplane-settings	F1884	T	md
AirplaneTakeoff	MdTransport	Air	airplane_takeoff	md-transport-airplane-takeoff	F05D5	T	md
Helicopter	MdTransport	Air	helicopter	md-transport-helicopter	F0AC2	T	md
Rocket	MdTransport	Air	rocket	md-transport-rocket	F0463	T	md
RocketLaunch	MdTransport	Air	rocket_launch	md-transport-rocket-launch	F14DE	T	md
RocketLaunchOutline	MdTransport	Air	rocket_launch_outline	md-transport-rocket-launch-outline	F14DF	T	md
RocketOutline	MdTransport	Air	rocket_outline	md-transport-rocket-outline	F13AF	T	md
Airbag	MdTransport	Misc	airbag	md-transport-airbag	F0BE9	T	md
Airballoon	MdTransport	Misc	airballoon	md-transport-airballoon	F001C	T	md
