name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
CompactDisc	Media	Audio	compact_disc	fa-media-compact-disc	EDE9	>	fa
DrumSteelpan	Media	Audio	drum_steelpan	fa-media-drum-steelpan	EE33	>	fa
Guitar	Media	Audio	guitar	fa-media-guitar	EF4E	>	fa
Music	Media	Audio	music	fa-media-music	F001	>	fa
NoteSticky	Media	Audio	note_sticky	fa-media-note-sticky	F249	>	fa
NotesMedical	Media	Audio	notes_medical	fa-media-notes-medical	ED85	>	fa
RecordVinyl	Media	Audio	record_vinyl	fa-media-record-vinyl	EFBD	>	fa
Brush	Media	Edit	brush	fa-media-brush	EE26	>	fa
Copy	Media	Edit	copy	fa-media-copy	F0C5	>	fa
Crop	Media	Edit	crop	fa-media-crop	F125	>	fa
CropSimple	Media	Edit	crop_simple	fa-media-crop-simple	EE2E	>	fa
FillDrip	Media	Edit	fill_drip	fa-media-fill-drip	EE3F	>	fa
PaintRoller	Media	Edit	paint_roller	fa-media-paint-roller	EE72	>	fa
Palette	Media	Edit	palette	fa-media-palette	EFCC	>	fa
Paste	Media	Edit	paste	fa-media-paste	F0EA	>	fa
Scissors	Media	Edit	scissors	fa-media-scissors	F0C4	>	fa
WandMagic	Media	Edit	wand_magic	fa-media-wand-magic	F0D0	>	fa
WandSparkles	Media	Edit	wand_sparkles	fa-media-wand-sparkles	EF15	>	fa
ClosedCaptioning	Media	Misc	closed_captioning	fa-media-closed-captioning	F20A	>	fa
DropletSlash	Media	Misc	droplet_slash	fa-media-droplet-slash	EE8E	>	fa
Eye	Media	Misc	eye	fa-media-eye	F06E	>	fa
EyeDropper	Media	Misc	eye_dropper	fa-media-eye-dropper	F1FB	>	fa
EyeLowVision	Media	Misc	eye_low_vision	fa-media-eye-low-vision	F2A8	>	fa
EyeSlash	Media	Misc	eye_slash	fa-media-eye-slash	F070	>	fa
Icons	Media	Misc	icons	fa-media-icons	EFA8	>	fa
Link	Media	Misc	link	fa-media-link	F0C1	>	fa
LinkSlash	Media	Misc	link_slash	fa-media-link-slash	F127	>	fa
Paperclip	Media	Misc	paperclip	fa-media-paperclip	F0C6	>	fa
Pause	Media	Playback	pause	fa-media-pause	F04C	>	fa
PauseCircleO	Media	Playback	pause_circle_o	fa-media-pause-circle-o	F28C	>	fa
Play	Media	Playback	play	fa-media-play	F04B	>	fa
PlayCircleO	Media	Playback	play_circle_o	fa-media-play-circle-o	F01D	>	fa
Stop	Media	Playback	stop	fa-media-stop	F04D	>	fa
StopCircleO	Media	Playback	stop_circle_o	fa-media-stop-circle-o	F28E	>	fa
AlignCenter	Media	Text	align_center	fa-media-align-center	F037	>	fa
AlignJustify	Media	Text	align_justify	fa-media-align-justify	F039	>	fa
AlignLeft	Media	Text	align_left	fa-media-align-left	F036	>	fa
AlignRight	Media	Text	align_right	fa-media-align-right	F038	>	fa
Bold	Media	Text	bold	fa-media-bold	F032	>	fa
Italic	Media	Text	italic	fa-media-italic	F033	>	fa
Outdent	Media	Text	outdent	fa-media-outdent	F03B	>	fa
Paragraph	Media	Text	paragraph	fa-media-paragraph	F1DD	>	fa
Strikethrough	Media	Text	strikethrough	fa-media-strikethrough	F0CC	>	fa
Subscript	Media	Text	subscript	fa-media-subscript	F12C	>	fa
Superscript	Media	Text	superscript	fa-media-superscript	F12B	>	fa
TextHeight	Media	Text	text_height	fa-media-text-height	F034	>	fa
TextSlash	Media	Text	text_slash	fa-media-text-slash	EFAC	>	fa
TextWidth	Media	Text	text_width	fa-media-text-width	F035	>	fa
Underline	Media	Text	underline	fa-media-underline	F0CD	>	fa
Camera	Media	Visual	camera	fa-media-camera	F030	>	fa
CameraRetro	Media	Visual	camera_retro	fa-media-camera-retro	F083	>	fa
Image	Media	Visual	image	fa-media-image	F03E	>	fa
ImagePortrait	Media	Visual	image_portrait	fa-media-image-portrait	ED19	>	fa
PhotoFilm	Media	Visual	photo_film	fa-media-photo-film	EFAB	>	fa
Tv	Media	Visual	tv	fa-media-tv	F26C	>	fa
Video	Media	Visual	video	fa-media-video	F03D	>	fa
VideoSlash	Media	Visual	video_slash	fa-media-video-slash	EDAD	>	fa
