name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Atom	Misc	Misc	atom	misc-atom	E27F	.	fae
Benzene	Misc	Misc	benzene	misc-benzene	E284	.	fae
Bigger	Misc	Misc	bigger	misc-bigger	E285	.	fae
BloggerCircle	Misc	Misc	blogger_circle	misc-blogger-circle	E287	.	fae
BloggerSquare	Misc	Misc	blogger_square	misc-blogger-square	E288	.	fae
BookOpen	Misc	Misc	book_open	misc-book-open	E28A	.	fae
BookOpenO	Misc	Misc	book_open_o	misc-book-open-o	E28B	.	fae
CcBy	Misc	Misc	cc_by	misc-cc-by	E290	.	fae
CcCc	Misc	Misc	cc_cc	misc-cc-cc	E291	.	fae
CcNc	Misc	Misc	cc_nc	misc-cc-nc	E292	.	fae
CcNcEu	Misc	Misc	cc_nc_eu	misc-cc-nc-eu	E293	.	fae
CcNcJp	Misc	Misc	cc_nc_jp	misc-cc-nc-jp	E294	.	fae
CcNd	Misc	Misc	cc_nd	misc-cc-nd	E295	.	fae
CcRemix	Misc	Misc	cc_remix	misc-cc-remix	E296	.	fae
CcSa	Misc	Misc	cc_sa	misc-cc-sa	E297	.	fae
CcShare	Misc	Misc	cc_share	misc-cc-share	E298	.	fae
CcZero	Misc	Misc	cc_zero	misc-cc-zero	E299	.	fae
ChecklistO	Misc	Misc	checklist_o	misc-checklist-o	E29A	.	fae
Chip	Misc	Misc	chip	misc-chip	E266	.	fae
Coins	Misc	Misc	coins	misc-coins	E26B	.	fae
Ello	Misc	Misc	ello	misc-ello	E276	.	fae
Equal	Misc	Misc	equal	misc-equal	E279	.	fae
EqualBigger	Misc	Misc	equal_bigger	misc-equal-bigger	E27A	.	fae
Feedly	Misc	Misc	feedly	misc-feedly	E27B	.	fae
FileExport	Misc	Misc	file_export	misc-file-export	E27C	.	fae
FileImport	Misc	Misc	file_import	misc-file-import	E27D	.	fae
Floppy	Misc	Misc	floppy	misc-floppy	E240	.	fae
Freecodecamp	Misc	Misc	freecodecamp	misc-freecodecamp	E242	.	fae
GoogleDrive	Misc	Misc	google_drive	misc-google-drive	E246	.	fae
GooglePlay	Misc	Misc	google_play	misc-google-play	E247	.	fae
Gps	Misc	Misc	gps	misc-gps	E248	.	fae
Grav	Misc	Misc	grav	misc-grav	E249	.	fae
Hexagon	Misc	Misc	hexagon	misc-hexagon	E24F	.	fae
IdCard	Misc	Misc	id_card	misc-id-card	E253	.	fae
Imdb	Misc	Misc	imdb	misc-imdb	E254	.	fae
Infinity	Misc	Misc	infinity	misc-infinity	E255	.	fae
Isle	Misc	Misc	isle	misc-isle	E2A2	.	fae
Java	Misc	Misc	java	misc-java	E256	.	fae
Layers	Misc	Misc	layers	misc-layers	E257	.	fae
Maximize	Misc	Misc	maximize	misc-maximize	E25D	.	fae
Minimize	Misc	Misc	minimize	misc-minimize	E224	.	fae
Mysql	Misc	Misc	mysql	misc-mysql	E229	.	fae
PaletteColor	Misc	Misc	palette_color	misc-palette-color	E22B	.	fae
Pi	Misc	Misc	pi	misc-pi	E22C	.	fae
Python	Misc	Misc	python	misc-python	E235	.	fae
QuoraCircle	Misc	Misc	quora_circle	misc-quora-circle	E236	.	fae
QuoraSquare	Misc	Misc	quora_square	misc-quora-square	E237	.	fae
Restore	Misc	Misc	restore	misc-restore	E23C	.	fae
Ruby	Misc	Misc	ruby	misc-ruby	E23E	.	fae
RubyO	Misc	Misc	ruby_o	misc-ruby-o	E21E	.	fae
Slash	Misc	Misc	slash	misc-slash	E216	.	fae
Smaller	Misc	Misc	smaller	misc-smaller	E200	.	fae
Telegram	Misc	Misc	telegram	misc-telegram	E217	.	fae
TelegramCircle	Misc	Misc	telegram_circle	misc-telegram-circle	E215	.	fae
W3c	Misc	Misc	w3c	misc-w3c	E212	.	fae
