name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Bacteria	Nature	Nature	bacteria	nature-bacteria	E280	N	fae
Biohazard	Nature	Nature	biohazard	nature-biohazard	E286	N	fae
Butterfly	Nature	Nature	butterfly	nature-butterfly	E28E	N	fae
Cloud	Nature	Nature	cloud	nature-cloud	E268	N	fae
Cockroach	Nature	Nature	cockroach	nature-cockroach	E269	N	fae
Comet	Nature	Nature	comet	nature-comet	E26D	N	fae
Dna	Nature	Nature	dna	nature-dna	E272	N	fae
Galaxy	Nature	Nature	galaxy	nature-galaxy	E243	N	fae
Microscope	Nature	Nature	microscope	nature-microscope	E222	N	fae
Molecule	Nature	Nature	molecule	nature-molecule	E225	N	fae
MoonCloud	Nature	Nature	moon_cloud	nature-moon-cloud	E226	N	fae
Mountains	Nature	Nature	mountains	nature-mountains	E2A6	N	fae
Planet	Nature	Nature	planet	nature-planet	E22E	N	fae
Plant	Nature	Nature	plant	nature-plant	E22F	N	fae
Poison	Nature	Nature	poison	nature-poison	E231	N	fae
Radioactive	Nature	Nature	radioactive	nature-radioactive	E238	N	fae
Raining	Nature	Nature	raining	nature-raining	E239	N	fae
Snowing	Nature	Nature	snowing	nature-snowing	E201	N	fae
Storm	Nature	Nature	storm	nature-storm	E208	N	fae
SunCloud	Nature	Nature	sun_cloud	nature-sun-cloud	E21D	N	fae
Telescope	Nature	Nature	telescope	nature-telescope	E209	N	fae
Tree	Nature	Nature	tree	nature-tree	E21C	N	fae
Wind	Nature	Nature	wind	nature-wind	E27E	N	fae
