name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
ArrowDown	Navigation	Arrow	arrow_down	fa-navigation-arrow-down	F063	^	fa
ArrowDown19	Navigation	Arrow	arrow_down_1_9	fa-navigation-arrow-down-1-9	F162	^	fa
ArrowDown91	Navigation	Arrow	arrow_down_9_1	fa-navigation-arrow-down-9-1	EFB1	^	fa
ArrowDownAZ	Navigation	Arrow	arrow_down_a_z	fa-navigation-arrow-down-a-z	F15D	^	fa
ArrowDownLong	Navigation	Arrow	arrow_down_long	fa-navigation-arrow-down-long	F175	^	fa
ArrowDownShortWide	Navigation	Arrow	arrow_down_short_wide	fa-navigation-arrow-down-short-wide	EFAF	^	fa
ArrowDownWideShort	Navigation	Arrow	arrow_down_wide_short	fa-navigation-arrow-down-wide-short	F160	^	fa
ArrowDownZA	Navigation	Arrow	arrow_down_z_a	fa-navigation-arrow-down-z-a	EFAD	^	fa
ArrowLeft	Navigation	Arrow	arrow_left	fa-navigation-arrow-left	F060	^	fa
ArrowLeftLong	Navigation	Arrow	arrow_left_long	fa-navigation-arrow-left-long	F177	^	fa
ArrowPointer	Navigation	Arrow	arrow_pointer	fa-navigation-arrow-pointer	F245	^	fa
ArrowRight	Navigation	Arrow	arrow_right	fa-navigation-arrow-right	F061	^	fa
ArrowRightArrowLeft	Navigation	Arrow	arrow_right_arrow_left	fa-navigation-arrow-right-arrow-left	F0EC	^	fa
ArrowRightFromBracket	Navigation	Arrow	arrow_right_from_bracket	fa-navigation-arrow-right-from-bracket	F08B	^	fa
ArrowRightLong	Navigation	Arrow	arrow_right_long	fa-navigation-arrow-right-long	F178	^	fa
ArrowRightToBracket	Navigation	Arrow	arrow_right_to_bracket	fa-navigation-arrow-right-to-bracket	F090	^	fa
ArrowRotateLeft	Navigation	Arrow	arrow_rotate_left	fa-navigation-arrow-rotate-left	F0E2	^	fa
ArrowRotateRight	Navigation	Arrow	arrow_rotate_right	fa-navigation-arrow-rotate-right	F01E	^	fa
ArrowTurnDown	Navigation	Arrow	arrow_turn_down	fa-navigation-arrow-turn-down	F149	^	fa
ArrowTurnUp	Navigation	Arrow	arrow_turn_up	fa-navigation-arrow-turn-up	F148	^	fa
ArrowUp	Navigation	Arrow	arrow_up	fa-navigation-arrow-up	F062	^	fa
ArrowUp19	Navigation	Arrow	arrow_up_1_9	fa-navigation-arrow-up-1-9	F163	^	fa
ArrowUp91	Navigation	Arrow	arrow_up_9_1	fa-navigation-arrow-up-9-1	EFB2	^	fa
ArrowUpAZ	Navigation	Arrow	arrow_up_a_z	fa-navigation-arrow-up-a-z	F15E	^	fa
ArrowUpLong	Navigation	Arrow	arrow_up_long	fa-navigation-arrow-up-long	F176	^	fa
ArrowUpRightFromSquare	Navigation	Arrow	arrow_up_right_from_square	fa-navigation-arrow-up-right-from-square	F08E	^	fa
ArrowUpShortWide	Navigation	Arrow	arrow_up_short_wide	fa-navigation-arrow-up-short-wide	EFB0	^	fa
ArrowUpWideShort	Navigation	Arrow	arrow_up_wide_short	fa-navigation-arrow-up-wide-short	F161	^	fa
ArrowUpZA	Navigation	Arrow	arrow_up_z_a	fa-navigation-arrow-up-z-a	EFAE	^	fa
ArrowsLeftRight	Navigation	Arrow	arrows_left_right	fa-navigation-arrows-left-right	F07E	^	fa
ArrowsRotate	Navigation	Arrow	arrows_rotate	fa-navigation-arrows-rotate	F021	^	fa
ArrowsUpDown	Navigation	Arrow	arrows_up_down	fa-navigation-arrows-up-down	F07D	^	fa
ArrowsUpDownLeftRight	Navigation	Arrow	arrows_up_down_left_right	fa-navigation-arrows-up-down-left-right	F047	^	fa
AngleDown	Navigation	Chevron	angle_down	fa-navigation-angle-down	F107	^	fa
AngleLeft	Navigation	Chevron	angle_left	fa-navigation-angle-left	F104	^	fa
AngleRight	Navigation	Chevron	angle_right	fa-navigation-angle-right	F105	^	fa
AngleUp	Navigation	Chevron	angle_up	fa-navigation-angle-up	F106	^	fa
AnglesDown	Navigation	Chevron	angles_down	fa-navigation-angles-down	F103	^	fa
AnglesLeft	Navigation	Chevron	angles_left	fa-navigation-angles-left	F100	^	fa
AnglesRight	Navigation	Chevron	angles_right	fa-navigation-angles-right	F101	^	fa
AnglesUp	Navigation	Chevron	angles_up	fa-navigation-angles-up	F102	^	fa
CaretDown	Navigation	Chevron	caret_down	fa-navigation-caret-down	F0D7	^	fa
CaretLeft	Navigation	Chevron	caret_left	fa-navigation-caret-left	F0D9	^	fa
CaretRight	Navigation	Chevron	caret_right	fa-navigation-caret-right	F0DA	^	fa
CaretUp	Navigation	Chevron	caret_up	fa-navigation-caret-up	F0D8	^	fa
ChevronDown	Navigation	Chevron	chevron_down	fa-navigation-chevron-down	F078	^	fa
ChevronLeft	Navigation	Chevron	chevron_left	fa-navigation-chevron-left	F053	^	fa
ChevronRight	Navigation	Chevron	chevron_right	fa-navigation-chevron-right	F054	^	fa
ChevronUp	Navigation	Chevron	chevron_up	fa-navigation-chevron-up	F077	^	fa
Compress	Navigation	Control	compress	fa-navigation-compress	F066	^	fa
DeleteLeft	Navigation	Control	delete_left	fa-navigation-delete-left	EE23	^	fa
Expand	Navigation	Control	expand	fa-navigation-expand	F065	^	fa
Compass	Navigation	Direction	compass	fa-navigation-compass	F14E	^	fa
CompassDrafting	Navigation	Direction	compass_drafting	fa-navigation-compass-drafting	EE31	^	fa
LocationArrow	Navigation	Direction	location_arrow	fa-navigation-location-arrow	F124	^	fa
LocationCrosshairs	Navigation	Direction	location_crosshairs	fa-navigation-location-crosshairs	EEA9	^	fa
LocationDot	Navigation	Direction	location_dot	fa-navigation-location-dot	ED00	^	fa
LocationPin	Navigation	Direction	location_pin	fa-navigation-location-pin	F041	^	fa
Route	Navigation	Direction	route	fa-navigation-route	EDA6	^	fa
SignsPost	Navigation	Direction	signs_post	fa-navigation-signs-post	F277	^	fa
StreetView	Navigation	Direction	street_view	fa-navigation-street-view	F21D	^	fa
BackwardFast	Navigation	Misc	backward_fast	fa-navigation-backward-fast	F049	^	fa
BackwardStep	Navigation	Misc	backward_step	fa-navigation-backward-step	F048	^	fa
Bars	Navigation	Misc	bars	fa-navigation-bars	F0C9	^	fa
BarsProgress	Navigation	Misc	bars_progress	fa-navigation-bars-progress	EF8F	^	fa
BarsStaggered	Navigation	Misc	bars_staggered	fa-navigation-bars-staggered	EE19	^	fa
DownLeftAndUpRightToCenter	Navigation	Misc	down_left_and_up_right_to_center	fa-navigation-down-left-and-up-right-to-center	ED4D	^	fa
DownLong	Navigation	Misc	down_long	fa-navigation-down-long	F03F	^	fa
EllipsisVertical	Navigation	Misc	ellipsis_vertical	fa-navigation-ellipsis-vertical	F142	^	fa
Filter	Navigation	Misc	filter	fa-navigation-filter	F0B0	^	fa
FilterCircleDollar	Navigation	Misc	filter_circle_dollar	fa-navigation-filter-circle-dollar	EEC8	^	fa
