name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
CalendarCheck	Office	Calendar	calendar_check	fa-office-calendar-check	F274	F	fa
CalendarDay	Office	Calendar	calendar_day	fa-office-calendar-day	EF37	F	fa
CalendarDays	Office	Calendar	calendar_days	fa-office-calendar-days	F073	F	fa
CalendarMinus	Office	Calendar	calendar_minus	fa-office-calendar-minus	F272	F	fa
CalendarO	Office	Calendar	calendar_o	fa-office-calendar-o	F133	F	fa
CalendarPlus	Office	Calendar	calendar_plus	fa-office-calendar-plus	F271	F	fa
CalendarWeek	Office	Calendar	calendar_week	fa-office-calendar-week	EF38	F	fa
CalendarXmark	Office	Calendar	calendar_xmark	fa-office-calendar-xmark	F273	F	fa
Clock	Office	Clock	clock	fa-office-clock	F017	F	fa
ClockRotateLeft	Office	Clock	clock_rotate_left	fa-office-clock-rotate-left	F1DA	F	fa
Hourglass	Office	Clock	hourglass	fa-office-hourglass	F254	F	fa
HourglassEnd	Office	Clock	hourglass_end	fa-office-hourglass-end	F253	F	fa
HourglassHalf	Office	Clock	hourglass_half	fa-office-hourglass-half	F252	F	fa
HourglassO	Office	Clock	hourglass_o	fa-office-hourglass-o	F250	F	fa
HourglassStart	Office	Clock	hourglass_start	fa-office-hourglass-start	F251	F	fa
Stopwatch	Office	Clock	stopwatch	fa-office-stopwatch	F2F2	F	fa
File	Office	Document	file	fa-office-file	F15B	F	fa
FileArrowDown	Office	Document	file_arrow_down	fa-office-file-arrow-down	EE36	F	fa
FileArrowUp	Office	Document	file_arrow_up	fa-office-file-arrow-up	EE3D	F	fa
FileAudio	Office	Document	file_audio	fa-office-file-audio	F1C7	F	fa
FileCode	Office	Document	file_code	fa-office-file-code	F1C9	F	fa
FileContract	Office	Document	file_contract	fa-office-file-contract	EE35	F	fa
FileCsv	Office	Document	file_csv	fa-office-file-csv	EEFC	F	fa
FileExcel	Office	Document	file_excel	fa-office-file-excel	F1C3	F	fa
FileExport	Office	Document	file_export	fa-office-file-export	EE37	F	fa
FileImage	Office	Document	file_image	fa-office-file-image	F1C5	F	fa
FileImport	Office	Document	file_import	fa-office-file-import	EE38	F	fa
FileInvoice	Office	Document	file_invoice	fa-office-file-invoice	EE39	F	fa
FileInvoiceDollar	Office	Document	file_invoice_dollar	fa-office-file-invoice-dollar	EE3A	F	fa
FileLines	Office	Document	file_lines	fa-office-file-lines	F15C	F	fa
