name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
EarDeaf	People	Accessibility	ear_deaf	fa-people-ear-deaf	F2A4	P	fa
EarListen	People	Accessibility	ear_listen	fa-people-ear-listen	F2A2	P	fa
Wheelchair	People	Accessibility	wheelchair	fa-people-wheelchair	F193	P	fa
Hand	People	Body	hand	fa-people-hand	F256	P	fa
HandBackFist	People	Body	hand_back_fist	fa-people-hand-back-fist	F255	P	fa
HandDots	People	Body	hand_dots	fa-people-hand-dots	ED73	P	fa
HandFist	People	Body	hand_fist	fa-people-hand-fist	EEFD	P	fa
HandHolding	People	Body	hand_holding	fa-people-hand-holding	ED9A	P	fa
HandHoldingDollar	People	Body	hand_holding_dollar	fa-people-hand-holding-dollar	ED9C	P	fa
HandHoldingDroplet	People	Body	hand_holding_droplet	fa-people-hand-holding-droplet	ED9D	P	fa
HandHoldingHeart	People	Body	hand_holding_heart	fa-people-hand-holding-heart	ED9B	P	fa
HandLizard	People	Body	hand_lizard	fa-people-hand-lizard	F258	P	fa
HandMiddleFinger	People	Body	hand_middle_finger	fa-people-hand-middle-finger	EF83	P	fa
HandPeace	People	Body	hand_peace	fa-people-hand-peace	F25B	P	fa
HandPointDown	People	Body	hand_point_down	fa-people-hand-point-down	F0A7	P	fa
HandPointLeft	People	Body	hand_point_left	fa-people-hand-point-left	F0A5	P	fa
HandPointRight	People	Body	hand_point_right	fa-people-hand-point-right	F0A4	P	fa
HandPointUp	People	Body	hand_point_up	fa-people-hand-point-up	F0A6	P	fa
HandPointer	People	Body	hand_pointer	fa-people-hand-pointer	F25A	P	fa
HandScissors	People	Body	hand_scissors	fa-people-hand-scissors	F257	P	fa
HandSpock	People	Body	hand_spock	fa-people-hand-spock	F259	P	fa
HandsAslInterpreting	People	Body	hands_asl_interpreting	fa-people-hands-asl-interpreting	F2A3	P	fa
HandsHolding	People	Body	hands_holding	fa-people-hands-holding	ED9E	P	fa
HandsPraying	People	Body	hands_praying	fa-people-hands-praying	EEDB	P	fa
ThumbsDown	People	Body	thumbs_down	fa-people-thumbs-down	F165	P	fa
ThumbsODown	People	Body	thumbs_o_down	fa-people-thumbs-o-down	F088	P	fa
ThumbsOUp	People	Body	thumbs_o_up	fa-people-thumbs-o-up	F087	P	fa
ThumbsUp	People	Body	thumbs_up	fa-people-thumbs-up	F164	P	fa
Mars	People	Gender	mars	fa-people-mars	F222	P	fa
MarsDouble	People	Gender	mars_double	fa-people-mars-double	F227	P	fa
MarsStroke	People	Gender	mars_stroke	fa-people-mars-stroke	F229	P	fa
MarsStrokeRight	People	Gender	mars_stroke_right	fa-people-mars-stroke-right	F22B	P	fa
MarsStrokeUp	People	Gender	mars_stroke_up	fa-people-mars-stroke-up	F22A	P	fa
Mercury	People	Gender	mercury	fa-people-mercury	F223	P	fa
TransgenderAlt	People	Gender	transgender_alt	fa-people-transgender-alt	F225	P	fa
Venus	People	Gender	venus	fa-people-venus	F221	P	fa
VenusDouble	People	Gender	venus_double	fa-people-venus-double	F226	P	fa
VenusMars	People	Gender	venus_mars	fa-people-venus-mars	F228	P	fa
Baby	People	Group	baby	fa-people-baby	EF33	P	fa
BabyCarriage	People	Group	baby_carriage	fa-people-baby-carriage	EF34	P	fa
Child	People	Group	child	fa-people-child	F1AE	P	fa
PeopleCarryBox	People	Group	people_carry_box	fa-people-people-carry-box	EDA2	P	fa
Users	People	Group	users	fa-people-users	F0C0	P	fa
UsersGear	People	Group	users_gear	fa-people-users-gear	EDD3	P	fa
AddressBook	People	Misc	address_book	fa-people-address-book	F2B9	P	fa
